한동안 비과학적이고 혐오스럽ㄴ의학의 역사로 치부되기도 +였지만, 20세기 들어 재조명 받아 2004년에 +ㄴ 미국식약청이 거머리를 ‘의료기구’로 승인하였다 .	O O O O O O O O O O O O LOC-B O O O O
게다가 패턴을 정확하게 지키+어나가고 안정적 이+ㄴ 패스가 나가니 임동섭, 김준일이 살아나고 라틀리프의 속공 가담도 더 적극적이 되+ㄴ다 .	O O O O O O O O PER-B PER-B O O O O O O O O
많은 사람들이 철수와 영이가 60~70년대를 대표하는 교과서 주인공으로 알고 있지만 철수와 영이는 1964년까지만 주인공이었다 .	O O PER-B PER-B O O O O O O PER-B PER-B O O O
여진족이나 피지족처럼 부모가 망령이 들기 시작하면 보쌈을 하여 화살을 쏘거나 생매장하는 것이 효도로 생각하는 흐름이 있고, 아프리카의 반투족처럼 노인이 치매가 생기면 반신반인으로 여기고 신명을 중개하는 사제로서 우러르어 모시는 흐름이 있다 .	O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O O O O O O
18일 방송되+ㄴ MBC ‘무한도전’에서는 ‘2015 무도가요제’를 앞두고 팀을 이루+ㄴ 하하와 자이언티가 드라이브를 하면서 ‘양화대교’를 감상하는 모습이 그리 +어+지었다 .	O O O O O O O O O PER-B PER-B O O O O O O O O
이를 어기면 3년 이하의 징역 또는 3000만원 이하의 벌금형을 받는다 .	O O O O O O MNY-B O O O O
이들은 고발장에서 식약처의 심사 규정을 보면 치약 보존제의 종류·함량에 대하+여구체적으로 밝히고 있는데 아모레퍼시픽이 허가되지 않은 CMIT/MIT(메칠클로로이소치 아졸리논· 며칠이 소치 아졸리논) 성분이 치약에 들어있는 것을 알면서 만들어 팔았다고 주장하고 있다 .	O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
메르세데스-벤츠 올 판매 4만대 육박? 최고 실적?가솔린 ?디젤 모델 골고루 인기 S클래스 받으려 수천명 대기도 메르세데스-벤츠가 올 들어 10월까지 3만8603대를 판매 하+여 ‘수입차 1위’로 올라서 +었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
중국과 러시아로 떠나는 여행 ‘국제열차’에 오르는 여행자들을 위하 +ㄴ 것이다 .	LOC-B LOC-B O O O O O O O O O
- 동아, 경향, 조선, 중앙, 한겨레 주말 책 소개 기사를 한 권의 eBook에 담아-스마트폰용 EPUB과 신문 레이아웃을 확인 하+ㄹ 수 있는 PDF를 동시에 제공-정기구독 신청시 매주 토요일 오후 사용자 계정에 최신호가 추가 -위클리북 섹션 창간 준비호 무료 배포 중대한민국 대표 인터넷 서점 예스24(대표 김기호, www. yes24. com)는 5대 일간지의 주말 책 소개 기사를 모으+ㄴeBook주간지를 발간하였다 .	O ORG-B ORG-B ORG-B ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B PER-B O O O O O O O O O O O O
계약기간은 1년, 연봉은 인센티브 포함 총액 400만달러(약 48억원) +이다 .	O O O O O O MNY-B MNY-B O O
전정도 세화엠피 회장(56·전성진지오텍 회장)이 포스코 플랜텍의 이란 석유 플랜트 공사대금 1000억여원 중 일부를 빼돌리었다는 고소·고발 사건과 관련 하+여, 검찰이 7일 대대적 이+ㄴ 압수수색과 함께 본격 수사에 착수하였다 .	PER-B ORG-B ORG-B LOC-B ORG-B O LOC-B O O O MNY-B O O O O O O O LOC-B O O LOC-B O O O O O O
오늘날 세계 인구는 72억8456만명으로 늘었지만 농업생산력은 훨씬 더 발전하였다 .	O O O O O O O O O O
환자 송원준 군(10)은 태어나 +았을 때부터 심장질환과 지적장애에 동시에 시달리며 매달 +ㄹ 수백만원짜리 호르몬제를 맞고 있지만 현재 희귀질환 특례를 받는 것은 증상 중 하나이+ㄴ ‘대동맥 상부 협착’뿐이다 .	O PER-B O O O O O O O O O O MNY-B O O O O O O O O O O O O O O O
