레이스 운영 경험이 쌓이면 조만간 2시간 10분대 진입을 노려 보+ㄹ 수 있다”고 전망하였다 .	O O O O O O O O O O O O O O
정부의 이번 조치로 북한이 IAEA의 추가 핵 사찰 요구를 수용 하+ㄹ 경우 3단계 북­미 회담이 개최되 +ㄹ 가능성은 높아지었으며, 이에 따르 아향후 남북대화와 북­미 회담 간의 수위 조정 여부가 주목되 +ㄴ다 .	O O O ORG-B ORG-B O O O O O O O O ORG-B O O O O O O O O ORG-B ORG-B O O O O O O O O
제술 한 잔 받으시+ㅂ시오.”이 말에 가믄장아기의 부모는 깜짝 놀라 +아눈을 +었다 .	O O O O O PER-B O O O O O O
친 전교조 성향 교육감이 있는 광주전북세종강원교육청 등 4곳이 공동으로 대안교과서를 개발 중 이+ㄴ 가운데 서울은 여기서 빠지+ㄴ 만큼 정부와 대립각을 세우는 것+이 아니라고 강조하+ㄴ 것.그러나 시교육청 해명과 달리 이번 발표는 국정 역사교과서에 대하+ㄴ 대응책으로 해석되 +ㄴ다는 것+이 교육계의 중론이다 .	O ORG-B O O O ORG-B O O O O O O O O ORG-B O O O O O O O O O O ORG-B O O O O O O O O O O O O O O
개그우먼 김영희는 지나 +ㄴ 11일 자신의 인스타그램에 "볼륨을 높이어요 회식 신남 재미나 +ㅁ"이라는 글과 함께 KBS 쿨 FM '조윤희의 볼륨을 높이어요' 회식 사진을 공개하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O
저는 1년에 50편 정도의 영화를 보+ㄹ만큼 영화를 좋아하는 사람이 +ㄴ 데도, 이 영화는 영견디+어내기 어렵었습니다 .	O O O O O O O O O O O O O O O O
이와 관련 리진을 향하+ㄴ집요하+ㄴ일편단심을 내비치었던 도현의 또 다르+ㄴ 인 격세기가 도현과 리진의 핑크빛 기류에 어떤 반응을 보이+ㄹ지 다음 전개에 대하+ㄴ 궁금증이 모으아지고 있다 .	O O PER-B O O PER-B O O O O PER-B PER-B O O O O O O O O O O O O
창업 3년 만에 분기 매출 1000억원을 기록하는 등 폭발적 이+ㄴ 성장을 이루었다 .	O O O O O MNY-B O O O O O O O
[ONESHOT] 점점 줄어들는 대학생들의 도서관 책 대 .	O O O O O O O O
당시 많은 전문가는 “새 선수를 발굴하였다는 쇼맨십일 뿐”이라며 이정협의 깜짝 발탁을 평가절하하였다 .	O O O O O O O O PER-B O O O O
게임 트릭스 12월 둘째주 발표에 따르면 '검은 사막'은 전주 대비 게임 이용시간이 26.47% 증가하였고 순위가 17위로 2단계 상승하였고 분위기가 좋은 편이다 .	ORG-B O O O O O O O O O ORG-B O O O O O O O O O O O
이런 시장 분위기 속에서 전문가들은 '리그오브레전드'나 '오버워치'가 국내 PC 게임 시장을 장악하고 있는 것+이 사실이지만 국내 대기업을 중심으로 내년이나 나+의 후년에 본격적 이+ㄴ 반격이 있을 것으로 예상하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
업계의 한 관계자는 "'리니지이 터널', '로스트 아크'와 같은 대작 외에도 스마일게이트와 같은 게임 개발사가 '테일즈런너', '소울 워커' 같은 게임을 견인하고 있고, 넥슨 또한 꾸준히 PC온라인게임 신작을 발표하는 등 해외 게임들이 차지하+ㄴ 시장 점유율을 되찾기 위 하+여 노력하고 있다 .	O O O O O O O O O O ORG-B O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
APS 통신은 보안군 관계자들의 말을 인용, 이들 41명 중 20명은 동부콘스탄틴 읍 근처의 숲에서 벌어 지+ㄴ 총격전에서 사살되었다고 전하였다 .	ORG-B O O O O O O O O O LOC-B O O O O O O O O O
유럽은 명예의 전당에 입회하+ㄴ로 라데이비스가 주장으로 출전하고, 호주에서는 캐서린 커크, 사라제인 스미스 등 LPGA 투어에서 활동하는 선수들이 출전하+ㄴ다 .	ORG-B O O O O O O ORG-B PER-B O PER-B O O O O O O O O
