ED렌즈 5매와 수퍼 ED렌즈 1매를 포함하+ㄴ 14군21매의 고성능 광학 설계로 색수차를 현저히 줄이고, 동급 최고 수준의 고화질을 실현하였다 .	O O O O O O O O O O O O O O O O O O O
말 주변이 달리고, 기억이 흐릿하+여조롱을 받게 되면 어쩌느냐고? 걱정 붙들어 매시+이라.가깝게는 3년 전을 떠올리+어보라. 그토록 피하고 싶었지만 결국 하+여야 +였던 대선주자 TV토론. 새까맣게 어리+ㄴ이정희 전 통합진보당 대표는 “이런 것 잘 모르죠? 알+ㄹ턱이 없죠”수 없이 비아냥거리더니 급기야 “나는 당신을 떨어뜨리려고 이 자리에 나오았다”며 조롱하였다 .	O O O O O O O O O O O O O O O O O O O O O O O PER-B O ORG-B O O O O O O O O O O O O O O O O O O
LG는 서상우를 제외 하+ㄴ 선발 타자 8명이 모두 타점을 올리기도 +였다 .	ORG-B PER-B O O O O O O O O O O
김씨에게 각각 5500만원, 1500만원을 받은 혐의 등으로 기소되+ㄴ신계륜 신학용 의원은 이달 22일 1심에서 의원직 상실형이+ㄴ 징역 2년~2년 6개월의 실형을 각각 선고받았다 .	PER-B O MNY-B MNY-B O O O PER-B PER-B O O O O O O O O O O O O O
[케이프 코드 APAP=뉴시스 .	O O O O
[뉴시스 .	O O
페이스북에서 젊은 사람들은 자신만의 특별 하+ㄴ 경험에 대하+ㄴ글이나 사진을 자랑하는 반면 나이 많은 사람들은 일상적 이+ㄴ 경험을 공유하기를 즐기는 경향이 있음을 연구진은 발견하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O
하지만 이 말 의 원조는 백 장군이다 .	O O O O O PER-B O O
지하 2층, 지상 29층, 13개동, 전용면적 84m ² 중소형으로만 구성되며 총 1296 채 규모.운 양동의 마지막 대단지+이다 .	O O O O O O O O O O O O O O O O O O
LG화학, 크라이슬러에 전기車 배터리 공 .	ORG-B ORG-B O O O O
하지만 아베 총리가 실제 인터뷰에서 위안부 동원의 강제성을 인정하+ㄴ고노(河野) 담화에 대하+여 언급하였는지 여부는 분명하지 않다 .	O PER-B O O O O O O PER-B O O O O O O O
'풍문으로 듣었소' 유호정이 아들의 자식을 낳은 고아성에게 폭언을 쏟았다 .	O O PER-B O O O PER-B O O O
