손수현 측, 이해준 감독과 결별 설 부인 “잘 만나고 있다 .	PER-B O PER-B O O O O O O O O
머모케이트 대사는 트위터에 "왜 현실 세계의 여성들은 선택되+ㄹ 수 없는가"라고 말하였다 .	PER-B O O O O O O O O O O O
앤마리게츠 전 유엔 수석 고문은 "혐오스럽ㄴ 결정"이라며 "(원더우먼 의 무기 가운데 하나이+ㄴ) 진실의 올가미(lassooftruth)는 유엔의 위선을 드러내는 데 사용되+어야 하+ㄹ 것"이라고 꼬집었다 .	PER-B O ORG-B O O O O PER-B O O O O O O ORG-B O O O O O O O O
지나+ㄴ 13일 유엔은 원더우먼을 여권 신장 명예대사로 임명하고, 원더우먼 이 탄생 75주년을 맞는 오는 21일 미국 뉴욕 유엔본부에서 임명식을 열 +ㄹ 것이라고 밝히+ㄴ바 있다 .	O O LOC-B O O O O O O O O O O O O LOC-B LOC-B LOC-B O O O O O O O
이 자리에는 반기문 유엔 사무총장도 참석 하+ㄹ 예정이며, 기념 우표도 발행 하+ㄹ 예정으로 알려지었다 .	O O PER-B ORG-B O O O O O O O O O O O
2016년에는 남녀 참가자 통틀어 메달리스트(72타)를 차지하기도 +였다 .	O O O O O O O O
■문태국 &문지영 듀오리 사이틀 ｜6월15일 오후 8시 ｜ 서울 LG아트센터 2014년 파블로카 잘스첼로 콩쿠르에서 한국인 최초로 우승하+ㄴ첼리스트 문태국(사진 왼쪽), 2014년 제네바콩쿠르와 2015년 부소니 콩쿠르에서 역시 한국인 최초로 우승하+ㄴ 피아니스트 문지영(사진 오른쪽)의 듀오리 사이틀이 열리+ㄴ다 .	PER-B PER-B O O O O O O LOC-B LOC-I O O O O O O O PER-B O O O O O O O O O O O PER-B O O O O O
위안부 문제, 징용시설 유네스코 세계문화유산 등재 문제, 후쿠시마 인근 해역 수산물 수입 문제 등 여러 현안을 두고 양국 정부가 사사건건 정면 충돌하고 있기 때문이다 .	ORG-B O O O O O O LOC-B O O O O O O O O O O O O O O O O O
그러면서 “연기를 그만두고 아르바이트를 찾으러 가+았는데 나이가 많아서 안+어주더라. 식당에서 설거지 알바를 +였다”며 “한 달에 50만원 정도를 받았는데, 내가 오늘 5만원 하지 일을 +였다는 것이 너무 행복하였다 .	O O O O O O O O O O O O O O O MNY-B O O O O MNY-B O O O O O O O
서울 남대문서로 호송되+ㄴ한 위원장은 오후 2시 10분부터 1층 수사과 조 사실에서 공무집행방해 등 9가지 혐의에 대하+여조사를 받고 있다 .	LOC-B LOC-B PER-B O O O O O O O O O O O O O O O O
제가 국회의원 한번 더 하려고 출마하+ㄴ 것이 아니다 .	O O O O O O O O O
관북리 유적과 부소산성은 사비시기(538~660년) 정교하게 만들 +ㄴ백제 왕궁시설을 보+ㄹ 수 있고, 능산리 고분군은 백제 고분 양식의 변천과정을 보이어 주+ㄴ다 .	LOC-B LOC-I LOC-B O O O ORG-B O O O O LOC-B LOC-I ORG-B LOC-I O O O O O
