하지만 최근 재입원 하+였을 때 같은 방을 이용하였는데 17만원을 내 +었다 .	MNY-I O O O O O O O MNY-B O O O
㈜ 더블피쉬 커뮤니케이션즈에 정책자금을 투자 하+ㄴ 농업정책보험금융원의 지원으로 2016년 상하이 국제식품박람회에 참석하+ㄴ㈜ 더블피쉬 커뮤니케이션즈이기환 대표는 지나 +ㄴ 5월 6일 상하이 엑스포센터에서 상해 희연식품유한공사의 장장원 대표와 전략적 업무제휴에 관하+ㄴ 협약을 체결하고, 한국편이 식품의 중국 진출을 위하+여양사가 최선의 노력을 다하기로 합의하였다 .	ORG-B ORG-I ORG-I ORG-I O O ORG-B ORG-I O LOC-B ORG-I ORG-B ORG-I ORG-I O O O O O LOC-B LOC-I ORG-B ORG-I ORG-I O O O O O O LOC-B ORG-I LOC-B O O O O O O O
미단시티지주협의회는 “부정적 이+ㄴ 여론으로 매입사들도 금전적 손해와 투자자 유치에 어려움을 겪고 있다”고 주장하였다 .	ORG-B O O O O O O O O O O O O O
악재에도 미단시티는 여전히 국내외 기업들의 관심 대상이다 .	O ORG-B O O O O O O
경영 투명성위원회는 불공정거래 관행을 개선하고 협력사와의 상생방안에 대하+ㄴ 전문가의 조언을 듣기 위 하+여지나 +ㄴ해 10월 롯데홈쇼핑에서 발족하+ㄴ자문기구이다 .	ORG-B ORG-I O O O O O O O O O O O O O ORG-B O O
‘당내 개혁에 실패하면 안 의원이 당을 뛰쳐나가 +ㄹ 것이 +ㄴ가’를 묻었더니 돌아오+ㄴ 대답이다 .	O O O PER-B O O O O O O O O O O
“저는 작품을 완성하었을 때 관람객들에게서 이런 반응이 나 오+ㄹ줄은 꿈에도 모르았고 단지 디올 본사가 싫어 하+ㄹ지 모르겠다고 생각하었어요. 그러나 디올 본사는 워낙 이런 미술협업 프로젝트를 많이 하+여+오았고, 자사 제품이 사치품이라는 것도 인정하고, 미술가들이 그것을 어떻게 해석하는지에 대하+여서도 열리+ㄴ 마음을 갖고 있더군요.디올 본사는 저+의 작품을 좋게 평가하였고 구매도+였어요 .	O O O O O O O O O O O O ORG-B ORG-I O O O O O ORG-B ORG-I O O O O O O O O O O O O O O O O O O O ORG-B ORG-I O O O O O O
실력과 경험을 두루 갖추+ㄴ 검사장들을 3년마다 반강제적으로 내보내는 것+이과연 국가나 검찰 조직을 위하+여 바람직하+ㄴ일이+ㄴ지 따지+어보+ㄹ 필요가 있다 .	O O O O O O O O O O O O O O O O O O
최근 페이스북에서 다양하+ㄴ 요리 과정을 부감으로 촬영하+여 요리사 시각으로 조리 과정을 네티즌들에게 전달하며 화제를 모으고 있는 ‘Cookat’이 최근 파프리카를 이용하+ㄴ 5번째 레시피를 소개하였다 .	O O O O O O O O O O O O O O O O ORG-B O O O O O O O
스마트폰 아이 숙면 방해… 4시간 이상 +았다가, 결 .	O O O O O O O O O
‘택시’이 동휘, ‘응팔’ 혜리 연기력 논란 언급 “실제로 보니 부끄럽었다” … 무슨 뜻 .	O O O PER-B O O O O O O O O O O
조성진을 통하+여 클래식을 널리 알리+ㄴ 지금이 바로 대중화의 기회+이다 .	PER-B O O O O O O O O O
온라인 중앙일보 jstar@j oongang. co.kr[사진 KBS2TV 금요 드라마 ‘오렌지 마말레이드’ 캡처 .	O ORG-B O O O O O O O O O O
한편 골키퍼 김동준(21·연세대)은 대학 선수 중 유일하게 대표팀에 승선하였다 .	O O ORG-B O O O O O O O
인근 500m 거리의 그린벨트밭 약 3000평을 지주의 개인 사정으로 주변 시세의 절반 가격이 +ㄴ 3.3m ²당 140만∼150만원에 매각하고 있어 관심을 가지+어보+ㄹ만 하다 .	O O O O O O O O O O O O O O O O MNY-B O O O O O O
한편, 이번에 aT센터에서 실기고사를 실시하는 애니메이션 스쿨은 애니메이션 전문 창작인력 양성을 목표로 2D 애니메이션, 3D 애니메이션 분야의 기획·연출·제작에 이르는 전 과정을 프로젝트 기반을 운영하는 애니메이션 전문 교육기관이다 .	O O LOC-B O O ORG-B ORG-I ORG-B O O O O O ORG-B O ORG-B O O O O O O O O ORG-B O O O
서태지 앙코르 콘서트, 서태지를 만나 +ㄹ 마지막 기회… ‘모든 것 +ㄹ 쏟아내 +ㄹ 것 .	PER-B O O PER-B O O O O O O O O O O O
