성완종 리스트 파문이 불거지자 선거전략을 바꾸+ㄴ 것이다 .	O O O O O O O O
6월 8일 방송되+ㄴJTBC ‘냉장고를 부탁하+여’에서는 ‘흥을 돋우는 달달 하+ㄴ 간식’을 주제로 15분 냉장고 요리 대결을 펼치었다 .	O O ORG-B O O O O O O O O O O O O O O
재무부는 16일 지역과 직장, 단체 구성원들이 자금을 조성하+여서로 이용하+ㄹ 수 있는 신용협동조합 51개를 새로 인가하였다 .	ORG-B O O O O O O O O O O ORG-B O O O O
신용카드 업체와 캐피털 업체를 대표하는 여신금융협회도 동아일보와 경제5단체의 ‘우리 집부터 경제살리자 : 여름휴가는 국내에서’ 캠페인에 동참하기 위하+여팔을 걷어붙이고 나서 +었다 .	O O O O O ORG-B O O O O O O O O O O O O O O O
28년간 20회 이상 ‘교향악 축제’ 무대에서 +었던 수원시립교향악단(28회), 부천필하모닉 오케스트라(27회), 코리안심포니 오케스트라(27회), KBS 교향악단(25회), 부산시립교향악단(24회), 서울시립교향악단(23회), 대전시립교향악단(23회), 인천시립교향악단(22회), 대구시립교향악단(20회) 등이 올해도 무대에 오르+ㄴ다 .	O O O O O O O ORG-B ORG-B O ORG-B O ORG-B O ORG-B ORG-B ORG-B ORG-B ORG-B O O O O O
그런데 최홍만은 과거 자신이 1년에 수십억을 벌+ㄴ다고 발언 하+ㄴ 적 있다 .	O PER-B O O O O O O O O O O
40점 미만은 낙제다 .	O O O O
황 권한대행은 "여러분들로 인하+여 많은 사람들이 위기를 넘어서 새롭ㄴ 삶을 열어가고 있다"며 "여러분들을 통하+여서 밝고 희망차+ㄴ 미래를 만들어가는 국민들의 영웅이라고 생각 하+ㄴ다"고 치켜세우었다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
이씨는 “고등학교 때 뤼팽, 셜록 홈스, 에드거 앨런 포의 단편집 등 추리소설을 즐기+ 어 읽었던 추억을 되새기기 위 하+여오+ㄴ다 .	PER-B O O PER-B PER-B O PER-B O O O O O O O O O O O O O
옐친은 취임 후 이 별장에 머물면서 개혁 정책의 근간과 중요국사를 결정 하+여+오았다 .	PER-B O O O O O O O O O O O O
이번 프로모션은 오이보스의 대표 상품이+ㄴ 우레아 워싱 클렌저, 안티댄 드 러프 샴푸(지성 두피/비듬용), 리퀴드 멀티 클렌저(레드/블루), 판테놀 멀티 크림, 페미닌청결제(남성/여성) 등 5가지 제품이다 .	O O ORG-B O O O O O O O O O O O O O O O O O O O O O
ABC 방송의 27일 조사에서 미 전역의 민주당 지지자 중 55%는 클린턴을 지지하였고 샌더스는 36%에 그치었다 .	ORG-B O O O LOC-B O ORG-B O O O PER-B O ORG-B O O O
