웡셰프는 제주 페스티벌 때 제주 옥돔에 하와이의 재료들을 곁들이 +ㄴ 요리를 선보이+ㄹ 계획이다 .	PER-B LOC-B O O LOC-B O O O O O O O O O
2015년 이전만 하+여도 “여전히 (반부패 문제가) 심각하고 복잡하다”고 +였지만 2015년에는 “부패와 반부패의 교착상태”라고 +였고 지난해 말에는 “반부패 투쟁의 압도적 태세가 이미 형성되었다”고 긍정적으로 평가하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
쉐이크쉑 4호점이 들어서게 되+ㄹ 곳은 AK플라자 분당점 1층이다 .	ORG-B O O O O LOC-B O O O
온라인 중앙일보 환절기 면역력 [사진 중앙DB .	ORG-B O O O O O O
민자당 로재봉 의원은 『6·25는 우리로서 +ㄴ그냥 넘어가 +ㄹ 수 없는 문제』라고 전제, 『 북한의 남침 사실이 역사적으로 밝혀지+ㄴ 만큼 반드시 이 문제를 거론하+ 여야 하+ㄴ 다』고 말 하+ㄴ다 .	ORG-B PER-B O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O
중국 당나라 때 +었던 청동젓가락·은젓가락과 한·중·일도 예가 60여명이 만들 +ㄴ 창작젓가락도 선보이+ㄴ다 .	ORG-B O O O O ORG-B O O O O O O O
2013년 12월 한국행정연구원이 전자카드 도입 효과에 대하+ㄴ 연구용역을 하+ㄴ 결과, 스포츠토토 이용 고객 중 전자카드가 도입되면 차라리 불법 도박사이트를 이용하겠다는 응답이 38.44%에 달하었을 정도+이다 .	O O ORG-B O O O O O O O O O O O O O O O O O O O O O O
매출 총량규제와 영업장 수 규제 등 합법 사행산업에 대하+ㄴ규제가 오히려 불법 도박시장 규모(2008년 53조원→2012년 75조원)만 키우었다는 점에 주목 하+ㄹ 필요가 있다 .	O O O O O O O O O O O O O MNY-B MNY-B O O O O O O O
“정음이를 올해 1군에서 쓰겠다”고 공언하였다 .	PER-B O O O O O
그동안 천정배 의원이 이끌는 국민회의와 정의당과는 비공식이+ㄴ 협의를 잇어+오았습니다만 결실을 맺지 못하+였습니다 .	O PER-B O O ORG-B ORG-B O O O O O O O
‘하니 관리 비법’ 그룹이 엑스아이디(EXID) 하니가 ‘어스타일 포유’에서 몸매 관리 비법을 공개하+ㄹ 것으로 알려지었다 .	PER-B O O O ORG-B PER-B O O O O O PER-B O O O
영국에서는 각 에피소드당 6편씩 시즌3를 마지막으로 방영을 마치었으나, 미국에서는 동시간대 시청률 1위 +이라는 인기에 힘입어 시즌4까지 편성하게 +었다 .	ORG-B O O O O O O O ORG-B O O O O O O O O O O
정우는 케이블 채널 tvN드라마 ‘응답하라 1994’에서 ‘쓰레기’ 캐릭터를 맡고 인기를 끌었고 현재 ‘꽃보다 청춘3’에 출연 중이다 .	PER-B O O O O O PER-B O O O O O O O O O O
조 의원과 이석수 특별감찰관은 서울대 법대(81학번)와 사법연수원(18기) 동기+이고 서로 하숙집 에 드나들+ㄹ 정도로 가깝었다고 하+ㄴ다 .	PER-B O PER-B O ORG-B O ORG-B O O O O O O O O O
기본 자격을 갖추+ㄴ 중 등 3학년부터 고 등 1학년 학생이라면 미국 공립학교에서 한 학기 또는 1년간 교육을 받을 수 있다 .	O O O O O O O O O O ORG-B O O O O O O O O O O
(주)인터아치의 정희호 영업대표는 “문화적 이+ㄴ 욕구가 증대되고 있는 상황에서 소장가치로서의 예술작품이 아니+ㄴ 대중성을 지니 +ㄴ 작품들로 대중과 문화를 쉽게 연결하고자 하+ㄴ다”며, “일상에서 문화생활을 즐기+ㄹ 수 있도록 지속적으로 다양하+ㄴ 작품들을 소개하+ㄹ 예정이다”라고 밝히었다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
