휴먼다큐 안현수 우나리, "선배가 금메달 필요하다고 "승부조작 내막이 .	O PER-B PER-B O O O O O O
1인 광고 제작자의 등장은 그런 점에서 혁신이죠. 그리 하+여도 UHD(Ultra-HD) 화질 가상현실(VR) 광고나 360도 광고, PC, 태블릿, 휴대전화 등 디바이스별로 최적화되+ㄴ 첨단 광고는 대형 광고회사만 만들 +ㄹ 수 있는 영역으로 여기 +어+지었는데요, 이 공식도 무너지고 있습니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
더불어민주당 남인순 의원은 국민의당 안철수 대선 후보의 유치원 공약을 두고 “학부모님들이 가장 보내고 싶어하는 곳이 국공립 단설”이라면서 “유치원 중 고작 3.4%에 불과하+ㅁ에도 안 후보가 신설 자제를 강조하+ㄴ 것이 놀랍다”고 비판하였다 .	ORG-B PER-B O ORG-B PER-B O O O O O O O O O O O O O O O O O PER-B O O O O O O O O
남인순 의원은 이날 자신의 소셜미디어에 “안철수 후보가 ‘(국공립) 단설 유치원 신설을 자제하고 사립유치 원 독립운영을 보장하겠다’고 하여 학부모님들의 원성을 사+았다”면서 이같이 밝히었다 .	PER-B O O O O PER-B O O O O O O O O O O O O O O O O O
앞서 안철수 후보는 서울 송파구 방이동 올림픽공원 SK핸드볼 경기장에서 열리+ㄴ한국유치원총연합회 사립유치원 유아교육자대회에서 “대형 단설 유치원 신설을 자제하고, 사립유치원에 대하+여서 독립운영을 보장하고, 시설특성과 그에 따르+ㄴ 운영을 인정하+ㄹ 것”이라고 밝히었다 .	O PER-B O LOC-B O O O O O ORG-B O O O O O O O O O O O O O O O O O O O
이후 안철수 후보의 공약이 온라인 육아 커뮤니티를 중심으로 확산하자 안 후보는 자신의 소셜미디어에 “제 유치원 공약은 기본적으로 보육 및 유아교육시설을 확대하+ 여출발선이 평등하+ㄴ교육을 하겠다는 것”이라면서 “‘교육은 국가가 책임지+ㄴ다’는 원칙을 관철하+여나가 +ㄹ 것이다 .	O PER-B O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
바로 오 상무(안성기)의 아내를 연기하+ㄴ 배우 김호정(47)이다 .	O O PER-B O O O PER-B O
일본은 이런 문제를 언제 처음 인식하였을까.과거 기사를 살펴보면 ‘일본’과 ‘고령화’ 키워드가 본격적으로 만나기 시작하+ㄴ 것은 46년 전 이+ㄴ 1970년 들어서다 .	ORG-B O O O O O O O ORG-B O O O O O O O O O O O O
MC들이 전소민과 한민관이 닮았다고 말하자, 전소민은 “부인 하+ㄹ 수 없어 답답하다”며 쿨하게 인정하였다 .	O PER-B O O O PER-B O O O O O O O O
이어 손수현은 자신이 홍석천 닮은꼴이라고 말하였다 .	O PER-B O PER-B O O O
윤씨 등은 2008년 11월 서울역 광장에서 열리+ㄴ 반정부 집회에 참가하였다가 집회가 끝나자 지하철로 홍대입구역으로 옮기+어3, 4차로 도로를 점거하고 구호를 외치면서 행진하다가 경찰에 붙잡히 었다 .	PER-B O O O LOC-B O O O O O O O O LOC-B O O O O O O O O O O O
배우 최진혁이 입대를 앞두고 인사를 전하였다 .	O PER-B O O O O O
최진혁은 지나 +ㄴ 30일 자신의 인스타그램에 “머리 자르았어요 .	PER-B O O O O O O O O
사실상 문 대표의 사퇴를 촉구 하+ㄴ 것이다 .	O PER-B O O O O O O
산뜻하+ㄴ 짧은 헤어스타일로 시선을 사로잡은 강균성은 아이돌 못하지 않은 꽃미남훈남 외모로 눈길을 끌고 있다 .	O O O O O PER-B O O O O O O O O O
강균성 소속사 YNB엔터테인먼트는 "강균성의 색다르+ㄴ 변신은 유명 작사가 JQ(제이큐)와의 듀엣 곡 발표를 위하+ㄴ 것으로 신곡은 9월 중 발표되+ㄹ 예정"이라고 언급하였다 .	PER-B O ORG-B PER-B O O O O PER-B O O O O O O O O O O O O
