캐논코리아 컨슈머 이미징(대표 강동환)는 18일 서울그랑서울 나인트리컨벤션에서 2016년 상반기 전략 신제품 최고급기 및 중급기 DSLR 카메라 2종을 공개하였다 .	ORG-B ORG-I ORG-I PER-B O LOC-B LOC-I O O O O O O O O O O O O
캐논은 올해 ‘프리미엄 중∙ 고급하기 DSLR 카메라의 해’로 선언하고 캐논 풀프레임 플래그십 DSLR 카메라 ‘EOS-1DXM arkII’와 프리미엄 중급 DSLR 카메라 ‘EOS 80D’를 상반기 전략 신제품으로 선보이었다 .	ORG-B O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
EOS-1DXMarkII는 캐논 최상위 플래그십 모델이다 .	O ORG-B O O O O
지난해 2월 이후 1년 3개월여 만이 +ㄴ이번 방한은 한중순방의 일환이다 .	O O O O O O O O ORG-B O O
우즈는 불륜과 이혼에 따르+ㄴ이미지 실추로 스폰서가 줄어들 +ㄴ데다 부상으로 ‘젖줄’로 불리던 아시아 지역 대회의 고액 초청료도 사라지었다 .	PER-B O O O O O O O O O O LOC-B O O O O O O
재판부는 이어 “강씨는 미리 수면제를 준비 하+여아내와 아이들에게 먹이는 등 주도면밀하고 대담하게 범행을 계획하였다”며 “피해자들이 강씨의 폭력에 저항하는 과정에서 느끼었을 정신적·육체적 고통은 짐작조차 어렵다”고 말하였다 .	O O PER-B O O O O O O O O O O O O PER-B O O O O O O O O O O
재판부는 그러면서 “강씨의 재산 상태를 객관적으로 살펴보면 경제적 곤궁을 겪고 있었다고 보기 어렵다”며 “강씨가 소유하고 있던 부동산, 예금, 차량 등 재산을 살펴보면 경제적 어려움은 얼마든지 극복 가능하였다”고 지적하였다 .	O O PER-B O O O O O O O O O O PER-B O O O O O O O O O O O O O O O
아울러 “심신미약 상태에서 범행을 저지르었다”는 강씨의 주장에 대하+여 “계획적으로 범행을 저지르+ㄴ점, 정신감정 결과, 수사기관에서의 진술 내용 등에 비추+어보면 사물을 변별 하+ㄴ 능력이나 의사결정 능력이 미약하+ㄴ 상태+이었다고 보기 어렵다”며 받아들이지 않았다 .	O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
재판부는 다만 “강씨의 부모님이 피해자 유족들의 슬픔을 위로하기 위하+여 노력하고 있는 점, 피해자 유족들이 강씨의 선처를 탄원하고 있는 점, 중증도우을 증증세를 보이고 있는 점 등을 참작하였다”고 덧붙이었다 .	O O PER-B O O O O O O O O O O O PER-B O O O O O O O O O O O O O
강씨는 1월 6일 오전 서울 서초동 자신의 아파트에서 부인과 맏딸, 둘째 딸에게 수면제를 먹이고 목조르 아 숨지게 하+ㄴ후투신 자살을 기도하였지만 실패하였다 .	PER-B O O O LOC-B LOC-B O O O O O O O O O O O O O O O O
조사 결과 강씨는 회사를 그만두+ㄴ 뒤 아파트를 담보로 빌리+ㄴ돈을 제때 갚지 못하게 되자 극단적 이+ㄴ 선택을 하+ㄴ 것으로 드러나 +았다 .	O O PER-B O O O O O O O O O O O O O O O O O O
남궁성 원불교 교정원장은 11일 열리+ㄴ 간담회에서 “그동안 여성 교무 결혼이 금지되+어+오았지만 시대 변화에 맞추+어 결혼을 허용 하+여야 하는가에 대하+ㄴ 논의가 교단 차원에서 진행되고 있다”며 “찬반 의견이 치열하+ㄴ 상황”이라고 +였다 .	PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
박나래와 딘딘조합은 요즘 이들이 왜 바쁘+ㄴ지 딱 보+아도 고개가 끄덕이 어지+ㄴ다 .	PER-B PER-I O O O O O O O O O O
스프링캠프 때 머리를 오렌지색으로 염색 하+ㄴ문제로 갈등을 빚은 김성근 감독에게 앙금이 남아 있지만 효심이 깊은 로저스가 어머니 뜻을 저버리기 힘들어 마운드에 오르고 있다는 이야기+이었다 .	O O O O O O O O PER-B O O O O O O PER-B O O O O O O O O O
학교 측은 교권보호위원회를 열고 대응책을 논의하려고 +였지만 여교사의 반대로 하지 않았다 .	O O ORG-B O O O O O O O O O
이를 듣던 출연자들이 하나같이 의아하+여하자 박상민은 ‘최씨’라고 힌트를 던지었다 .	O O O O O PER-B PER-B O O O
유인나, 아이유와 단둘이 유럽 여행 ‘눈길 .	PER-B PER-B O LOC-B O O O
