수취인 이 케이뱅크에 가입하지 않았어도 링크를 열고 본인 계좌번호를 입력 하+여 돈을 받을 수 있다 .	O O ORG-B O O O O O O O O O O O O O
대학 동아리 방의 방명록에 남기+ㄴ조기영 시인의 글씨를 보고 첫눈에 반하+ㄴ 고민정 아나운서.고민정 아나운서는 그때 당시를 회상하며 “그 당시 대학 동아리에 방명록 같은 것+이 있었는데, 다른 학생들이 쓰+ㄴ 내용과는 다르게 남편이 +어놓고 간 글씨는 필체가 정말 좋았다 .	O O O O PER-B O O O O O PER-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
유 장관은 “과거처럼 분양 물량이 한꺼번에 쏟아 지+어나오아 시장이 혼란을 겪는 일은 없을 것”이라면서도 “급등과 급락 모두 문제이기 때문에 시장이 적당 하+ㄴ 수준을 유지하+여가+ㄹ 수 있도록 당국이 주시하겠다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O
신지애는 31일 일본 야마나시현 메이플 포인트 골프장(파72)에서 열리+ㄴ대회 최종 3라운드에서 버디 6개를 몰아치고 보기는 1개로 막아내+어 5언더파 67타를 +었지만 합계 13언더파 203 타로테레사루(대만·14언더파 202타)에 1타 뒤 지+어준 우승에 만족하었다 .	PER-B O LOC-B LOC-B LOC-B LOC-I LOC-I O O O O O O O O O O O O O O O ORG-B O O O O O O O
두 가지 모두 미래전략실의 전신이 +ㄴ 구조조정본부가 중심이 되+어 실행하였던 사안들이다 .	O O O O O O O O O O O O
온라인 비디오항목에서 추천, 인기, 신규 등 다른 사용자의 동영상을 보+ㄹ 수 있으며, 특히 360도탭에서는 360도 동영상만을 별도로 모으아 보+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O
▽ 박철우 교수=대학들도 청년들을 해외 기업에 취업시키기 위하+여 노력하고 있다 .	O PER-B O O O O O O O O O
“미르·K스포츠 의 혹 명백히 밝히+어야 …檢은 폐 우려” 野한 목소 .	ORG-B O O O O O O O O O O
유석현은 전반기 마무리를 앞두고 플라잉을 범하였으나 탄탄하 +ㄴ 실력과 강 하+ㄴ 승부욕으로 제재 복귀 이후의 행보가 주목되 +ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O
그래서 ANC와 자주 유혈 충돌을 빚던 줄루 족 기반의 인카타 자유당의 총선 참여도 얻어내 +었다 .	O ORG-B O O O O O O O ORG-B ORG-I O O O O O
마이크 펜스 미국 부통령이 16일부터 사흘간 취임 후 처음으로 한국을 방문하+ㄴ다 .	PER-B PER-I ORG-B O O O O O O ORG-B O O
IS12개국에 본부 지부…최근 테러 발생 하+ㄴ 방글라데시에도 .	ORG-B O O O O O ORG-B O
온라인 중앙일보 ‘전남대 교수직 위해제’.[사진 중앙포토 .	O O ORG-B O O O O
특히 “이번 사고는 사망자가 세월호처럼 다수가 아니라, 조카 한 명뿐이라는 사실을 제외하고는 세월호 참사와 다르+ㄹ바가 없다 .	O O O O O O O O O O O O O O O O O
이에 따르 아내년 총선을 앞두고 공천 실무와 살림을 담당 하+ㄹ 당 사무총장 인선에는 3선 이상 의원들 중 계파와 지역을 고려한 의원 5~6명을 검토 대상에 올려놓고 있다고 하+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
