2012년 런던올림픽 동메달리스트를 상대로 하+ㄴ시원하+ㄴ한 판이었다 .	O O O O O O O
6대 제임스 본드 이+ㄴ 크레이그는 지금까지 ‘007 카지노 로얄’ ‘007 퀀텀 오브 솔러스’ ‘007 스카이폴’에잇어 곧 개봉되+ㄹ ‘007 스펙터’에도 주연을 맡았다 .	O PER-B PER-I O PER-B O O O O O O O O O O O O O O O O O
안병훈(26·CJ대한통운)은 1~3라운드에서 보기를 단 1개만 +였다 .	ORG-B O O O O O O
‘집밥백 선생’ 측에 따르면 해당 영상에서 윤상은 앞치마를 두르고 주방에서 ‘닭다리 스테이크’ 만들기에 도전하였다 .	O O O O O O O O O O O O O O O
이 경심 "김정란 닮았다는 얘기 많이 듣었다" .	O O PER-B O O O O O
이 책에서는 아주 초기의 바빌로니아설형 문자 숫자와 이후 그리스 및 로마의 문자로 되+ㄴ숫자에 대하+여 알리러지+ㄴ 역사를 간단히 추적하고 가장 중요하+ㄴ 질문을 던지+ㄴ다 .	O O O O LOC-B O O O LOC-B O LOC-B O O O O O O O O O O O O
한은이 2004년 관련 조사를 시작하+ㄴ 이후 처음 있는 일이다 .	ORG-B O O O O O O O O O
대만이 회원국으로 참가하는 아시아·태평양경제협력체(APEC) 정상회의와 같은 예외를 제외하면 그가 국가 정상으로서의 의전을 받으며 가+ㄹ 수 있는 나라는 국교를 유지하고 있는 22개국뿐이다 .	ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O
마잉주(馬英九) 총통은 그 가운데 과테말라와 벨리즈를 고르 아 임기 중 마지막 순방에 나서 +었다 .	PER-B O O O LOC-B LOC-B O O O O O O O O O
그러나 1군 무대는 여전히 녹록하지 않았다 .	O ORG-B O O O O O
전남대 최한선 총장과 총학생회는 11일 오후 2시 교내 본관 회의실에서 공동기자회견을 갖고 앞으로 과격 시위를 지양하고 건전하+ㄴ 시위문화를 정착시키는 데 함께 노력 하+ㄹ 것을 다짐하였다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O
강 하늘은 다이어트 비법으로 오이와 토마토 등 수분이 많은 음식을 먹어 몸의 노폐물을 자주 배출하였던 것을 꼽았다 .	PER-B PER-I O O O O O O O O O O O O O O O O
교육부 관계자는 “명예퇴직이 늘어 인건비도 줄었는데 교육청이 여전히 이를 지나치게 높게 잡았다”며 “2017년에 짓을 학교 건설비를 2016년 예산에 반영하+ㄴ 부분도 과대 편성”이라고 비판하였다 .	ORG-B O O O O O ORG-B O O O O O O O O O O O O O O O O O
다만 조기 대선을 앞두 +ㄴ 시점이라는 점에서 박 전 대통령의 구속이 끼치+ㄹ 정치적 영향력을 검찰이 무시하지 못하+ㄹ 것이라는 시각도 있다 .	O O O O O O O PER-B O O O O O O O O O O O O O
20일 법조계에 따르면 박 전 대통령은 공모 혐의만 13개에 달하는 국정농단 사건의 주요 피의자다 .	O O O PER-B O O O O O O O O O O O
정부는 그러나 늦어도 96년부터는 실수요와 무관하+ㄴ 주거용 주택이나 임대용 상점 등 자산운용용 부동산 투자도 허용 하+ㄹ 방침이어서, 96년부터는 해외 부동산 투자가 사실상 크게 활발하+ 여지+ㄹ 전망이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
오른팔 골절상… SK 새용병 물색 브라운·켈리는 ‘멘탈 문제’ 골머리SK가 트래비스 밴와트(29·사진)를 보내고 다시 투수를 찾는다 .	O O ORG-B O O PER-B O O ORG-B PER-B PER-I O O O O O
