이 같은 상황에서 486급 노트북PC의 대거 등장은 노트북PC도 데스크탑 못하지 않은 고도의 성능을 갖추기 시작하었다는 것을 의미하+ㄴ다 .	O O O O O O O O O O O O O O O O O O
반성 끝이라는 한국당, 金배지 반환 .	O O ORG-B O O O
상장 종목(1500여개) 중 1000여개 종목이 하한가(하루 변동제한폭±10%)를 기록하였다 .	O O O O O O O O O
[MagazineD/Money&Bus iness] 폭염이 기+ㄴ 상생 마케 .	O O O O O O O
정인아스카이다이빙 사고, "낙하산 펴지었으나 육지 착륙 못하고 수면으로 떨어지+어익사 .	PER-B O O O O O O O O O
이렇게 생산하+ㄴ미역 2t가량을 판매 하+여 어촌계 회원가구당 평균 400만원 정도의 수입을 받는다 .	O O O O O O O O MNY-B O O O O
“고민하+ㄹ 필요가 없었다”는 삼성이상 민 감독의 말처럼 라틀리프는 대부분의 구단이 뽑고 싶어 한 선수+이다 .	O O O ORG-B O O O PER-B O O O O O O O
미래창조과학부는 28일 ‘2016년 국가연구개발 성과 평가 유공’ 포상 수여식을 경기국립과천과학관 상상홀에서 열고 과학기술인 97명과 3개 기관에 훈장과 포장을 수여하였다 .	ORG-B O O O O O O O O LOC-B O O O O O O O O O O
프로야구 원년부터 지난해까지 7전 4선 승제로 치르어지는 한국시리즈에서 1, 2, 3차전을 연거푸 이기+ㄴ 경우는 7차례로 모두 3연승을 거두+ㄴ팀들이 한국시리즈 우승컵을 차지하였다 .	O O O O O O O LOC-B O O O O O O O O O O LOC-B O O O
318전 179승 69무 70패승률 56.3%를 기록하면서 2차례 독일 분데스리가와 3번의 독일 프로축구 리그(DFL) 슈퍼컵, 독일 축구협회(DFB) 포칼 우승 1회로 팀을 이끌었다 .	O O O O O O O ORG-B O O ORG-B O O O ORG-B O O O O O O O
꿈을 이루지 못하고 방황하는 젊은 층이 많은 것은 중국도 예외가 아니다 .	O O O O O O O O ORG-B O O O
강원랜드는 17년 동안 도박중독과 그로 인하+ㄴ 사회적폐해를 줄이려고 심하+여+았다 .	ORG-B O O O O O O O O O
은밀하+ㄴ 신체 부위를 보이어주는 음란 채팅을 하자고 속이 +ㄴ 뒤 대화 내용을 지인들에게 공개하겠다고 협박 하+여 돈을 받아내는 ‘몸캠 피싱’ 피해자가 이번에는 피의자가 되+어 같은 방법으로 250명이 넘는 남성들을 ‘낚아’ 오 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
효성 측은 2015년 신규 분양은 이달 말 광명역세권 오피스텔 616실을 시작으로 충남 공주에 아파트 476세대, 용인서천에 2개 단지 1071세대 등 전국에 1만여 세대 분양이 목표+이라고 밝히었다 .	ORG-B O O O O O O LOC-B O O O LOC-B LOC-B O O LOC-B O O O O O O O O O O O
조사 대상이+ㄴ 당산, 잠실, 동호, 동작철교 등 4개의 지하철 전용 한 강철교는 서울교통의 핏줄이+ㄴ 지하철이 매일 오가는 교량들 .	O O LOC-B LOC-B LOC-B LOC-B O O O O O O LOC-B O O O O O O
