판문점을 통하+여귀국 하+ㄴ 뒤 바로 국가보안법 위반(잠입 탈출)죄로 수감되었다 .	ORG-B O O O O O O O O O
노 대통령= (환하게 웃으며) “그 아이는 그쪽에서 부탁하기 전에, 나+의 딸이오.나한테 맡기+어놓으시오.”연 총리= “감사 하+ㅂ니다 .	PER-B O O O O O O O O O O PER-B O O O O
”노 대통령 =“다른 부탁은 없소?”연 총리 = (잠시 사이) “유엔 가입을 보류하+여주시+ㅂ시오.” 88년 남북 고위급 회담 제안 이후, 92년까지 남북한 총리는 일곱 차례 서울과 평양을 오가+았다 .	PER-B O O O PER-B O O O O ORG-B O O O ORG-B O O O O O ORG-B O O O LOC-B LOC-B O O
91년 말에 +ㄴ 남북관계장전이라 불리는 ‘기본합의서’와 ‘한반도 비핵화 공동선언’이 채택되었다 .	O O O ORG-B O O O O O O O
핵폐기물 재처리 허용, 원화-달러간 통화스와프 체결, 1단계 위성 발사체 기술이전, 3000t급 핵잠수함 건조 허용, 800㎞로 묶이어 있는 미사일 사거리 확장, 이 다섯 가지를 얻어내면 나르+ㅁ의미있다고 보+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
”주한미군 철수가 이루어지면 어떻게 하+ 여야 하나.“미국이 빼더라도 본토 아니+ㄴ괌으로 이전 하+ㄹ 것이다 .	ORG-B O O O O O ORG-B O O O O O O O
또 총학생회는 “재발방지 대책 수립을 위하+여신입생 2350명을 대상으로 익 명 설문조사를 진행하겠다”고 덧붙이었다 .	O O O O O O O O O O O O O O
성별로는 여성 81%, 남성 55%가 각각 불만족을 표시하였고, 원하는 체중감량 정도는 평균 7.2kg이었다 .	O O O O O O O O O O O O O O
체중감량 희망이유는 ‘전반적 이+ㄴ 건강증진을 위하+여’(93%·복수 응답)와 ‘더 날렵하+ㄴ 느낌을 가지려고’(91%) 등을 들었다 .	O O O O O O O O O O O O O O
한국인의 스트레스 지수도 6.6점으로 아·태 지역 평균(6.2점)보다 높았다 .	O O O O LOC-B LOC-I O O O
근로자 10명 중 7명“시도 때도 없이 업무지시 받아 스트레스 .	O O O O O O O O O O
‘김나영 결혼’ 김나영이 결혼 소감을 올리+어 화제+이다 .	PER-B O PER-B O O O O O
김나영은 27일 자신의 SNS에 멋스럽ㄴ 흰색 원피스를 입고 환하게 웃고 있는 사진과 함께 “2년 조금 모자라 +ㄴ 시간 동안 한결같은 모습으로 저+의 옆에서 응원 하+여주는 짝꿍”으로 시작하는 글을 게재하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이어 김나영은 “평소 함께 어울리는 즐겁ㄴ 저희들의 친구 열 명과 함께 평소보다 조금 근사 하+ㄴ 옷을 차려입고 평소보다 조금 근사 하+ㄴ 저녁을 먹으며 그들 앞에서 결혼 약속을 하려 하+여요” +이라며 “아무렇지도 않을 것+이라 생각하였는데 오묘하+ㄴ 기분에 발가락도 손가락도 간질간질하네요. 저희는 오늘 결혼서약을 마치고 아름답ㄴ 제주도에서 며칠간 신혼여행이라는 것도 친구들과 함께 즐기 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O LOC-B O O O O O O O
대한승마협회와 국민체육진흥공단이 후원하고 프랑스, 일본, 싱가포르 등의 국내외 승마 선수 20여명이 참가하+ㄴ다 .	ORG-B ORG-B O ORG-B ORG-B ORG-B O O O O O O O
C씨는 이 말에 너무나도 크+ㄴ 충격을 받아 말을 잊었으며, 말이 비수보다 더 날카롭 ㄴ 폭력이 되고, 말 때문에 죽을 수도 있다는 것을 알게 +었다고 하+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
바로 전날 이+ㄴ 지난해 9월 29일 서울 압구정 CGV에서는 신작 ‘지금은 맞고 그때는 틀리다’ 감독과의 대화가 진행되었다 .	O O O O O O LOC-B LOC-B LOC-I O O O O O O O O O
