조민근 경제부문 차 .	PER-B O O O
이렇게 명문 구단들은 6월 이 시작하+ㄴ 뒤 다음 시즌에 대비하기 위하+여활발하게 움직이고 있다 .	O O O O O O O O O O O O O O
최고의 시즌을 보내고 있는 손흥민(25·토트넘)이 잉글랜드 프리미어리그(EPL) 우승 트로피까지 들어올리+ㄹ 수 있을까. 맨체스터 유나이티드(맨유)가 17일 32라운드에서 선두첼시를 2-0으로 완파하면서 쉽지 않아 보이었던 토트넘의 우승 가능성이 열리고 있다 .	O O O O ORG-B ORG-B ORG-B O O O O O ORG-B ORG-B O O ORG-B O O O O O ORG-B O O O O O
숫기 없는 노총각·젊은과부의 설화 영험 하+ㄴ바위로 일대에 소문이 자자 30년 전만 하+여도 무속인들로 장사진 마르지 않는 샘덕분에 농사도 짓고 일부는 잘리+어나가 +아학교 건물자재로 전남 고흥은 바다의 고장이 자산과 바위의 마을이기도 하다 .	O O O O O O O O O O O O O O O O O O O O O O O LOC-B LOC-B O O O O O O O
롯데그룹에 인수되 +ㄴ 렌터카 업체 kt렌탈이 회사명과 렌터카 브랜드명을 ‘롯데렌탈’ 및 ‘롯데렌터카’로 바꾸+ㄴ다고 22일 밝히었다 .	ORG-B O O O O ORG-B O O O ORG-B O ORG-B O O O O
A매치 106 경기에서 75골을 넣은 크리스티안(센트로올림피코)과 A매치 111 경기에서 +어21골을 기록하+ㄴ로자나(휴스턴)도 경계 대상이다 .	O O O O O ORG-B O O O O ORG-B O O O
업계에서는 최첨단 애플리케이션 프로세서(AP) ‘엑시노스’와 양쪽 모서리를 디스플레이로 제작하는 ‘양면 엣지’, 무선 충전 기술 등 최첨단 기술이 탑재되 +ㄹ 것으로 기대하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
유족으로는 부인과 3남. 유족은 “장례 절차와 형식은 미국에서 상의 하+여 결정 하+ㄹ 예정”이라고 전하였다 .	O O O O O O O ORG-B O O O O O O O
위키리별세 소식에 누리꾼들은 “위키리별세, 고인의 명복을 빌 +ㅂ니다 .	PER-B O O PER-B O O O O O
[분양 캘린더]7월 셋째 주 부동산 시장 주요 일 .	O O O O O O O O O
순끼 작가의 동명 웹툰을 원자으로 하+ㄴ '치즈인더트랩'은 모든 것이 완벽 하+ㄴ 남자유정(박해진 분)과 평범하지만 예민하+ㄴ그의 대학 후배 홍설(오연서 분), 그리고 백인호(박기웅 분) 등이 대학 캠퍼스에서 벌어지는 일을 그리 +ㄴ 작품.산다라박, 오종혁, 문지윤 등도 출연하+ㄴ다 .	PER-B O O O O O O O O O O PER-B O O O O O PER-B O O PER-B O O O O O O O O PER-B PER-B PER-B O O O
경기 군포경찰서는 구랍31일 전문위조단들이 신용카드를 대량 위조, 일본에서 3억3천7백여만 원 어치의 구매 전표가 발행되었다는 엘지신용카드 ㈜(대표 이재연)의 고소에 따르 아수사에 나서 +었다 .	ORG-B O MNY-B O O O O ORG-B MNY-B O O O O O ORG-B O PER-B O O O O O O
31일 문화공간 플리마켓 변신… 이벤트 다양 “스피돔에 오면 예술가도 있고, 핸드메이드 작품도 있고, 인디밴드의 콘서트는 덤으로 주+ㄴ다 .	O O O O O O O O O O O O O O O O O O
서울시는 생활임금심의위원회의 심의를 거치+어 내년도 생활임금을 이같이 결정하였다고 5일 밝히었다 .	LOC-B O O O O O O O O O O
