윤현숙, ‘애플힙’ 비결은 ‘30분 스트레칭 .	PER-B O O O O O
올 시즌 개막전 장소 역시 공교롭게도 악몽의 땅 잠실이다 .	O O O O O O O O LOC-B O
전기자에게 “시골에서 살는 거 적응이 되+ㄹ까, 아이들 교육이 문제 아니+ㄹ까”라고 묻으니 전기자는 “요즘은 인터넷에 발달 하+여서 학습 정보를 구하기 쉽고, 스마트폰이나 TV를 안 보니 오히려 책을 더 많이 읽게 되+어서 교육적으로도 문제가 없다고 하+여요”라더군요 .	PER-B O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O
지방의 한 차장검사는 “특검에서 K스포츠재단이 롯데 측에 70억원을 돌려주+ㄴ 경위와 수사정보 유출 및 비리묵인 가능성 등 제기되 +ㄴ 의혹 전반을 수사하+ㄹ 필요가 있다”고 말하였다 .	O O O O ORG-B ORG-B O MNY-B O O O O O O O O O O O O O O O O O
이에 대하+여당 시 수사를 지휘하였던 검찰 관계자는 “당시 롯데 계열사의 법인계좌를 포괄적으로 추적하지 않아 70억원의 존재를 모르았다”며 “정상적이+ㄴ 법인 기부금으로 나가 +ㄴ 것이기 때문에 우리가 추적하고 있던 ‘뇌물’과는 성격이 다른 돈이었다”고 해명하였다 .	O O O O O O O O ORG-B O O O O O MNY-B O O O O O O O O O ORG-B O O O O O O O O
특히 연간 2만건에 달하는 병원 밖 심정지의 약 10∼40%가 유전성 질환에 의하+ㄴ 부정맥에 해당하는 것으로 여기 +어지고 있으며, 유전성 부정맥은 청장년층 돌연사의 가장 중요하+ㄴ 원인으로 알려지+어 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지나+ㄴ 23일 진행되+ㄴ 3번째 대통령 선거 후보자 TV토론회에서 안 후보는 문재인 더불어민주당 후보를 상대로 ‘갑철수’, ‘MB아바타’ 등 그간 제기되었던 네거티브 공세를 반박하는 것에 주력하였다 .	O O O O O O O O PER-B O PER-B ORG-B O O PER-B PER-B O O O O O O O O O
정우성·황정민·주지훈·곽도원, '아수라' 출연 확정…"이것 +ㄴ꼭 보+아야 하+여 .	PER-B O O O O O O O
손흥민은 이날 리그 6~8호 골이자 시즌 12~14호 골을 터트리+어 단숨에 자신의 한 시즌 최 .	PER-B O O O O O O O O O O O O O O
SK하이닉스는 지난해 8월 반도체 공장 ‘M14’를 준공하+ㄴ데 잇어 두 개의 반도체 공장을 추가로 짓는데 총 46조원을 투자하겠다고 밝히었다 .	ORG-B O O O O O O O O O O O O O O MNY-B O O O
아울러 15홈런, 58타점, 60득점, 2루타24개, 3루타 2개, 5도루, 출루율 0.355, 장타율 0.461의 호성적을 거두고 있다 .	O O O O O O O O O O O O O O O O
7 타적은 3언더파 68타로 선두에 나서 +었다 .	O O O O O O O O
현재 위례신도시는 북서쪽은 서울 송파구, 북동쪽과 남쪽은 경기 하남시와 성남시로 각각 행정구역이 나뉘어 있다 .	O LOC-B O LOC-B LOC-B O O LOC-B LOC-B LOC-B O O O O O
기탄은 성애에게 “그동안 고맙었어. 너+ㄴ 진짜 멋지+ㄴ 요원이 되+ㄹ 것+이야. 기대 하+ㄹ게”+이라며 축하와 함께 서운하+ㅁ을 드러내+었다 .	PER-B PER-B O O O O O O O O O O O O O O O
특히 신라문화권에 속하는 이 3개 도시는 역사적·공간적으로 밀접하+ㄴ 생활권이기도 하다 .	O O O O O O O O O O O
