『 앞으로 닥치+ㄹ 미래가 있는데 인간이 이미 기계 같은 삶을 살고 있다면, 기계한 테 100% 지+ㅂ니다 .	O O O O O O O O O O O O O O O O O
재건축 아파트 역시 호가가 오르며 매매가격이 0.18% 상승하였다 .	O O O O O O O O O
회사 관계자는 “몬테소리 수학 원리와 최신 초등수학 교과과정이 반영되 +ㄴ초등 수학이 조합되+어 감각적이고 체계적 이+ㄴ 수학 프로그램을 완성하였다”면서 “41년의 노하우로 전문화되+ㄴ 홈스쿨 교사의 수업으로 아이들의 수학능력을 키우어 주+ㄹ 것”이라고 말하였다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
‘신축 10년 이내 ++소형++중저가’ 조건을 맞추+ㄹ 경우 공실을 최소화 하+ㄹ 수 있다 .	O O O O O O O O O O O O O
아이빌 스튜디오(대표 이선재)는 중요하+ㄴ 기념일을 챙기+어주는 애플 아이폰용 어플리케이션 '더 데이비포(TheDay Before)'를 출시하+ㄴ다고 12일 밝히었다 .	ORG-B ORG-I PER-B O O O O O O O O O O O O O
KOTRA는 1일 “지난달 30일 경기 고양시 킨텍스에서 열리+ㄴ붐업코리아에 정보통신기술, 소재부품, 서비스 등 다양하+ㄴ 분야의 국내 기업 940여 곳과 해외 바이어 350여 업체가 참여하였다”며 이같이 밝히었다 .	ORG-B O O O LOC-B LOC-B LOC-I O O O O O O O O O O O O O O O O O O O
오피스텔은 2개 동에 전용 84㎡ 이+ㄴ 282실이 들어서 +ㄴ다 .	O O O O O O O O O O
기아도 영업소에 아벨라 1대씩 공 .	ORG-B O O O O O
그 밖에 「SKC중학영어」(옥소리)「 앵무새 영어 첫걸음」(세광데이터테크) 「오성식 생활영어」「액티브 잉글리시」(삼성전자) 「민병철 매직잉글리시」(〃) 등 어학 학습용 시 디롬타이틀들도 꾸준하+ㄴ 판매 신장세를 보이고 있다 .	O O ORG-B O O ORG-B O O ORG-B O O O O O O O O O O O O O
팝송 ‘원서머 나이트’와 영화 ‘사랑의 스잔나(원제 추하·秋霞·1976)’의 주인공천추샤(陳秋霞·진추하·58)는 한국 7080세대에게 지금도 영원 하+ㄴ 뮤즈다 .	O O O O O O O PER-B LOC-B O O O O O O
‘한번 더 생각하+여보시라’며 만류하었지만, 지나 +ㄴ 주말 ‘뜻을 바꾸+ㄹ 생각이 없다’는 최종 통고가 +았다 .	O O O O O O O O O O O O O O O
인텔은 IoT 환경에 최적화되+ㄴ네트워크용 게이트웨이, 우표만 하+ㄴ 크기의 PC 이+ㄴ 인텔 에디슨(IntelEdison), 단추만 하+ㄴ PC 이+ㄴ 인텔 큐리(IntelCurie) 등을 이미 발표하였다 .	ORG-B O O O O O O O O O ORG-B O O O O O ORG-B O O O O O
이런 노력 덕분에 대륭 정밀은 최근 한국능률협회 국제화 대상을 받은 것을 비롯, 매년 크+ㄴ상을 한두 개씩 받고 있으며, 50%를 출자하+ㄴ 자회사격이+ㄴ 기륭전자 역시 올해 무역의 날에 포상을 받았다 .	O O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O
