스트라이크 존은 올해 WBC도 공식 후원사로 참여하+ㄴ다 .	O O O O O O O O
가장 애착이 가는 프로그램으로 ‘KB훈민정음’을 꼽았다 .	O O O O O O O
현아, ‘잘 나가 +아서 그래’로 컴백…원 더걸스, 사인CD주며 “이뿌니 사랑 하+여 .	PER-B O O O O O O O O O O O
이날 선발로 예정되+ㄴ이해창(30)이 빗방울을 원망스럽게 쳐다보자 강성 우 배터리 코치는 “(이)해창이너는 경기를 더 뛰어야 하는 입장이니 많이 아쉬워 하+여야 하+ㄴ다”면서 제자의 올바르+ㄴ 자세에 흐뭇하+ㅁ을 나타내기도 +였다 .	PER-I O PER-B O O O O O O O PER-B O O O O O O O O O O O O O O O O
김씨는 "적폐청산은 이루어 지+어야 하고, 여기에는 MB정부도 포함되 +ㄴ다"며 "누구나 BBK와 관련 하+여서는 마치 내가 잘못하+ㄴ 것같이 얘기하였지만, 실제로 그것은 한나라당이 잘못하+ㄴ 것이다"고 말하였다 .	PER-B O O O O O O O O O ORG-B O O O O O O O O O ORG-B O O O O
충분하+ㄴ 경제적 능력을 갖추+ㄴ남성은 그 나이에 30대 중반~40대 초반 여성과 또 결혼하+여서 늦둥이를 얻는다 .	O O O O O O O O O O O O O O O
개인 일정으로 한국을 찾았다가 이날 출국 하+ㄴ 중국 배우 쉬웨이저우를 만나려는 한국 팬들이 출국장으로 몰려들었기 때문이다 .	O O ORG-B O O O O ORG-B O PER-B O ORG-B O O O O O
우리 청소년들의 반일 감정이 일본 청소년들의 반한 감정보다 월등히 높고 우리 청소년들이 일본 청소년들보다 상대국을 훨씬 위협적 이+ㄴ 존재로 느끼고 있는 것으로 나타나 +았다 .	O O O O ORG-B O O O O O O O ORG-B O O O O O O O O O O O O
'잠적설'에 휩싸이기도 +였던 고영태(41) 전 더블루K 이사가 그동안 박영수 특별검사팀과 연락하며 수사에 협조 하+여오+ㄴ 것으로 알려지었다 .	O O O PER-B O ORG-B O O PER-B O O O O O O O O
8일 사정당국과 특검 등에 따르면 특검팀은 고씨와 그동안 긴밀히 접촉하며 외부에서 만남을 갖고 최씨의 뇌물수수 공범 혐의와 불법 재산 등 관련 정보를 수집하+여오+ㄴ 것으로 전하여 +지+었다 .	O O O O O O PER-B O O O O O PER-B PER-B O O O O O O O O O O O O O
고씨는 정식으로 참고인 조사를 받은 적은 없으나 6일 최순실(61)씨 재판에 증인으로 출석하기 전까지 행방이 묘연하였던 기간 동안에도 특검팀과는 전화 또는 외부 접촉을 통하+여수사에 협조하+여오+ㄴ 것으로 알려지었다 .	PER-B O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O
특검팀 내부 관계자는 "고씨를 사무실로 부르+ㄴ 적은 없지만 의사소통을 하고 있었던 것은 맞다"며 "모처에서 만나 +아고 씨로부터 최씨와 관련 하+여우리가 궁금하+ㄴ 부분과 알고 있는 내용들을 들어 수사에 참조하고 있다"고 말 하+ㄴ 것으로 전하여 +지+었다 .	O O O PER-B O O O O O PER-B O O O O O PER-B O PER-B O O O O PER-B O O O O PER-B PER-B O O O O O O
이어 "고씨를 범죄 피의자로 수사 대상에 올려놓을 계획은 현재로서 +ㄴ 없다"고 선을 긋었다 .	O PER-B O O O O O O O O PER-B O O O
특검팀은 고씨로부터 최씨의 재산에 대하+ㄴ 일부 자료도 넘겨받은 것으로 전하여 +지+었다 .	O PER-B PER-B O O O O O O O O O
한편 고씨는 9일 헌법재판소에서 열리는 12차 변론에 불출석 하+ㄹ 것으로 보이+ㄴ다 .	O PER-B O O O O O O O O O O
SOFA 부지 공여 절차는 일반적 이+ㄴ부지 공여 절차는 SOFA 합동위의 협상 개시 승인을 시작으로 각 분과 위별 협상을 거치+어 합동위가 최종 공여를 승인하는 순으로 진행되+ㄴ다 .	ORG-B O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
독일 남부에서 +ㄴ 테러가 이어지고 있다 .	LOC-B O O O O O O
무려 4시간 46분의 격렬 하+ㄴ 잠실벌전투가 끝나는 순간이었다 .	O O O O O LOC-B O O O
이날 연사로 참가 하+ㄴ필립스 H2H(HospitaltoHospital) 사업부 부사장 겸 최고 의료 책임자, 브라이언 로즌 펠드 박사는 “중환자수는 점차 증가하고 있지만 이들을 관리 하+ㄹ 중환자 전문의와 전문 간호인력은 세계 어느 나라든 부족 하+ㄴ 현실이다” +이라며 “eICU 프로그램을 사용하면 중환자가 어느 지역의 병원에 있든지 관계없이 효율적 이+ㄴ 중환자 관리가 가능하다”고 설명하였다 .	O O O ORG-B ORG-I O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
