【서울=뉴시스 .	LOC-B O
전기선이 지하에 매설되+ㅁ에 따르 아금성관 주위를 둘러싸 +ㄴ 전봇대 80여개 도 철거되었다 .	O O O O O O O O O O O O O
차도진은 같은 질문을 한 번 더 하+ㄴ 뒤 “그럼 나랑 시작하자”며 키스를 +였다 .	PER-B O O O O O O O O O O O O O
한편 ‘별이 되어 빛나리’는 1960년대를 배경으로 아버지의 죽음과 가문의 몰락 후 해방촌으로 흘러들어 오+ㄴ조봉희가 거칠+ㄴ 삶을 헤치+어나가며 대한민국 최고의 패션 디자이너로 성공하는 과정을 그리 +ㄴ드라마로 매주 평일 오전 9시에 방송되+ㄴ다 .	O O O O O O O O O O O O O PER-B O O O LOC-B O O O O O O O O O O O O O
‘별이 되어 빛나리 이 하율’ ‘별이 되어 빛나리 이 하율’ 온라인 중앙일보 [사진 KBS2 ‘별이되어 빛나리’ 캡처 .	O O O O O O O O O O ORG-B ORG-I O O O O O O
군사학과 특별전형은 학생부 성적순으로 1차 합격자를 선발하고 학생부(80%), 면접(10%), 체력검정(10%)으로 2차 평가하+ㄴ후수능 최저학력기준(국어·영어·수학 3개 영역의 등급 합산이 14등급 이내)을 적용하+여 최종 합격자를 선정하+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O
수시모집 원서 접수는 9월 9일부터 15일까지 +이다 .	O O O O O O O O
당초 보험업무는 보험점포에서 허용되지 않았지만 금융당국의 규제 완화로 이달부터 2017년 6월까지 한시적으로 보험업무도 허용되+ㄴ다 .	O O O O O ORG-B O O O O O O O O O
SOC 예산은 2015년 24조8000억원(추경 포함 26조1000억원), 올해 23조7000억원 등 3년째 감소 추세+이다 .	O O O MNY-B O MNY-B O MNY-B O O O O O
◇일정 ▲24일 = 출국, 동경 도착, 일왕 내외 예방, 재일동포 리셉션, 단독 정상회담, 일왕 내외 주최 공식 만찬 ▲25일 =국회 연설 및 국회 지도자 접견, 일본 경제단체 주최 오찬, 와세다대학 위수여식, 일본 정계지도자 접견 및 각계 유력 인사다과회, 총리 내외 주최 만찬 ▲26일 = 한일 정상 내외 조찬, 확대 정상회담 및 공동기자회견, 중국향발, 상해 도착, 상해임시정부청사 시찰, 상해시장 내외 접견 및 만찬 ▲27일 =로신공원 시찰, 폭동지구 시찰, 상해주재 상사원 오찬, 북경도착, 북경주재상사 원 리셉션 ▲28일 = 한중정상회담 및 협정서명식, 한중경제이+ㄴ 오찬, 만리장성 시찰, 강택민주석 주최 공식 만찬 ▲29일 =북경대 연설, 기자회견, 이붕총리 내외 접견 및 만찬 ▲30일= 천진한국전용공단 시찰, 귀국 .	O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B ORG-I O PER-B ORG-B O ORG-B O O O O O O O O O O O O ORG-B O O O O O O O ORG-B LOC-B O LOC-B O LOC-B O O O O O LOC-B O O O LOC-B O PER-B LOC-B LOC-B O O O O ORG-B O O ORG-B PER-B O O PER-B O O O O LOC-B O O PER-B O O O O O ORG-B O O O
그럼 요당연하죠 네네치킨”이라 적었다 .	O O ORG-B O O
이에 2일 오전 네네치킨은 대표이사 현철호 명의의 사과문을 통하+여 “고 노무현 대통령 합성사진 페이스북 게재로 국민 여러분께 심려를 끼치+어드리+ㄴ점 진심으로 사과드리+ㅂ니다”+이라면서 “있어서는 안 되+ㄹ일이 발생하+여저희도 너무 당황스럽고 참담하+ㄴ 심정”이라 설명하였다 .	O O O ORG-B O PER-B O O O O PER-B O O O O O O O O O O O O O O O O O O O O
최지우-이서진, 산토리니 언덕서 연인처럼 앉아 나누+ㄴ 얘기는 .	PER-B LOC-B O O O O O O
대방건설도 진주혁신도시에서 12월에 747가구 규모의 아파트를 분양하+ㄹ 예정이다 .	ORG-B LOC-B O O O O O O O
