로널드 레이건 행정부는 “비용이 많이들 +ㄴ다” +이라며 철거하였지만 2013년 버락 오바마 대통령이 다시 설치하였다 .	PER-B PER-I O O O O O O O PER-B PER-I O O O O
또한, 국제적 분석 능력을 인정받은 농산물 안정성 분석센터와 친환경 농산물 인증기관을 활용하+ㄴ 친환경과학영농 확대, 봉화은어축제 3년 연속 대한민국 우수축제 선정 등 군민 편익 향상에 크게 기여하였다 .	O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O
모든 절차를 5분 안에 가능하도록 +였다 .	O O O O O O O
써니뱅크하면 가장 먼저 떠오르는 것이 바로 ‘Su nny 스피드 업 누구나 환전’이다 .	ORG-B O O O O O O O O O O O O
2007년 소아알레르기호흡기학회지에는 ‘특발성 간질성 폐렴 15례의 임상적 고찰’이라는 제목의 논문이 발표되었다 .	O O O O O O O O O O O O
이 대형 부실회사는 이미 8년 전에 산업합리화 업체로 지정되+ㄹ만큼 진작부터 부실화되+ㄴ바 있었다 .	O O O O O O O O O O O O O
동복호 상류에 뿌리+어지는 농약이 연간 9천38㎏ .	O O O O O O O
포스코 1%나눔재단은 17일 인천화수동에서 스틸하우스 영유아 복지시설 기공식을 개최하였다 .	ORG-B ORG-I ORG-I LOC-B LOC-B LOC-I LOC-I O O O
박명수 작곡가 유재환 “‘무도’ 출연 후 인기에 어머니오열”…울 컥 하+ㄴ사연은? 박명수 작곡가 유재환 작곡가 유재환 이 방송 출연 후 얻은 인기에 어머니가 눈물을 흘리었다고 전하였다 .	PER-B O PER-B O O O O O O O PER-B O PER-B O PER-B O O O O O O O O O O O
지난달 20일 방송 하+ㄴ KBS쿨 FM ‘박명수의 라디오 쇼’에는 ‘무한도전 가요제’에 출연하+여화제를 모으+ㄴ 유재환이 게스트로 출연하였다 .	O O O O O O O O O O O O O PER-B O O O
이날 방송에서 유재환은 “사실 요즘 꿈같은 나날을 보내고 있다 .	O O PER-B O O O O O O O
2000년대 들어 현대인의 소비성향에 맞추어 기존 카레에 건강지향적 원료를 조화시키+ㄴ 프리미엄급 ‘3분 백세 카레’, 끓는 물에 데우거나 전자레인지를 이용하+ㄹ 필요 없이 밥 위에 그대로 붓어먹을 수 있어 간편하+ㄴ ‘그대로 카레, 그대로 짜장’도 출시되었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
넷마블, YES24의 콘텐츠를 활용하+ㄹ 수도 있다 .	ORG-B ORG-B O O O O O
2012 런던올림픽 동메달에잇어 2016 리우데자네이루 올림픽에서도 입상을 노리는 대표팀의 조편성과 경기 일정이 14일 확정되+ㄴ 가운데, 신태용 감독과 대한축구협회는 ‘2회 연속 메달’을 위하+ㄴ 로드맵 마련에 한창이다 .	O O O O O O O O O O O O O O O PER-B O ORG-B O O O O O O O O
서울시청 서소문별관 정동 전망대 무료전망대에서, 덕수궁과 정동 일대의 단풍을 한눈에 시청역 1, 2호선/서울 중구 서소문동 37서울시청 서소문청사1동13층 Tip 정동길과 덕수궁의 전경을 보기 위 하+여, 꼭! 창가 자리 추천!++ 낮에는 덕수궁의 단풍, 밤에는 서울 야경을 보+ㄹ 수 있다 .	LOC-B LOC-B LOC-B LOC-I LOC-I LOC-B LOC-B O O O O O LOC-B LOC-B LOC-B LOC-B LOC-B O LOC-B LOC-B O O O O O O O O O LOC-B O O LOC-B O O O O O
