지난해 확실하+ㄴ 믿음(?)을 +었던 한화가 달라지었기 때문이죠 .	O O O O ORG-B O O O
“토종 먹거리로 국민 밥상 사수” 315억 기부 등 사회공헌도 앞 .	O O O O O MNY-B O O O O O
대전을 ‘강하게 만들 +ㄴ’, 또 ‘항상 사력을 다 하+ㄴ’ 그런 선수로 각인되+ㄹ 것이다 .	LOC-B O O O O O O O O O O O O O
NS홈쇼핑(대표이사도 상철·www. nsmall. com)은 4월 23일 서울 양재동 aT센터(농수산물유통공사)에서 ‘제8회 우리 먹거리 요리경연축제’를 열 +ㄴ다고 5일 밝히었다 .	ORG-B O O O O O LOC-B LOC-B LOC-B O O O O O O O O O
수입품을 전문 취급하는 기무라야 체인에서는 역수입 하+ㄴ 세이코 시계가 국내 가격보다 훨씬 싸게 팔리+ㄴ다 .	O O O ORG-B ORG-I O O ORG-B O O O O O O O
호날두, 멀티 골득점하였으나 팀은 패배… 그리 하+여도 8강 .	PER-B O O O O O O O O
국내 자동차 브랜드 9개사와 수입자동차 브랜드 18개사 등 총 27개 완성차 브랜드에서 총 32종의 신차를 공개하+ㄴ다 .	O O O O O O O O O O O O O O O O O
이에 정부는 청년취업난 해소를 위하+ㄴ 다양하+ㄴ 정책과 방안을 내놓고 있는데 그 중 하나가 바로 청년 취업 인턴제+이다 .	O O O O O O O O O O O O O O O O O O
청년취업인턴제는 고용노동부 주관 고용지원사업으로 취업난과 반대로 구인난을 겪고 있는 중소기업의 고충을 해소하고 청년취업문제를 해결하는 일석이조의 효과를 거두고 있다 .	O ORG-B O ORG-B O O O O O O O O O O O O O O O
이에 경기 경영자총협회는 중소기업 청년취업인턴제를 적극 추진하고 있어 좋은 평가를 받고 있다 .	O ORG-B ORG-I O O O O O O O O O O
중소기업 청년인턴제는 상시근로자 5인 이상의 기업이면 참여하+ㄹ 수 있으며, 청년인턴 참여 희망구직자의 경우 만 15세 이상 만 34세 이하의 청년층 미취업자는 누구나 참여하+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
참여 기업에는 3개월의 인턴기간 동안 월 60만원씩, 180만원의 인건비를 정부에서 지원하며, 청년인턴이 정규직 근로자로 전환되 +ㄹ 경우 정규직 전환 지원금 390만원을 추가로 지원 하+ㄴ다 .	O O O O O O MNY-B MNY-B O O O O O O O O O O O O MNY-B O O O O
인턴 채용 한도는 최초 협약이 +ㄹ 기준, 기업 규모와 관계없이 본사와 지사의 근로자 수를 더 하+ㄴ수에 채용 하+ㄴ도(20% 이내, 강소기업 30%)를 곱 하+ㄴ인원으로 선발하+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
현재 고용노동부인가 경제단체 이+ㄴ경기 경영자총협회에서는 협회 회원사 및 청년인턴제 참여기업을 대상으로 무료 잡매칭 활동과 인사노무 관련 무료 컨설팅 서비스를 적극적으로 추진하고 있다 .	O ORG-B O ORG-B ORG-I ORG-I O O O O O O O O O O O O O O O O O
무엇보다 중소기업 청년취업인턴제는 고용노동부가 주관하는 국가사업으로 기업의 경우 별도의 비용 없이 우수하+ㄴ인력을 확보하+ㄹ 수 있는 사업이라는 장점이 있어 기업에서는 이를 적극적으로 활용하+ㄹ만 하다 .	O O O ORG-B O O O O O O O O O O O O O O O O O O O O
한편, 경기경영자총협회는 지나 +ㄴ 2009년부터 청년인턴제 및 고용노동부 일자리지원사업을 지속적으로 추진하+여오고 있으며, 인턴 수료생 대비 정규직 전환율 95%(고용노동부 고용안전정보망 2015.5.31. 입력 기준)의 우수하+ㄴ 실적을 거두고 있다 .	O ORG-B O O O O O ORG-B O O O O O O O O O ORG-B ORG-B O O O O O O O O
