주요 그룹 가운데 영업이익이 줄어들 +ㄴ 곳은 현대차와 현대중공업 두 곳에 그치었다 .	O O O O O O O ORG-B ORG-B O O O O
경제계 관계자는 “주요 대기업들이 최근 2~3년간 덩치를 키우기보다는 내실을 다지는 데 주력하였다”며 “지난해 세계 경제 성장률 부진에도 불구하고 양호하+ㄴ 실적을 기록하였다”고 설명하였다 .	O O O O O O O O O O O O O O O O O O O O O O O
이들은 왜 어른도 도전하기 힘들 +ㄴ스포츠에 빠지+ㄴ 것+이+ㄹ까요?지나 +ㄴ5월에 열리+ㄴ 제12회 삼성출판사 배 어린이 트라이애슬론대회에서 종합우승을 거머쥐+ㄴ과 천 어린이철인 교실 선수 6인을 만나 +아트라이애슬론의 숨기+어지+ㄴ 매력을 듣어 +보았습니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
tri(3가지)와 athlon(경기)이라는 라틴어가 합치+어지+ㄴ트라이애슬론은 수영·사이클·달리기를 혼자서 완주하는 스포츠 이+ㅂ니다 .	O O O O O O O O O O
2015년 기준으로 GDP의 0.7% 이+ㄴ 190억달러를 세계 곳곳에 공여하였다 .	O O O O O MNY-B O O O O
민주당 기 원내대변인은 “현직 장관이 구속되는 역사상 전례 없는 일이 벌어지었다 .	ORG-B PER-B O O O O O O O O O O
또한 타이틀곡 ‘INEEDU’는 물론 앨범 ‘화양연화pt.1’이 갖고 있는 정서를 이해하는 데 도움이 되+ㄹ 것”이라고 전하였다 .	O O O O O O O O O O O O O O O O
방탄소년단은 지난달 29일 새 앨범 ‘화양연화pt.1’을 공개, 타이틀곡 ‘INEEDU’로 KBS 2 ‘뮤직뱅크’를 비롯하+여SBSMTV ‘덥쇼’와 M.net ‘엠카운트 다운’에서 1위를 차지하며 크+ㄴ 사랑을 받고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O
한편, 10일 오후 방송되+ㄴ SBS ‘인기가요’에서는 최근 컴백하며 크+ㄴ인기를 끌고 있는 그룹 방탄소년단과 빅뱅이 1위 후보에 오르았다 .	O O O O ORG-B O O O O O O O ORG-B ORG-B O O O O
바로는 최근 “닮았어. 윤지.나+의 동생”이라는 글과 사진을 올리+어 동생을 소개하+ㄴ바 있다 .	O O O PER-B O O O O O O O O
박 전 원장은 올해 2월 평생 법관제에 대하+ㄴ소신에 따르 아사법연수원장 임기를 마치면 법원장으로는 처음으로 시군법원 판사로 근무하+ㄹ 예정이었지만 사고로 뜻을 이루지 못하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O
