게다가 제러미 코빈 노동당 대표가 찬성표를 던지라는 지침을 소속 의원들에게 내리+ㅁ으로써 대다수 노동당 의원들의 표까지 더하여 +지+었다 .	O PER-B PER-I ORG-B O O O O O O O O ORG-B O O O O O
왼쪽에는 ‘사하라’라고 불리는 100야드 거리의 길+ㄴ벙커가 위협적이며 반대편에는 230야드 지점부터 그린까지 4개의 벙커가 도사리고 있다 .	O O O O O O O O O O O O O O O O
한편, 소녀시대는 다음달 7일 오후 10시 각종 온라인 음원 사이트를 통하+여선행 싱글 ‘파티(PARTY)’ 음원을 공개하고 본격적 이+ㄴ 활동에 나서 +ㄴ다 .	O ORG-B O O O O O O O O O O O O O O O O O O O
이는 지난해 2월 발표 하+ㄴ 정규 4집 ‘미스터 미스터(Mr. Mr.)’ 이후 약 1년 6개월 만의 국내 컴백이다 .	O O O O O O O O O O O O O O O O O O
소녀시대는 다채롭 ㄴ 음악과 활동을 선보이고자 선행 싱글 ‘파티’에 이어 ‘라이온 하트(LionHeart)’, ‘유씽크(YouThink)’를 더블 타이틀로 한 정규 앨범을 순차적으로 발표하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O
1구(區)에서 20구까지, 구마다 25~30㎞씩 직접 길을 걷었습니다 .	O O O O O O O O
“비판론자들은 5·31 개혁이 신자유주의를 과도하게 추구하고 경제논리가 교육을 지배하였다고 하+ㄴ다 .	O O O O O O O O O O O
지나+ㄴ 1일 교토(京都)나 +의 시모가모(下鴨) 신사시설 11곳과 나라(奈良) 현 요시노(吉野町)의 국보긴 푸센+하지(金峯山寺) 등에서도 불분명 액체가 뿌리+어지+ㄴ 사건이 발생하였다 .	LOC-I O LOC-B O LOC-B O O LOC-B O LOC-B O LOC-B O O O O O O O
지난해 광역시도 중 전입자보다 전출자가 많은 인구 순유 출시도는 서울(-1.4%), 대전(-0.7%), 울산(-0.7%) 등 9개 +이었다 .	O O O O O O O O O LOC-B LOC-B LOC-B O O O O
해태의 또 다른 외국인 선수에 디피어슨은 나중에 현대에서 뛰었지만 팀 합류를 미루면서 허벅지 부상을 이유로 4월 6일 등록 말소되기도 +였다 .	ORG-B O O O O O O ORG-B O O O O O O O O O O O O O
『군사정권의 잔재들이 +ㄴ「 호랑이」를 잡으러 민자당에 입당하였다지만, 결국 「호랑이」의 「충직하+ㄴ 개」로 전락하여 「재야」를 욕되게 하고 말았다 .	O O O O O ORG-B O O O O O O O O O O O
자사가 서비스하고 티노게임즈(대표 김동효)가 개발하+ㄴ 신작 게임 '마제스티아'의 파이널 테스트에 돌입하+ㄴ 것.이번 파이널 테스트는 전 세계 이용자들을 대상으로 게임 내 주요 콘텐츠의 최종 점검을 목적으로 2일(목)부터 6일(월)까지 진행되며, 테스트 기간 동안 이용자들의 랭킹을 실시간으로 업데이트 하+여 전략대전의 묘미이+ㄴ 경쟁 요소를 더욱 강화시키+ㄴ다는 계획이다 .	O O ORG-B PER-B O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
'마제스티아'는 지난해 실시하+ㄴ한국, 미국, 일본 CBT(비공개 테스트)를 통하+여 게임성을 강화하+ㄴ후 첫 공개되는 만큼 글로벌 이용자들의 크+ㄴ 관심을 모으고 있으며, 현재 진행 중 이+ㄴ 글로벌 사전 예약을 마치 +ㄴ 안드로이드 기기 이용자+이라면 누구나 테스트에 참여 하+ㄹ 수 있다 .	O O ORG-B ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
참가자들은 동양, 서양, 올림푸스, 판타지, 암흑 등 5개의 연합으로 구성되 +ㄴ 영웅들을 활용하+여 다양하+ㄴ스킬과 병과 조합 등 폭넓은 전략 플레이를 즐기+ㄹ 수 있으며, 컴투스는 '마제스티아'의 글로벌 정식 출시 전까지 사전 예약을 진행하+ㄴ다는 계획이다 .	O ORG-B ORG-B ORG-B ORG-B ORG-B O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O
