IT서비스에 민감하+ㄴ 30, 40대들이 주력 소비자가 되면서 건설사들 역시 최첨단 서비스를 갖추+ㄴ아파트를 선보이고 있다 .	O O O O O O O O O O O O O O O
대우건설이 경기도 고양시 일산서구 탄현동 100-1번지 일대에 공급하는 ‘일산에듀포레 푸르지오’는 최첨단 시스템을 갖추+ㄴ아파트로 실수요자들의 관리비 부담을 줄이는 데 주력하였다 .	ORG-B LOC-B LOC-B LOC-B LOC-B O O O LOC-B O O O O O O O O O O O
DJ 김광한 별세, 과거 “황금보다 음악, 인류애 느끼+어지+어”뭉클 하+ㄴ 발언 팝송 전문 DJ 겸팝 칼럼니스트 김광한 이향년 69세 나이로 9일 별세하였다 .	O PER-B O O O O O O O O O O O O O PER-B O O O O O O
가평 8경 중 으뜸으로 치는 운악산 초입에 위치하+ㄴ ‘화인스톤빌리지’는 탁월하+ㄴ 입지 여건과 다양하고 안정성 있는 수익형 상품으로 투자자들의 주목을 받고 있다 .	LOC-B O O O O O O O O O O O O O O O O O O O O O
7일 국민의당과 통합을 선언하+ㄴ손학규 국민주권개혁회의 의장은 "김종인 저+ㄴ 더불어민주당 대표가 '먼저 가+아서 잘하라'고 말하였다"며 합류 기대를 드러내+었다 .	O ORG-B O PER-B ORG-B O PER-B O ORG-B O O O O O O O O O
손 의장은 이날 오전 국회에서 국민의당과의 통합 발표기자회견 직후기자들과 만나 +아"김종인 저+ㄴ 더불어민주당 대표에게도 통합을 선언하+ㄴ다고 미리 말하였다"며 이같이 밝히었다 .	PER-B O O O O ORG-B O O O O PER-B O ORG-B O O O O O O O O
그는 "(김 전 대표가) 오+ㄴ다는 얘기나 이런 것+ㄴ 적절하지 않다"면서도 "통합이라고 하는 개혁세력의 결집이 곧 이루어 지+ㄹ 것이라 기대 하+ㄴ다"고 말하였다 .	O PER-B O O O O O O O O O O O O O O O O O O O O
하지만 김 전 대표는 이날 본회의에 참석하+ㄴ 뒤 '손 의장과 국민의당의 통합으로 판도에 변화가 있겠냐?'는 기자들의 질문에 "무슨 변화가 있겠냐"고 답하였다 .	O PER-B O O O O O O PER-B O ORG-B O O O O O O O O O O O
김 전 대표는 또 '제3지대에서 (김 전 대표가) 역할을 하+ㄹ 것이라는 기대가 많다'는 말에도 "자기네들끼리 하+ㄴ다는데 그것+ㄹ내가 뭐 +이라고 그렇겠냐"고 시큰둥 하+ㄴ 반응을 보이었다 .	PER-B O O O O PER-B O O O O O O O O O O O O O O O O O O O
여야 대선주자들은 추석 연휴 동안 밥상 민심을 공략하기 위하+여분주하게 움직이었다 .	O O O O O O O O O O O
그러나 미국이 2008년 글로벌 금융위기 같은 경기침체에 빠지+ㄹ 확률은 낮다고 전망하였다 .	O ORG-B O O O O O O O O O O
“바람-햇볕 덕에 전기료 80% 뚝 .	O O O O O O
유노윤호 입대, ‘시간·장소 공개 NO 조용히 입대’ 2세대 아이돌입대 잇따르 아유노윤호가 다음달 21일 입대하+ㄴ다 .	PER-B O O O O O O O O O PER-B O O O O
