실제 5일 청문회에 참석하+ㄴ이선우 청와대의무실장은 국조위원들의 질의에 “의료법상 환자 정보는 공개하+ㄹ 수 없다”고 반박하+ㄴ바 있다 .	O O O PER-B ORG-B O O O O O O O O O O O
환경부 관계자는 “연말 프랑스 파리에서 열리는 기후변화협약 총회를 앞두고 미국과 EU, 스위스가 탄소배출 감축 계획을 제출하였다 .	ORG-B O O LOC-B LOC-I O O O O ORG-B ORG-B ORG-B O O O O O
또 20여년 방송활동을 하며 범죄심리를 비롯하+여 일상생활 심리까지 꿰뚫어 오+ㄴ 사회심리학 전문가 최창호 박사는 결심과 포기를 반복하는 인간의 ‘결심중독’을 지적하며 힐링의 시대를 넘어 리빙(ReBeing)의 시대를 열어 가+ㄹ 수 있는 마음가짐을 소개하였다 .	O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O
이듬해 베르디 국제음악콩쿠르에서 1위에 오르며 국제적 이+ㄴ 명성을 얻었다 .	O O O O O O O O O O
홍콩의 한 IB 관계자는 “오너 리스크가 더욱 부각되+어 사업에까지 영향을 미치+ㄴ다면 한국의 재벌 구조를 안 좋게 바라보는 해외 투자자들 입장에서 +ㄴ(상장에 대하+ㄴ) 부정적 이+ㄴ 시각이 커지+ㄹ 수밖에 없다”고 말하였다 .	ORG-B O ORG-B O O O O O O O O LOC-B O O O O O O O O O O O O O O O O O O
이에 대하+여 롯데 관계자는 “호텔롯데 상장은 그룹 차원의 핵심 과제이자 성장전략으로, 일정이 늦춰지기 +ㄴ+였으나 계획대로 진행되+ㄹ 것”이라고 밝히었다 .	O O ORG-B O ORG-B O O O O O O O O O O O O O O
화선지에 조선풍속화도 그리었고 ‘지장보살도’ 같은 불교 그림에도 손을 대+었다 .	O ORG-B O O O ORG-B O O O O
유네스코 세계기록유산 ‘동의보감’, 보물에서 국보로 승격 지정 문화재청은 국가지정문화재 보물이 자 유네스코 세계기록유산이+ㄴ ‘동의보감’ 3건을 국가지정 문화재국 보 제319-1호, 제319-2호, 제319-3호로 승격 지정하였다 .	ORG-B O O O O O ORG-B ORG-I ORG-B O O ORG-B O O O ORG-B ORG-I O O O O O ORG-B O
문화재청(청장 나선화)은 “이번에 보물에서 국보로 승격 지정되+ㄴ 동의보감 3건은 1613년 최초로 간행되 +ㄴ 내 의원 목판본으로, 전하+여지는 사례가 드물어 우리나라의 학사와 서지학적으로 매우 중요하+ㄴ자료”라고 밝히었다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O
개인보다는 비즈니스호텔이나 기업을 덱스의 주요 타깃층으로 보고 있다 .	O O O ORG-B O O O O O
개그맨 송준근이 췌장암 말기 아버지를 두 +ㄴ한 학생의 사연을 듣고, 아버지의 마지막 결혼기념일을 특별하게 꾸미+어주+ㄴ사실이 전 하+여지+어이목을 모으고 있다 .	O PER-B O O O O O O O O O O O O O O O O O O
4일 사우디아라비아와의 평가전에서 출전 시간이 길었던 선수들은 컨디션 회복에 집중하였다 .	O ORG-B O O O O O O O O O
서울의 뉴타운 및 재개발 지역은 총 683곳이 선정되었으나 경기 악화, 주민이견 등으로 239곳은 이미 해제되 +ㄴ 상황이다 .	LOC-B O O O O O O O O O O O O O O O O O
에잇세컨즈, 중국 상하이에 첫 매 .	ORG-B LOC-B LOC-I O O O
