북한인신매매 최악, 美국무부 연례보고서에 北13년째인 신매매 방지 활동 관련 ‘최하등급’ 북한이 13년째 ‘인신매매 최악국’으로 분류되었다 .	ORG-B O ORG-B O LOC-B O O O O O ORG-B O O O O O
미국 국무부는 27일(현지시간) 전 세계 인 신매매 실태를 조사하+여 발표하는 연례보고서에서 인신매매 방지 활동과 관련 하+ 여 북한을 2003년 이후 13년째 최하 등급이 +ㄴ 3등급으로 지정하였다 .	ORG-B ORG-I O O O O O O O O O O O O O O O ORG-B O O O O O O O O O
보고서는 북한을 “‘인신매매 피해자 보호법’의 최소 기준을 준수하지 않으며 인신매매 방지를 위하+ㄴ 개선 노력조차 보이지 않고 있다”고 지적하였다 .	O ORG-B O O O O O O O O O O O O O O O O O
또 “강제노동, 성매매를 당하는 남성이나 여성 또는 아동의 근원이 되는 나라”+이라며 “강제노동은 정치적 억압을 위하+ㄴ체계화되+ㄴ 시스템 중 하나”라고 북한을 설명하였다 .	O O O O O O O O O O O O O O O O O O ORG-B O O
보고서는 “북한 외딴 지역에 위치하+ㄴ 수용소에 약 8~12만명이 갇히 +어 있는 것으로 추산되+ㄴ다”고 전하였다 .	O ORG-B O O O O O O O O O O O O O
반면, 한국은 인신매매 근절을 위하 +ㄴ 정부 차원의 노력이 가장 우수하+ㄴ 1등급을 13년째 유지하였다 .	O ORG-B O O O O O O O O O O O O O
보고서는 그러나 유흥업소 업주에게 지+ㄴ 빚 때문에 강제로 성매매에 내몰리는 한국 여성과 장애가 있는 한국 남성이 염전 등지에서 강제노동을 하는 경우를 지적하였다 .	O O O O O O O O O O ORG-B O O O ORG-B O O O O O O O O
또 “일부 한국 남성이 베트남이나 캄보디아, 몽골, 필리핀에서 아동 성매매 관광에 관여하는 경우가 있다”고 밝히었다 .	O O ORG-B O LOC-B LOC-B LOC-B LOC-B O O O O O O O O
한편, 북한을 포함하+ㄴ 3등급 국가에는 이란, 리비아, 러시아, 시리아, 짐바브웨 등이 포함되었다 .	O ORG-B O O O ORG-B ORG-B ORG-B ORG-B ORG-B O O O
정 대변인은 “안 후보는 사드 배치를 둘러싸 +ㄴ 진정성이 의심받지 않기 위하+여서는 당론만 바꾸+ㄹ 것이 아니라 좌파적 이+ㄴ 언동을 일삼고 있는 박지원 대표, 정동영 의원 등 좌파세력의 인사조치부터 단행하는 것이 먼저” +이라며 “그렇+어야만이 지금과 같이 당 지도부 따로, 안 후보 따로 이+ㄴ 마치 따로국밥당이라는 오명을 벗을 수 있을 것이고, 우리 국민들도 국민의당이 좌파당이 +ㄴ지, 중도당이+ㄴ지, 우파당이 +ㄴ 지분별 하+ㄹ 수 있을 것”이라고 덧붙이 었다 .	PER-B O PER-B O O O O O PER-B ORG-I O O O O O O O O O O O PER-B O PER-B ORG-I O O O O O O O O O O O O O PER-B O O O O ORG-B O O O O O O ORG-B ORG-B ORG-I O O O O O O O O O O O O
여기에 헤드업 디스플레이, 360도 주차 보조장치 및 주차보조기능, ‘운전자 모니터링 시스템 등 각종 편의사양이전트림에 공통 적용되었다 .	O O O O O O O O O O O O O O O O O
이 회사는 지난해 1월 업계 최초로 편의점 원두커피 시장에 뛰어들었다 .	O O O O O O O O O O O
정영식 마주는 경주마이름으로 기부를 실천 하+ㄴ 최초의 인물로, 올해도 서울 효정학교 건립에 후원금을 내놓았다 .	PER-B O O O O O O O O ORG-B ORG-I O O O O
한편 버락 오바마 미국 대통령을 비롯하+ㄴ 유럽연합 및 국제사회는 민주적 절차를 통하+여선출되+ㄴ 정부를 지지하+ 여야 하+ㄴ다며 쿠데타에 반대하+ㄴ다는 입장을 일제히 표명하였다 .	O PER-B PER-I ORG-B O O ORG-B O O O O O O O O O O O O O O O
반면 주류 측 일각에서는 범야연합공천을 통하+ㄴ국민당 후보 지원론도 조심스럽게 거론되 +ㄴ다 .	O O O O O ORG-B O O O O O O
배 총장 대행은 “구조개혁과정에서 인문, 사회 분야에 대하+ㄴ고민도 있었다”며 “각 학과와 전공평가의 공정성을 담보하기 위하+여구조 개혁을 위하+ㄴ 공정 하+ㄴ 절차와 규정을 만들고 구성원들이 납득하+ㄹ만 하+ㄴ 평가를 진행하였다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
김씨에게 네오플램은 두 번째 회사+이다 .	PER-B ORG-B O O O O
서울 강서경찰서는 “유사골프 회원권 판매업체 ‘L사’가 ‘1100만원을 내면 전국의 골프장 200여 곳을 정회원가로 저렴하게 이용하+ㄹ 수 있다’고 속이 어 판매 하+ㄴ 사건에 대하+ㄴ고소장이 접수되+어수사를 벌이고 있다”고 6일 밝히었다 .	ORG-B ORG-I ORG-I MNY-I O ORG-B MNY-B O O O O O O O O O O O O O O O O O O O O O O
