- 왜 이 시기 이+ㄴ가.“김정은이 신년사에서 핵·미사일을 언급하지 않았기 때문에 핵실험은 서프라이즈(Su rprise) +이다 .	O O O O PER-B O O O O O O O O O O
김성근(74) 감독이 2017 시즌에도 한화를 이끌 +ㄴ다 .	PER-B O O O ORG-B O O O
한 화구단은 3일 김 감독의 유임을 공식화하며 “선수단 체질 개선을 위하+여프런트 혁신을 통하+여구단 전문성을 강화하고, 이글스 문화재 정립작업에 나서 +ㄴ다”고 밝히었다 .	O O O PER-B O O O O O O O O O O O ORG-B O O O O O O
미국 학교에서의 첫 미술시간 .한국에서 +ㄴ 미술시간만 되면 비슷하+ㄴ 소재로 모든 학생이 그림을 그리고, 교실 뒤편에 전시하기 바쁘+ㄴ데 그곳은 다르았다 .	ORG-B O O O ORG-B O O O O O O O O O O O O O O O O
이날 규모 3.3여진이 발생하+ㄴ 직후 경북소방본부에 ＂또 건물이 흔들리+ㄴ 다＂며 지진 관련 문의가 200여 것+ㄴ 쏟아지+ㄴ 것으로 나타나 +았다 .	O O O O O ORG-B O O O O O O O O O O O O O O
고영욱 10일 출소, 출소 뒤 신상정보 공개… 측근 “지금은 남부교도소로 +아있다” 룰라 출신 가수 겸 방송이 +ㄴ 고영욱이 오는 10일 만기 출소 하+ㄴ다 .	PER-B O O O O O O O O ORG-B O ORG-B O O O O O PER-B O O O O O O
미성년자 성폭행 및 성추행 혐의로 복역 중 이+ㄴ 고영욱은 2013년 1월 10일 구속되 +ㄴ이후 구치소 수감기간을 포함하+여오는 10일 모든 형량을 채우고 출소하+ㄹ 예정이다 .	O O O O O O O O PER-B O O O O O O O O O O O O O O O
지나+ㄴ 2013년 1월 10일 구속되었던 고영욱은 구치소 수감기간을 포함하+여 이날 형량을 모두 채우게 되며, 출소 뒤에는 신상정보 공개, 고지 5년, 위치추적 전자장치(전자발찌) 부착 3년이 추가로 시행되 +ㄴ다 .	O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O
안양교도소에 수감 중이던 고영욱은 현재 남부교도소에 이감되 +어수감 중 이+ㄴ 것으로 확인되었다 .	ORG-B O O PER-B O ORG-B O O O O O O O
고영욱 의측근은 "고영욱이 안양교도소에서 수감생활을 하 .	PER-B O PER-B ORG-B O O O
신혜선 “촬영 내내 행복…과 분하+ㄴ 사랑받았다”… ‘그녀는 예쁘었다 .	PER-B O O O O O O O O
스칼리노프 부사령관은 한국의 1백 t급 트롤어선 「금성 808」호라는 배에는 오징어 13t이 실리+어 있었으며 선장은 러시아 해역에서 불법 어로 작업을 +였다는 점을 시인하는 문서에 서명하였다고 밝히었다 .	PER-B O LOC-B O O O O O O O O O O O LOC-B O O O O O O O O O O O
지상파나 케이블에서 보이어주+ㄹ 수 없었던 멤버들 개인이 가지+ㄴ 개성과 관심사를 ‘데일리 달샤벳’ 방송을 통하+여실시간으로 보이어주+ㄹ 것으로 기대되+ㄴ다 .	O O O O O O O O O O O O O O O O O O
달샤벳은 지나 +ㄴ 앨범 ‘Jokerisalive’ 활동 당시, 일주일간 진행되+ㄴ ‘달샤벳 UP’ 방송을 통하+여 차별화되+ㄴ 콘텐츠로 누적 시청자 약 52만명을 달성하며 온라인상에서 크+ㄴ화제로 떠오르+ㄴ 적 있다 .	ORG-B O O O O O O O O ORG-B O O O O O O O O O ORG-B O O O O O O
차씨는 최씨의 범죄 혐의 구성에 중요하+ㄴ 연결고리다 .	PER-B PER-B O O O O O O
