트럼프의 실언?시진핑 속내?… 한국에 대하+ㄴ 시각 드러내+ .	PER-B PER-B O ORG-B O O O O
이런 마당에 북핵을 머리에 이고 있는 한국이 국회법 문제를 놓고 아웅다웅 하+ㄴ다는 것이 한가롭게 보이지 않는가 .	O O O O O O ORG-B O O O O O O O O O O
집에서도 이 나니와 우동을 맛보+ㄹ 수 있도록 면과 소스를 판매하고 있다 .	O O O O O O O O O O O O
하루 10~15 그릇의 ‘점심 한정 특선 메뉴’를 판매 하+ㄴ다 .	O O O O O O O O O O
대한산부인과의 사회 “산부인과처럼 다벌리+어?성적 모욕감”…송민호 사과 심경은? 대한산부인과의 사회가 케이블 채널 엠넷의 ‘쇼미더머니4’에 등장하+ㄴ랩 가사에 유감을 표명하고 사과를 요구하였다 .	ORG-B O O O PER-B O O ORG-B O O O ORG-B O O O O O O O O
[부고]최 내정별 세·지현나 현 부친상·남경인 장인 .	O O PER-B O PER-B O O
다산 정약용은 ‘경세유표’에서 ‘왕골과 미나리를 심었을 경우 그 이익을 벼와 비교하면 두어 갑절되+ㄴ다 .	O PER-B O O O O O O O O O O O O
그러다 1974년 서울과 인천을 오가는 전철이 개통되면서 손님이 점점 줄었고 지금은 저희까지 포함하+여 5곳이 명맥을 유지하고 있어요. 책방은 단순 하+ㄴ 가게가 아니라 지식의 통로+이에요.지키고 있다는 데 의의를 두 +ㅂ니다 .	O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O
또한 소속사는 “오윤아씨는 차기작을 준비하고 있다”고 덧붙이었다 .	O O PER-B O O O O O
대리 이하도 200만원 이상 … 완성차 추석 상여 ‘기아> 현대>한국GM .	O O MNY-B O O O O O ORG-B ORG-B O
하니는 스스로 ‘메모 중독’이라고 밝히+ㄴ 만큼 꼼꼼하게 메모를 하며 찾은 단서들로 놀랍ㄴ 활약을 펼치었다 .	PER-B O O O O O O O O O O O O O O
7일 서울중앙지법 형사합의27부(부장판사 김진동) 심리로 열리+ㄴ이 부회장 등 5명의 뇌물공여 등 혐의 1차 공판에서 양재식 특검보는 “최씨는 며칠 전 (재판에서) 삼성이 선의로 지원하였다고 하고 이 부회장은 강요에 의하+여(지원이) 어쩌+ㄹ 수 없다고 하+ㄴ다”며 이같이 밝히었다 .	O ORG-B O PER-B O PER-B O O O O O O O O PER-B O PER-B O O O ORG-B O O O PER-B O O PER-B O O O O PER-B O O
일례로 2011년 연체이자 8763만원을 부담하고 있던 대구의 A대리점은 한 달 평균 53대밖에 팔지 못하였지만 월평균 57대를 사도록 강요받았다 .	O O O MNY-B O O LOC-B ORG-B O O O O O O O O O O O
반면 1년 미만 근속자 비율은 좋은 일자리 근로자가 5.3%로 그렇지 않은 일자리 근로자(54.6%)의 10분의 1에 불과하였다 .	O O O O O O O O O O O O O O O O O
김 팀장은 “이러하+ㄴ 차이로 인하+여당연히 청년 구직자들은 대기업, 정규직, 유노조 직장을 선호하지만 이 부문의 일자리 양은 전체의 7.6%에 불과하다”며 청년들이 원하는 좋은 일자리가 부족하다고 지적하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
특히 좋은 일자리의 1년 미만 근속자 비율이 5.3%+이라는 것은 이 부문에서 매년 전체 근로자의 5%만을 신규 채용 하+ㄴ다는 것이 +ㄴ데 전체 근로자 수(143만명)에 대입 하+여보면 7만6000명에 불과하다는 설명이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
