매학기가 시작되기 전에는 200만원이 넘는 돈이 들어오았다 .	O O O MNY-B O O O O
김씨는 “예년에는 이틀 정도 덥다가도 비도 오고 저녁이면 온도가 낮아 지+어 폐사율이 5% 정도밖에 안 +었는데 올해에는 1주일 이상 폭염과 열대야가 이어지면서 더 많은 닭이 죽어나가고 있다”라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그러나 여전히 1루수는 수비보다 타격이다 .	O O O O O O
한국은 왜 잘 달리지 못하+ㄹ까? 체격 조건이 좋지 않아서?아니면 유전적 요인 때문에? 체격적이+ㄴ 조건은 이미 문제가 되지 않음이 2015 베이징 세계선수권대회에서 증명되었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O
'엠카운트 다운' 엑소시 우민"나꿍꼬도, 엑소에 +ㄹ꿍꼬 또 "… '남친돌' 등 .	O O ORG-B PER-I ORG-B O O O O O O
이런 주인공들에 대하+여드라마평론가 공희정씨는 “대중문화는 기본적으로 시대상의 반영”이라며 “많은 사람의 공감을 사+ㄹ 소재를 찾은 자연스럽ㄴ 결과”라고 풀이하 +ㄴ다 .	O O O PER-B O O O O O O O O O O O O O O O
자정 전에 선적하려면 당초 계획의 절반 또는 3분의 1에 불과하+ㄴ 12~13시간 안에 작업을 끝내 +어야 하+ㄴ다 .	TIM-B O O O O O O O O O O O O O O O O
매년 연말을 앞두고 사회복지공동모금회가 설치하+ㄴ사랑의열매 온도탑이다 .	O O O ORG-B O O O
첨단 연구단지를 비롯하+여대학병원과 학교, 주거단지 생활시설 등이 들어서 +ㄹ 예정이며, 제2의 코엑스로 불리는 특별계획구역(MICE산업단지) 등 대규모 개발호재를 품고 있어 미래가치는 더 상승 하+ㄹ 것이라는 것+이 부동산 전문가들의 전망이다 .	O O O O O O O O O O O LOC-B O LOC-B O O O O O O O O O O O O O O O
국회 국방위원회도 현재 기술 수준과 개발 가능성 등을 따지겠다며 당초 어제 끝내려던 KFX 예산 심사를 29일까지로 연장하였다 .	ORG-B ORG-I O O O O O O O O O O ORG-B O O O O O
인도의 네루는 1955년 4월 4월 반둥회의에서 「제국주의와 결합되+ㄴ 민족주의」와 「해방과 독립을 위하+ㄴ 민족주의」를 비교, 후자의 긍정적 기능을 역설하였다 .	LOC-B PER-B O O O LOC-B O O O O O O O O O O O O O
“(12월 임시국회의 마지막 날 이+ㄴ) 8일 본회의에서 쟁점 법안과 선거구 획정안이 통과되 +ㄹ 수 있다고 보세요?”정 의장은 “진짜 모르겠다 .	O O O O O O O O O O PER-B O O O O PER-B O O O O
