사용하지 않는 잇어버드를 선에 쉽게 고정시키+ㄹ 수 있어 하나의 잇어버드만 사용 하+ㄹ 때나 꼬이+ㅁ 없이 이어폰을 보관 하+ㄹ 때 편리하다 .	O O O O O O O O O O O O O O O O O O O O O
최근 3시즌 중 2시즌에서 정규리그 막판 연승 행진을 기록하+ㄴ팀이 정규리그 우승을 가져가+았다 .	O O O O O O O O O O O O O
박원, 자신의 이름 것 +ㄴ 라디오 진행 맡 .	PER-B O O O O O O O O
또 상가 인근 평촌 스마트 스퀘어에는 LG유플러스, 프로텍, 휴비츠 등 30여개 기업이 입주 하+ㄹ 예정이다 .	O O O LOC-B LOC-B LOC-I ORG-B ORG-B ORG-B O O O O O O O
인근 공인중개업소 관계자는 “상가에 투자 하+ㄹ 때 +ㄴ 안정성을 살펴보는 것이 중요하+ㄴ데 대형 건설 사이+ㄴ GS건설에서 시행과 시공을 맡아 믿고 투자 하+ㄹ 수 있다”면서 “평촌 내에서도 좋은 입지에 있고 가격도 저렴하+여투자자들의 문의가 꾸준하다”고 말하였다 .	O O O O O O O O O O O O O O O ORG-B O O O O O O O O LOC-B O O O O O O O O O O
평촌자이엘라 상가는 지상 1~2층, 연면적 3만9804㎡, 총 22개 점포 규모로 조성되 +ㄴ다 .	LOC-B LOC-I O O O O O O O O O O O
30일 아사히신문 등 일본 언론에 따르면 일본 기원은 전날 3국을 대표하는 기사들이 참여하+여AI와 겨루는 월드 바둑 챔피언십을 창설하기로 결정하고, 내년 3월 21~23일 오사카(大阪)에서 첫 대회를 열 +ㄴ다고 발표하였다 .	O ORG-B O ORG-B O O ORG-B O O O O O O O O O O O O O O O LOC-B O O O O O O
청와대 국감 때 이 부회장을 일반 증인으로 세우려면 일주일 전 이+ㄴ 14일까지 운영위에서 의결하+ 여야 하+ㄴ다 .	ORG-B O O PER-B O O O O O O PER-B O O O O O O
[굿바이 서울!] 제주에서 얻은 이웃사 .	O LOC-B LOC-B O O O
'신화' 전진, 엔피노와 전속계약…엔 피노로 혼자 옮기+ㄴ이유는?그룹 ‘신화’의 전진(35·박충재)이 새롭ㄴ 소속사엔 피노와 전속계약을 +였다 .	ORG-B PER-B ORG-B O O O O ORG-B PER-B O O O O O O
‘보보경심:려’ 강 하늘, 특급 황자비주얼 선 공개 배우 강하늘이 ‘꽃 황자’로 변하였다 .	O PER-B PER-I O O O O O PER-B O O O O
100% 사전 제작으로 올해 하반기 방송 예정이+ㄴ 판타지 로맨틱 사극 ‘보보경심 : 麗(려)’ 측은 12일 “기다리는 시청자들을 위하+ 여꽃 황자미리보기 시리즈를 준비하였다”며 첫 번째 이미지로 8황자 ‘왕욱’으로 변신하+ㄴ 강 하늘의 스틸을 공개하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O PER-B PER-I O O O
