‘클라라폴라리스, 디스패치’ 디스 패치가 클라라와 소속사 폴라리스 L 회장 사이 오고가+ㄴ문자를 공개하+여 논란이 일고 있다 .	ORG-B ORG-B ORG-B O PER-B O ORG-B PER-B O O O O O O O O
반 전 총장을 돕ㄴ이상이+ㄹ 전 의원은 반 전 총장이 불출마를 선언하자 소설 ‘주홍글씨’를 인용하+여 이런 글을 남기었다 .	PER-B O O PER-B O O PER-B O O O O O O O O O O O
군 위안부 문제를 확실하게 해결하는 것이 바람직하다 .	O O O O O O O O
케이블 채널 tvN드라마 ‘응답하라 1997’(응칠), ‘응답하라 1994’(응사), ‘응답하라 1988’(응팔)까지 세 편의 시리즈가 각기 다르+ㄴ 세대를 이야기하면서도 공통적으로 여주인공의 ‘남편 찾기’ 장치를 통하+여 ‘두 남자 간의 대결’을 부각시키+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
또한 지창욱 역시 그런 박민영을 뚫어 지+ㄹ듯 애절 하+ㄴ 눈빛으로 바라보고 있어 눈길을 끌었다 .	O PER-B O O PER-B O O O O O O O O O O
함께 공개되+ㄴ 다른 사진에서는 박민영이 눈물을 흘리며 어디+이+ㄴ가에 시선을 고정하고 있어 두 사람의 가슴저리+ㄴ 상황을 짐작하게 +였다 .	O O O O PER-B O O O O O O O O O O O O O
한편, 지창욱과 박민영이 열연 중이+ㄴ드라마 ‘힐러’는 정치나 사회, 정의 같은 것 +ㄴ그저 재수 없는 단어+이라고 생각하며 살던 청춘들이 부모 세대가 남기+어놓은 세상과 맞싸우는 통쾌하고 발칙 하+ㄴ 액션 로맨스드라마+이다 .	O PER-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
영결식에는 고인의 차남 이재환 재산커뮤니케이션즈 대표와 이재용 삼성전자 부회장, 이부진 호텔신라 사장, 이서현 제일모직 사장 등범 삼성가 친인척이 참석하였다 .	O O O PER-B ORG-B O PER-B ORG-B O PER-B ORG-B O PER-B ORG-B O O O O O O
그리고 이들은 취재여행 중에 오랜 기간 마음속에 있던 사과를 건네+ㄴ 것으로 알고 있다”고 밝히+ㄴ 후 “두 사람은 상남자답게 사과도 터프+하였다 .	O O O O O O O O O O O O O O O O O O O O O
새로 출범하는 차이잉원 정부의 고민은 중국이 내밀는 당근을 덥석 물+ㄹ 수도 없지만 그렇다고 중국이 무차별적으로 내려치는 채찍을 오랫동안 견디+ㄹ만 하+ㄴ맷집 또한 없다는 점이다 .	O O ORG-B O O ORG-B O O O O O O O ORG-B O O O O O O O O O O
포천은 12월 삼성이 이 회장의 건강상태에 관계없이 이 부회장을 대표이사로 선임하는 등 사실상의 승계 작업을 완료하+ㄹ 가능성이 있다고 전하였다 .	LOC-B O ORG-B PER-B O O PER-B PER-B O PER-B O O O O O O PER-B O O O
여기서 우리는 이미 150년 전, 자본주의의 참상을 노동자의 소외를 통하+여갈파 하+ㄴ 선생의 혜안을 새삼 되새기게 되+ㅂ니다 .	O O O O O O O O O O O O O O O O O
“원래는 청담동에 조그맣+ㄴ 땅이 있어 거기에 짓으려 +였다 .	O LOC-B O O O O O O O
