진희선 서울시 도시재생본부장은 “여의도권은 다른 지역보다 유동인구가 많고 접근성이 뛰어나 +아관광 유발 효과가 크+ㄹ 것”이라고 말하였다 .	PER-B ORG-B O LOC-B O O O O O O O O O O O O O
7회말 또다시 안타를 만들며 팀의 역전을 만들었다 .	O O O O O O O O
또한 해외 모든 비자(VISA)가맹점에서 사용 하+ㄹ 수 있다 .	O O O ORG-B O O O O O
꺼지+어가던 노동개혁 불씨를 살리+ㄴ 장본인도 김 대표 아니+ㄴ가? .	O O O O O PER-B O O O
한국자원봉사협의회 제12대 상임대표에 장석준(사진) 현상 임 대표가 연임되었다 .	ORG-B O O PER-B O O O O O
일각에서 +ㄴ 두 사람의 정치적 연대를 점치기도 하+ㄴ다 .	O O O O O O O O O
한편 박 의원은 전날 국회를 통과하+ㄴ 이른바 ‘김영란법’에 대하+여 “공직사회를 바로잡고 사회를 맑은 물로 만들 +ㄴ다는 차원에서 이런 법이 통과되+어우리가 부패하+ㄴ나라+이라는 이미지를 벗어던지+어야 되지 않겠느냐는 생각이 들+ㄴ다”며 “그동안 재벌 관련 법이 국회에 상정이 되면 특정 재벌들이 이 법을 저지하기 위하+여정 정당 당하지 못하+ㄴ 모습으로 국회를 기웃거리었던 사례들이 있는데, 그런 것들이 근절되기를 강하게 바라+ㄴ다”고 밝히었다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
메르스 격리자 922명 급증, 감염 유형은 병원 환자 47% →가족/문병 36% →병원 관련 종사자 17% 보건복지부는 메르스(중동호흡기질환) 확진환진자가 총 162명이 +ㄴ 것으로 밝히었다 .	O O O O O O O O O O O O O O O ORG-B O O O O O O O O
보건복지부는 17일 메르스 확진 현황을 통하+여, 메르스 확진자 총 162명, 현재 124명(77%)이 치료 중, 19명(12%) 퇴원, 19명(12%) 사망이라고 알리었다 .	ORG-B O O O O O O O O O O O O O O O O O O O
치료 중이+ㄴ 124명 환자 상태에 대하+여서는 안정적 106명(85%), 불안정 18명(15%)이며, 전일 대비 확진자 8명이 늘었으며, 퇴원자는 2명 증가+였다 .	O O O O O O O O O O O O O O O O O O O
감염 유형으로는 병원 환자 76(47%), 가족/문병 58명(36%), 병원 관련 종사자 28명(17%)로 나타나 +았다 .	O O O O O O O O O O O O O O
신규 확진자 8명 가운데 155번째, 156번째, 157번째 확진자는 5.26~5.29일 중 삼성서울병원 응급실을 내원하였고, 158번째 확진자는 5.27일 가족진료를 위하+여 삼성서울병원 응급실에 방문하였었다 .	O O O O O O O O O O ORG-B O O O O O O O ORG-B O O O
59번째 확진자는 5.27~5.29일 15번째 확진자와 한림대 동탄성심병원 같은 병실에 입원하였고, 160번째 확진자는 6.5일 76번째 확진자가 강동경희대학교의대병원 응급실 내원시 응급실 의료진이었으며, 161번째 확진자는 5.27일 17번째 확진자와 평택 굿모닝병원 같은 병동에 입원 하+ㄴ 환자이다 .	O O O O O ORG-B ORG-I O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O
162번째 확진자는 삼성서울병원 의료진으로 세부사항에 대하+여서는 현재 역학조사 진행 중이다 .	O O ORG-B O O O O O O O O
