하지만 남태현의 소속사 YG엔터테인먼트는 아무런 반응을 보이지 않고 있다 .	O PER-B O ORG-B O O O O O O
정려원은 지나 +ㄴ 2000년 그룹 샤크라로 데뷔하였으며 MBCTV '나+의 이름은 김삼순', SBSTV '드라마의 제왕', tvN 드라마 '풍선껌' 등에 출연하며 연기자로 활동 중이다 .	PER-B O O O O ORG-B O O O O O O O O O O O O O O O O O
남태현은 2014년 위너로 데뷔하였으며 최근 건강 문제를 이유로 활동을 중단하+ㄴ 상태+이다 .	PER-B O ORG-B O O O O O O O O O
PPC는 3D 지도와 GPS 정보를 활용하여 도로의 지형을 미리 예측하여 최적의 주행 조건을 스스로 판단하는 기술이다 .	O O O O O O O O O O O O O O O O O
[Health&Beauty] “홍삼 먹으면 치매 예방에 도움되+ㄴ다 .	O O O O O O O
또 ‘kdam ****’는 “저렇게 당하+ㄴ사람이 한두 명 아니+ㄹ거 같은데, 저 경우는 3명 중 한 명이 덜 마시+어서 밝혀지+ㄴ 것 같고”라고 하는 등 일부 누리꾼들은 문제의 택시기사가 상습범일 수 있다는 의혹을 제기하였다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
어머니 김씨는 아들을 찾지 못하+여 7년 동안 미루+어+두었던 칠순 잔치도 조만간 하+ㄹ 계획이다 .	O PER-B O O O O O O O O O O O O
정씨의 소송 제기에 따르+ㄴ 심리는 오는 9월 1일 열리+ㄹ 예정이다 .	PER-B O O O O O O O O PER-B O
■CJ프레시웨어 … 업계 최초 2조700억원 매출 기록 4대 거점 물류센터 바탕온타임 배송식품 안전센터 운영으로 신뢰도 UP 차별화 단체급식… 또 다른 성장동력中기업과 손잡고 글로벌 시장 진출업계 최초 2조 매출 달성, 이제 +ㄴ아시아 시장 넘보+ㄴ다 .	ORG-B O O O MNY-B O O O O O ORG-B O O O O O O O O O O O O O O O MNY-B O O O LOC-B O O O
상금 랭킹에서도 51위(158만 1748달러)로 한국 선수 중 가장 높다 .	O O MNY-B O ORG-B O O O O O
”그를 행복하게 하는 것+이 하나 더 있다 .	O O O O O O O O
태실은 왕실자손의 태(胎)를 봉안하기 위하+여 만들 +ㄴ 석조물로 영조의 태실은 청주시 낭성면 무성리에 보존되+어 있다 .	O O O O O O O O PER-B O LOC-B LOC-B LOC-B O O O
청원군 부용면(현 세종시 부강+이면) 출신이+ㄴ이씨는 1985년 청원군청 공무원으로 임용되었고 87년 군청 문화재 업무를 맡으면서 이의궤를 처음 +았다 .	LOC-B LOC-B LOC-B LOC-B PER-B O LOC-B O O O O O O O PER-B O O O
가격은 1만3천원부터 +이다 .	O MNY-B O O
비정상회담 황석정, 과거 공연서 원피스 풀어헤치고 팬티 라인까지 노출 ?비 정상회담 황석정 배우 황석정이 파격 발언으로 ‘비정상회담’ 스튜디오를 초토화시키+ㄴ 가운데, 황석정의 과거 공연장 실수가 재조명 받았다 .	O PER-B O O O O O O O O O PER-B O PER-B O O O O O O PER-B O O O O O O
