노인의 빈곤율이 무려 50%에 육박하+ㄴ다는 조사가 나오아 충격을 주고 있다 .	O O O O O O O O O O O
실제로 네덜란드 집권기민당은 지난번 총선 직전 퇴직연금을 4년 동안 동결 하+ㄴ다는 법안을 발표하였다가 전통적 지지 계층이었던 노령층 표를 대거 상실하+ㄴ 것으로 분석되고 있다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O
앞서 +어 행정자치부는 2008년 1월부터 11월까지 서울에서 89만 2437명이 순유출되+었다고 밝히었다 .	O O ORG-B O O O LOC-B O O O O O
윤수현은 25일 오전 방송한 KBS 1시사교양 프로그램 ‘만남의 강은 흐르+ㄴ다’에 출연하+여신곡 ‘꽃길’ 무대를 공개하였다 .	PER-B O O O ORG-B ORG-I O O O O O O O O O
12일 한 매체가 영화 관계자들의 말은 이용하+여 "두 사람이 최근 연인 사이를 정리하였다"고 보도하+ㄴ 가운데 배두나 소속사 샛별당 엔터테인먼트 관계자는 같은 날 "두 사람이 최근 결별 하+ㄴ 것+이 맞다"고 공식 인정하였다 .	O O O O O O O O O O O O O O O PER-B O ORG-B ORG-I O O O O O O O O O O O O O
LG전자의 ‘핑크서비스’는 현재 이란 외에도 카타르, 아랍에미리트, 모로코 등에서 실시하고 있으며 앞으로도 확대하+여나가 +ㄹ 계획이다 .	ORG-B O O LOC-B O LOC-B LOC-B LOC-B O O O O O O O O
‘제2의 허니버터칩’을 노리는 최신 달콤 하+ㄴ스낵 4가지를 동아일보 소비자 경제부기자 4명이 직접 먹어보고 각각의 강점과 약점을 평가하였다 .	O O O O O O O ORG-B ORG-I ORG-I O O O O O O O O
치즈소스에 올인…포카칩스윗치즈맛 김범석기자(이하 김)= 파란색(기본맛)과 녹색(양파맛)이 아니+ㄴ ‘노란색’의 포카칩이 라니.일단 생소하었다 .	O O PER-B PER-B O O O O O O O O
신라인의 다양하+ㄴ 일상이러 하+ㄴ 표현은 삶에 대하+ㄴ 깊은 이해가 없으면 불가능하+ㄴ일이+ㅂ니다 .	ORG-B O O O O O O O O O O O
음악의 이런 기능을 전문 용어로 「스티뮬러스 배리어(stim ulusbar ri er·자극 차단물)이라고 하는데, 음악을 좋아하는 학생들은 이를 이용하+여공부에 쉽게 몰입 하+ㄹ 수 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
사실 ‘파주 헤르만하우스 02’는 좋은 조건이 +ㅁ에도 불구하고 일반 소비자들이 구입하기에 부담이 적지+ㄴ 않다 .	O LOC-B O O O O O O O O O O O O O
우 원내대표는 이날 국회에서 열리+ㄴ 20대 국회 더민주당 제1기 원내대표 선거에서 결선투표 끝에 유효투표수 119표(소속 의원 123명) 중 63표를 얻어 56표를 얻은 같은 3선의 우원식 의원을 누르었다 .	PER-B O O O O O O ORG-B O O O O O O O O O O O O O O O O PER-B O O O
[@뉴스룸/이건혁] 국민연금의결권의 문 .	PER-B ORG-B O O
배우 황정음(사진)이 올해를 빛내+ㄴ탤런트 1위에 오르았다 .	O PER-B O O O O O
한국갤럽이 10월 29일∼11월 21일까지 만 13세 이상 전국(제주제외) 남녀 1700명을 대상으로 실시하+ㄴ ‘올해 가장 뛰어나 +ㄴ 활약을 한 탤런트’ 설문에서 황정음이 14.4%로 1위에 오르았다 .	ORG-B O O O O O O LOC-B O O O O O O O O O O O O PER-B O O O O
황정음은 올해 MBC ‘킬미, 힐미’와 ‘그녀는 예쁘었다’에 출연하+여화제를 모으았다 .	PER-B O ORG-B O O O O O O O
랜스암스트롱은 테스토스테론 투입 외에도 소위 ‘자가수혈’을 하+ㄴ 뒤 생리식염수로 희석시키는 방법으로 도핑테스트를 빠져나가곤+였다 .	PER-B O O O O O O O O O O O O O
