인구의 1%만 중산층이 되+ㄴ다고 가정 하+여도 서울 인구 이상의 사람들이 새롭ㄴ 소비 패턴을 갖게 되+ㄴ다는 뜻이다 .	O O O O O O LOC-B O O O O O O O O O O
상대 전적은 삼성이 4승 1패로 우세를 확정하였다 .	O O ORG-B O O O O O
지나+ㄴ 5월부터 11월까지, 이달에 +ㄴ 쉬고 총 6번 공연으로 완주하+ㄴ다 .	O O O O O O O O O O O
연극 ‘아들’은 무기징역을 받고 15년째 수감생활을 하고 있는 강식이 하루 간의 특별귀휴를 받고, 세 살 때 헤어지+ㄴ아들을 만나는 가슴 따뜻하+ㄴ이야기를 그리 +ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O
장진 감독의 동명영화로도 알려지+ㄴ ‘아들’은 2007년 개봉 당시 관객들의 마음을 움직이었다 .	PER-B O O O O O O O O O O O
또 기숙사(280실) 및 상가 등 비즈니스에서 생활까지 잘 어우러지+어 있어 업무의 효율성을 높이어주+ㄹ 것으로 보이+ㄴ다 .	O PER-B O O O O O O O O O O O O O O
북구 함지산-수성구 진밭골 등 …역과 가깝ㄴ 곳 나들이 새 명소 .	LOC-B LOC-B LOC-I O O O O O O O O
매티스는 최근 도널드 트럼프 미 대통령에게 별칭을 사용하지 말아달라고 요청하기도 +였다 .	PER-B O PER-B PER-I ORG-B O O O O O O O
-부천영화제 특별전에서 신작 ‘리얼술래잡기’와 ‘러브앤피스’가 공개되었다 .	O O O O O O O
이정재가 서울에 있는 동안 임세령이 일주일에 3일 이상 이정재의 집을 찾아가 +ㄴ다는 것.이에 이정재의 소속 사씨제스엔터테인먼트는 또 다른 연예매체와의 통화에서 아직 사실을 확인 중이라고 밝히었으며 대상그룹은 '오너 개인의 일'이라서 선을 긋었다 .	PER-B LOC-B O O PER-B O O O PER-B O O O O PER-B O ORG-B O O O O O O O O O O O O O O O O
이정재 임세령 열애보도에 이상형 발언 소식을 접하+ㄴ누리꾼들은 "이정재 임세령 열애, 새해 첫날부터 열애 소식!" "이정재 임세령 열애 정말?""이정재 임세령 열애, 10년 동안 친구 사이 이라고 우기더니...""이정재 임세령 열애, 이정재 재벌 여인과...부럽다 .	PER-B PER-B O O O O O PER-B PER-B O O O O O PER-B PER-B O PER-B PER-B O O O O O O PER-B PER-B O PER-B O O O
저는 지나 +ㄴ 시즌부터 참가하였기 때문에 (시청자들이) 제가 체감하는 것과 비슷하+ㄹ까 싶지만, 부재가 느끼+어지+ㄹ 때도 있다”며 “이승철 씨 같은 경우 참가자들을 위하+여 굉장히 공격적으로 말씀을 하+여주+시었고, 감정을 숨기지 못하는 순수 하+ㄴ분이었다”고 말하였다 .	O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O O O
이어 “대신 깊은 서브텍스트를 가지고 있는 독설을 성시경씨가 몇 번 하+여주+시었다”면서도 “이승철 씨 자리가 심사의 ‘축’이었기 때문에 심사하면서 저희도 (빈자리를) 느끼고 있고, ‘승철 오빠+이라면 뭐 +이라고 하+여+ 주었을까’ 생각하기도 +였다 .	O O O O O O O PER-B O O O PER-B O O O O O O O O O O PER-B O O O O O O O O
“설득 작업이 90% 끝나 +았다 .	O O O O O O
