흐지부지 넘기려던 민정당도 폭로4일 만에 돗자리를 받은 것으로 밝혀지+ㄴ 배성동 당 정책실장 등 당직자 5명의 사표를 받았다 .	O O ORG-B O O O O O O LOC-B O O O O O O O O
전경련 1억 영수증 요구 … 민자 난색으로 노 .	O MNY-B O O O O O O O
이곳이 언제부터 이+ㄴ가 아베크족들의 데이트 장소로 각광받기 시작 하+ㄴ듯, 저녁 무렵이 되면 풀밭이나 벤치 위에 나란히 앉은 젊은 남녀들의 모습을 심심하지 않게 보+ㄹ 수 있게 +었다 .	O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O
대구시와 동구는 이곳 향산마을 일대 40만m ²를 역사문화공간으로 조성하고 있다 .	ORG-B ORG-B O O O O O O PER-B O O
또 미국 일리노이대학교로 라체덕 헤이먼 교수의 9∼10세 어린이를 대상으로 하+ㄴ뇌의 백질과 신체운동의 연관성 연구에 따르면, 신체운동이 두뇌활동 개선에 도움이 되+ㄴ다 .	O ORG-B ORG-I PER-B PER-I O O O O O O PER-B O O O PER-B O O O O O
이날 기술·가정과목의 수업 주제는 ‘저출산 시대의 일·가정 양립’.정세호교사(42)가 회사와 집에서 과중 하+ㄴ일에 시달리면서도 늘 아이에게는 미안하+여하며 눈물을 짓는 워킹맘의 고달프 +ㄴ 삶을 드라마 속 영상으로 소개하였다 .	O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O
[여수 다②] 윤종신 “누구도나 +의 행보를 쉽게 예상 하+ㄹ 수 없기 +ㄹ바라+아 .	O O PER-B O O O O O O O O O O
여기에는 △직장 인 선호도 1위 △기업의 대학교육 참여도 1위 △10대 글로벌 파트너십 구축 △온라인 대학의 국제적 롤모델 △졸업생 평판도 톱10이라는 5가지 목표가 담기 +어 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
이밖에 국민명창 김영임의 '회심곡' 완창(약 37분)과 '한국 최초 비구니DJ'로 불리는 정목 스님의 '무소의 뿔처럼' 등 찬 불가 100여 곡을수록 하였다 .	O O PER-B O O O PER-B PER-I PER-I O PER-B O O O O O O O O O O
아이담테크는 소형 녹음기나 작은 라디오형 오디오 기기부터 울림과 음량이 크+ㄴ 블루투스 스피커에 이르기까지 다양하+ㄴ 음향기기들을 출시하며 쌓은 노하우를 바탕으로 산재하+여 있는 음반이나 불경 콘텐츠를 디지털 문화로 바꾸는 작업을 지속하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
[스포츠동아 .	ORG-B O
엑소, '엑소더스'로 10인조 컴백 …티저 영상 보니 '초능력 등장? .	ORG-B ORG-B O O O O O O O O
내년에도 대표팀에서 활약하+여야 하+ㄹ 선수+이아서 한 경기만 치르더라도 함께하는 것이 좋겠다는 뜻이었다 .	O O O O O O O O O O O O O
일정 하+ㄴ 시간이 지나고 빵 굽는 냄새가 나기 시작하자 참가자들은 조리대를 청소하고 2차 설거지와 바닥 청소를 +였다 .	O O O O O O O O O O O O O O O O O O
동대문 쇼핑 상가 뒤편 쪽방촌에서 힘겹게 살아가고 있는 거주자들의 노숙자 전락방지와 조기사회복귀도모를 위 하+여 다양하+ㄴ 사업을 펼치고 있다 .	LOC-B LOC-I LOC-I O O O O O O O O O O O O O O O O
