이날 오후 11시41분 현재 개표가 90% 완료되+ㄴ 상황에서 고 이하게 후보는 45.1%의 득표율로 다른 후보들을 크게 앞서 +었다 .	O O O O O O O O O O O O O O O O O O O
교통안전지킴이를 자처하고 나서 +ㄴ 주인공은 화순경찰서 교통관리계 장주성현 경위(57·사진).주 경위는 화순군청을 찾아가 +아 2개월 넘게 설득 하+ㄴ 끝에 화순군 화순읍 일 심리사거리에 차량 영상 검지(檢知) 시스템을 설치하였다 .	O O O O PER-B ORG-B O PER-B PER-B O LOC-B O O O O O O O LOC-B ORG-B O O O O O O O O
가판대는 처참이 부시+어+지었고 어렵게 마련하+ㄴ 저울마저 압수당하였죠. 생계가 막막하+여지+ㄴ 모하메드는 결국 죽음으로 부당하+ㅁ을 알리는 안타깝ㄴ 선택을 하고 말+ㅂ니다 .	O O O O O O O O O PER-B O O O O O O O O O
모하메드의 분신 자살 영상은 페이스북을 통하+여전국으로 퍼지+어나가았고 이를 지켜보+ㄴ 튀니지 사람들은 부패하+ㄴ독재정권에 대항하+여 민주주의를 외치며 거리로 뛰쳐나 오았습니다 .	PER-B O O O O O O O O LOC-B O O O O O O O O O
다만 자산 규모가 1000억∼5000억원인 기존 지주회사에 대하+여서는 기존의 기준을 적용하되 제외신청이 있으면 공정거래법상 지주회사에서 즉시 제외되도록 +였다 .	O O O MNY-B O O O O O O O O O O O O O O
대한항공 날개 꺾은 현대캐피탈의 목적타서브 올 시즌 상대전적에서 3전패를 안기었던 대한항공과의 12일 4라운드 맞대결을 앞두고 현대캐피탈은 목적타서브를 준비하였다 .	ORG-B O O ORG-B O O O O O O ORG-B O O O O ORG-B O O O
관심을 모으았던 국방예산 증가율은 ‘7% 안팎’으로 제시되 +어 중국 국방비가 사상 처음으로 1조 위안(약 170조원)을 돌파하게 +었다 .	O O O O O O O O ORG-B O O O MNY-B O MNY-B O O O
냉장고를 부탁하+여맹기용의 오시지 표절 논란…과거꼬마츄츄 “도용하면 가만 안 둘 것 .	O PER-B O O PER-B O O O O O O
국생체가 3년 동안 6억원(중소도시형)~9억원(대도시형)을 지원하는 이유+이다 .	ORG-B O O MNY-B O O O
문 전 대표의 부인 김정숙 씨는 12일 여기자들과의 간담회에서 “남편이 지난해 11월 한 종편 채널과 길+ㄴ 인터뷰를 하고 +아서 사이다처럼 시원하게 말하지 못하+ㄴ 것을 밤새도록 후회하며 한숨을 쉬었다”는 말을 +였다 .	PER-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
그는 “한국의 정치·교육·사회·문화 등이 모두 기능 장애(dysfunction)에 걸리+어 있다 .	O ORG-B O O O O O O O O
2NE1 출신 공민지가 KBS '언니들의 슬램덩크' 제작발표회인증샷을 남기었다 .	ORG-B O PER-B ORG-B O O O O O
2000년 10월 21일 태어나 +ㄴ이토는 올림픽 탁구 사상 최연소 이+ㄴ 만 15세 300일로 시상대에 오르았다 .	O O O O PER-B O O O O O O O O O O O
[교통사고 사망자 2000명 줄이자] 지난해 교통사고로 4292명 숨지+어… 감소율 7%로 12년 만에 가장 많이 줄 .	O O O O O O O O O O O O O O O O
21개교 교장단협의회에 참석하+ㄴ학교장들은 불안감을 못 이기+ㄴ 학부모들의 민원전화가 폭주하고 있다며 해당 학교들은 맞벌이 가정 자녀를 위하+여휴교 기간에 임시교육활동을 하기로 +였다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O O O
