1995년생 삼총사가 3년 만에 국내 무대에서 재격돌하+ㄴ다는 점은 새롭ㄴ 흥행 요소로 손꼽히고 있다 .	O O O O O O O O O O O O O O
기자는 작년에 패션스쿨로 유명 하+ㄴ 뉴욕의 FIT(FashionI nstituteofTechnology)를 취재하였을 때 한국인 박진배 교수에게 “FIT의 경쟁력은 어머니의 마음으로 학생들을 대하는 것”이라는 말을 듣고 놀라 +ㄴ 적이 있었다 .	O O O O O LOC-B ORG-B O O O O PER-B O ORG-B O O O O O O O O O O O O O
사헌부뿐만 아니라 의금부·형조·포도청·한성부 등도 수사권을 갖고 있었다 .	ORG-B O ORG-B O O O O O
그는 “중국 경제는 정부의 적극적 이+ㄴ 경제 띄우기에도 어려움을 겪을 수 있다”며 “내년 중국 국내총생산(GDP) 성장률이 7% 아래로 떨어지+ㄹ 수 있다”고 말하였다 .	O ORG-B O ORG-B O O O O O O O O O ORG-B O O O O O O O O O
가난하+ㄴ뭄바이에서 최고 부자의 뉴욕에 이르기까지 선진국과 후진국, 부자와 빈자를 가르지 않고 애용되니 과연 진정 하+ㄴ 세계화와 빈부통합을 이루었고, 남자와 여자가 똑같이 입으니 진정 하+ㄴ남녀평등을 이루었으며, 청년에서 노년까지 두루 입으니 세대를 화해시키었다 .	LOC-B O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
배우 박진희가 혼전 임신 사실을 모르았다고 털어놓았다 .	O PER-B O O O O O O
지나+ㄴ 8일 방송 하+ㄴtvN ‘현장토크쇼 택시’(이하 ‘택시’)에는 박진희가 출연하였다 .	O O O O O O O PER-B O O
좌파 성향의 오르테가 검찰총장은 반정부 시위가 격화하자 마두로 대통령이 추진 중 이+ㄴ 제헌의회 구성을 통하+ㄴ 개헌과 반정부 시위에 대하+ㄴ 정부의 강경 진압을 비판하+여+오았다 .	O O PER-B O O O O PER-B O O O O O O O O O O O O O O O O
한편 tvN ‘싸우자 귀신아’는 귀신을 보는 능력을 없애+ㄹ돈을 벌기 위 하+여귀신을 때려잡는 ‘허당 퇴마사’ 박봉팔과 수능을 못 치르+ㄴ한으로 귀신이 되+ㄴ 여고생 ‘오지랖귀신’ 김현지 가동고동락하며 함께 귀신을 쫓는 이야기를 그리 +ㄴ다 .	O PER-B O O O O O O O O O O O O PER-B O O O O O O O PER-B O O O O O O O O
특히 17일 방영분에서는 신득예(전인화)가 친딸사월(백진희)을 건축사로 성장시키고 남편 강만후(손창민)에게 복수하기 위하+여건축사마복녀로 이중생활을 시작하는 모습이 그리 +어+지었다 .	O O O PER-B PER-B O O O PER-B O O O O O O O O
장흥군 관계자는 “상인들 스스로 고령화 되+ㄴ 시골 전통시장이라는 한계를 극복하기 위하+여친 절 교육을 자주 진행 하+ㄴ다”고 말하였다 .	LOC-B O O O O O O O O O O O O O O O O O
■동탄2신도시 등 뉴스테이 사업자 공모 국토교통부와 주택도시보증공사는 경기 화성시 동탄2신도시와 경기 수원시 호매실지구에 기업형 임대주택(뉴스테이)을 공급하+ㄹ 사업자를 21일 공모하+ㄴ다고 20일 밝히었다 .	LOC-B O O O ORG-B O ORG-B LOC-B LOC-B LOC-B LOC-B LOC-B LOC-B O O O O O ORG-B O O O
