이에 대하+여 KT 관계자는 “아이폰5S는 뛰어나 +ㄴ 성능·디자인으로 고객 수요가 꾸준하+여지원금 상하+ㄴ 규 .	O O ORG-B O O O O O O O O O O O
현대홈쇼핑이 지나 +ㄴ 1일 신규 패션·뷰티 전문 프로그램 ‘최현우의 초이스’를 론칭 진행하였다고 밝히었다. 최현우의 초이스는 매주 목요일 오전 9시 25분부터 2시간 동안 진행되+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O
반 전 총장은 이날 청년, 서민과의 소통에 집중하며 ‘미래지향적 지도자’의 이미지를 강화하는 데 주력하였다 .	PER-B O O O O O O O O O O O O O O
같은 생각을 다 공유 하+ㄹ 수 있으리라 믿는다”고 말하였다. 앞서 +어 김 대표가 지나 +ㄴ 2일 야권통합을 전격 제안하자, 안 대표는 “저+의 이름이 안철수, 철수 안 하+ㄴ다”며 반대하였다 .	O O O O O O O O O O O PER-B O O O O O O PER-B PER-B O O O PER-B O PER-B O O O
대변인론 지글러를 시키+어“이제 이 방법은 작동이 안 되+ㄴ다(inoperative)”는 논평을 내고 자진 사퇴를 결정하였다 .	PER-B PER-I O O O O O O O O O O O O
상업영화에서 +ㄴ아직 단편적 이+ㄴ 조역을 전전하고 있지만, 인디 영화 ‘위너독’에서는 세상 답답하+ㄴ영화감독 지망생 역으로 신선하게 웃기+어주+ㄹ 예정.요 아킴트리에 감독의 말처럼 “놀랍도록 노련하고 촉이 좋은”이 배우의 반전 매력은 한번 눈 뜨면 빠져나오기 힘들다 .	PER-I O O PER-B O O O O O O O O O O O O O O O O O O PER-B PER-B O O O O O O O O O
200만원의 수익까지는 비과세, 200만원 초과수익은 9.9%의 낮은 세율을 매기+ㄴ다는 것+이 가장 크+ㄴ 혜택이다 .	MNY-B O O MNY-B O O O O O O O O O O
그동안 검찰 수사에서 비자금 조성 혐의 등으로 구속되거나 구속영장이 청구되 +ㄴ 포스코건설 전현직 임원은 박모 상무(52) 등 모두 8명이다 .	O ORG-B O O O O O O O O O ORG-B O O PER-B ORG-B O O O O
그는 1998년 강원도의 한 고등학교에서 지도자 생활을 시작하였다 .	O O LOC-B O O O O O O
'최자'가 아니+ㄴ '치자'로 표기되+ㄴ 문구가 웃음을 자아내 +ㄴ다 .	PER-B O O O O O O O O
차차 이씨는 『13년 전 같은 영화의 주연을 맡아 가깝어 +지었다』며 자신이 먼저 프로포즈+하였다고 털어놓았다 .	PER-B O O O O O O O O O O O O O O
그러나 SBS의 스포츠 채널 인수에 대하+ 여케이블 업계로의 튼실 하+ㄴ자본의 유입이라는 긍정적 반응이 있는 반면, 공중파 방송의 거대 공룡화+이라는 지적도 함께 나오고 있다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O
강화군 관계자는 “강화 외성문화재와의 조화롭 ㄴ 역사문화환경을 조성하기 위하+여주 거지역을 정비하고 관광객을 위하+ㄴ 근린생활시설을 갖추+ㄹ 수 있도록 하+ㄹ 계획”이라고 말하였다 .	LOC-B O LOC-B LOC-I O O O O O O O O O O O O O O O O O
