며칠 동안 음식물 쓰레기 봉투를 구입하지 못하+여집 안에 음식물 쓰레기를 쌓아놓고 있었던 김 모씨(47)도 집에서 멀리 떨어지+ㄴ S마트까지 찾아가 +았지만 헛걸음을 +였다 .	O O O O O O O O O O O O PER-B PER-I O O O LOC-B O O O O O
하지만 우리은행의 수익성과 건전성이 개선되 +ㄴ점에 투자자들이 좀 더 주목하+ㄴ 것이라는 분석이 나 오+ㄴ다 .	O ORG-B O O O O O O O O O O O O O
이 분야의 전문가 이+ㄴ㈜ 진학사 청소년 교육연구소 윤동수 이사, 와이즈만 입시전략연구소 유근상 책임연구원에게 학생·학부모에게 전하+여주+ㄹ만 하+ㄴ 조언을 듣어 +보았다 .	O O O ORG-B ORG-I ORG-I ORG-I PER-B O ORG-B ORG-I O O O O O O O O O
주목 하+ 여야 하+ㄹ 흐름은 .윤동수 이사 “첫째, 이제 수시가 필수가 +었다 .	O O O O O PER-B O O O O O O O
군인 출신 홍의 선씨와 결혼 하+여 64년 남편과 함께 답십리 영화 촬영소(대한연합 영화 주식회사)를 설립하였으며 ‘부부전쟁’(1964)을 시작으로 여성으로서는 처음으로 영화 제작에 뛰어들었다 .	O O O O O O O O O ORG-B ORG-I ORG-B ORG-I ORG-I O O O O O O O O O
현대백화점 측은 “내년 2월까지 방문객 600만명을 끌어모으아 1년 매출액 4000억원을 달성하는 것이 목표”라고 밝히었다 .	ORG-B O O O O O O O O MNY-B O O O O O
결과적으로 인문계열은 등급 합4를, 자연계열은 등급 합5를 맞추면 상위권 대학까지 지원 하+ㄹ 수 있다는 것이 +ㅂ니다 .	O O O O O O O O O O O O O O O O O
돌 전후 심하다가 2~3세에 사라지 +ㄹ 수 있으며, 20세가 넘어서까지 지속되더라도 대부분 경하+ㄴ 증상을 나타내고 유병율도 낮다 .	O O O O O O O O O O O O O O O O O O
크라이슬러 200과 피아트 500X은 전방 추돌 경고-플러스 시스템(FCW-Plus)과 전방 추돌 경고 시스템(FCW)으로 불리는 AEB로 각각 최우수(Superior)와 우수(Advanced) 등급을 받으며 탑세이프티픽 플러스 조건을 만족시키었다 .	O O O O O O O O O O O O O O O O O O O O O O O O
이어 허구연 KBO 야구 발전위원장(MBC 스포츠플러스 해설위원), 이재국 한국야구기자회장(스포츠동아), 한만 정 통합추진위원(MBC 스포츠플러스 해설위원)이 토론자로 나서 +었다 .	O PER-B O O O ORG-B O PER-B ORG-B O O O ORG-B O O O O O
문 대표는 논의 초점을 ‘의원 수 확대’보다 ‘권역별 비례대표제 도입’에 맞추는 데 안간힘을 +었다 .	PER-B O O O O O O O O O O O O O O
그라나다는 승점 23점으로 19위에 머무르었다 .	O O O O O O
