뮤지컬은 이번 주 월요일(지나+ㄴ 13일)에 완전하게 끝나 +았다 .	O O O O O O O O O
고려대 경영대학은 2006년 이후 10년 연속 국내 1위를 차지하+ㄴ 것은 물론, 2011년부터 5년 연속으로 세계랭킹 100위권에 진입하는 성과를 거두었다 .	ORG-B O O O O O O O O O O O O O O O O O O O
또 다른 평가지표 중 하나이+ㄴ 전 세계 사회과학 분야 학술논문 데이터베이스 ‘SSRN(SocialScienceResearchNetwork)’이 발표 하+ㄴ ‘SSRNTOP 1000 비즈니스 스쿨’ 랭킹에서 고려대 경영대학은 국내 대학 중 가장 높은 77위(전체 기간·2016년 9월 1일 기준)에 오르았다 .	O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O
김수아 팀장은 “중독성 있는 맛과 독특하+ㄴ 비주얼 덕분에 개점 초기부터 인기몰이를 +였다”며 “지금도 전국 대부분의 매장에서 주말이면 20분 이상 줄을 서+어서 기다리+어야 살+ㄹ 수 있다”고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
고씨에게 대리 구매를 의뢰하+ 여 졸피뎀을 손에 넣은 고객 3명 도 입건하였는데 이 중에 이미가 포함되 +ㄴ 것이다 .	PER-B O O O O O O O PER-B O O O O O O O O O O
경찰 관계자는 “에이미가 9월 경찰에 출석 하+여조사를 받는 동안 ‘병원에서 처방받은 약을 배달받았을 뿐’이라며 혐의를 완강히 부인하였다”고 밝히었다 .	O O PER-B O O O O O O O O O O O O O O O O
이와 관련에 이미는 이날 동아닷컴과의 통화에서 “심부름 업체는 생필품 구입을 위하+여 이용 하+여+았을 뿐”이라며 “심부름 업체를 통하+여 졸피뎀을 사지 않았다”고 억울하+ㅁ을 호소하였다 .	O O O O ORG-B O O O O O O O O O O O O O O O O O O
‘한강 라인’ 아파트들의 인기 요인은 무엇보다도 쾌적하+ㄴ 주거환경이다 .	LOC-B O O O O O O O O
이렇게 세계 원자력 산업에서 한국이 선두주자로서의 역할을 공고히 하+ㄹ 수 있는 현 상황에서 원자력 종주국이었던 미국과 신원자력협정에서 동반자적 파트너십을 구축하+여 미래지향적이고 전략적 이+ㄴ 협력을 추진하+여나가기로 하+ㄴ 것은 매우 시의적절하다고 보+ㄴ다 .	O O O O ORG-B O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O
가뜩이나 힘겹게 하루하루를 연명하는 한국 경제는 나락으로 떨어지+ㄹ 수도 있다 .	O O O O ORG-B O O O O O O
‘PD 수첩’ 싸이, 과거 軍재입대심경 듣어보니?“만삭 아내 눈물 펑펑”MBC ‘PD수첩’이 가수 싸이의 건물을 둘러싸 +ㄴ 건물주와 세입자 논란을 다루+ㄴ 가운데, 과거 싸이가 재입대심경을 밝히+ㄴ 것이 재조명 받았다 .	O O PER-B O O O O O ORG-B O O PER-B O O O O O O O O O PER-B O O O O O O
LG전자의 트윈워시는 냉장고의 냉장실·냉동실처럼 세탁기의 상단에 +ㄴ드럼, 하단에 +ㄴ 통돌이를 결합하+여인기를 모으고 있다 .	ORG-B O O O O O O O O O O O O O
두 대의 세탁기를 한 대에 넣으면 진동이 심하+여지는 약점이 있지만 LG전자는 기술력으로 이 문제를 해결하였다 .	O O O O O O O O O O ORG-B O O O O O
