두 전형의 가장 크+ㄴ 차이는 최전방스트라이커 바로 뒤를 받치는 2선 공격수(좌우 측면 공격수 제외)의 수다 .	O O O O O O O O O O O O O O O O
朴 대통령 지지율 상승… 국가위기시 ‘국기주위로 결집’ 효 .	PER-B O O O O O O O O
‘택시’ 박진희, 휴대폰 한참 뒤지더니 “여보, 미안하+여” … 무슨 일?택시에 출연하+ㄴ 박진희가 5살 연하의 남편과의 러브스토리를 공개하며 결국 딸 바보 이+ㅁ을 인증하였다 .	O PER-B O O O O O O O O O PER-B O O O O O O O O O O O
8일 방송되+ㄴtvN ‘현장토크쇼-택시’에서는 ‘일탈도우미’ 특집으로 배우 박진희가 출연하+여재미를 전하였다 .	O ORG-B O O O O PER-B O O O
이날 방송에서 박진희는 남편과의 첫 만남을 공개하며, 첫 만남에 대하+여 밝히었다 .	O O PER-B O O O O O O O O O
박진희는 “드라마 스케줄로 3개월 정도만남이 미루+어+지었다”며 “갑자기 드라마 촬영이 1주일 정도 스케줄이 없어지었다”고 말 하+ 여운 명적 만남을 전하였다 .	PER-B O O O O O O O O O O O O O O O O O O O
강진주퍼스널이미지연구소 소장은 “다른 후보가 말을 하+ㄹ 때 입을 벌리고 있는 때가 많았는데 꽉 다 물어야 카리스마 있게 보이+ㄴ다”며 “파란색 셔츠로 ‘블루칼라(현장 노동자)’ 이미지, 넉넉하+ㄴ 양복으로 소탈·소박 하+ㄴ 인상을 +었지만 격식과 품위는 덜하였다”고 짚었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
동급 최대 차체 길이와 최고 수준 연비·출력 9년 만에 풀체인지 …준중형 세단 새 기준 제시 9년 만에 풀체인지되+ㄴ 쉐보레올 뉴 크루즈가 17일 서울 영등포에 위치하+ㄴ 대선 제분 문래공장에서 열리+ㄴ 신차발표회를 통하+여공개되었다 .	O O O O O O O O O O O O O O O O O O ORG-B O O O LOC-B LOC-B O LOC-B O O O O O O
코블록을 쌓아야 하는 사람들은 모두 이야기 주제 카드 더미에서 카드를 1장씩 뽑는다 .	O O O O O O O O O O O O O
오픈문고와 그룹 스터디룸, 1대 1 스터디가 가능하+ㄴ 별도의 방, 열람실 등이 조성되 +ㄹ 계획이다 .	O O O O O O O O O O O O O O O
그러나 주도권을 둘러싸 +ㄴ 환경부와 국토부간의 신경전 속에 논의는 중단되다시피 하+ㄴ 상태+이다 .	O O O O ORG-B ORG-B O O O O O O O
미래에셋글로벌 ETF 순자산 100억달러 돌파 ▼ 미래에셋자산운용은 한국, 미국, 캐나다 등 세계 6개국에 상장되+ㄴ 미래에셋 상장지수펀드(ETF)의 순자산총액이 지난달 말 현재 100억달러(약 11조5590억원)를 넘어서 +었다고 23일 밝히었다 .	ORG-B ORG-B O MNY-B O O ORG-B ORG-B ORG-B ORG-B O O O O ORG-B ORG-B O O O O MNY-B MNY-B O O O O O
그것도 열 +ㄴ 2주째 계속되는 더위+이다 .	O O O O O O O
이날 방송에서 이서진은 이동 중 최지우에게 "친하+ㄴ사람 얼마 안 되지 않냐"고 묻어 은근하+ㄴ 신경전을 펼치었다 .	O O PER-B O O PER-B O O O O O O O O O O
