두 사람은 기억을 더듬으며 노홍철의 과거 짝사랑 상대에 대하+여서도 이야기를 나누었다 .	O O O O PER-B O O O O O O O
맑은 물리조트 앞을 흐르는 내린천에서는 래프팅이, 리조트 중앙에 위치하+ㄴ 수영장에서는 내린천을 바라보며 즐기는 야외 수영을 즐기+ㄹ 수 있고, 생생 하+ㄴ 손맛을 즐기+ㄹ 수 있는 내린천에서의 낚시까지 더하면 여름철 3색 물놀이가 가능하+ㄴ 1석 3조 리조트+이다 .	O O O O LOC-B O O O O O LOC-B O O O O O O O O O O O O O LOC-B O O O O O O O O O O
당시 부리람에서 뛰+ㄴ오스마르는 올해 서울의 주장 완장을 차고 있다 .	O ORG-B PER-B O LOC-B O O O O O
지난해까지 출연하+ㄴ MBC 예능 프로그램 ‘우리 결혼하었어요’에서 선보이+ㄴ 솔직하+ㄴ 매력을 인정받아 드라마와 리얼리티 콘셉트를 합치+ㄴ ‘연극이 끝나고 나+ㄴ 뒤’에 출연하게 +었다 .	O O O O O O O O O O O O O O O O O O O O O O
현재 태국에서 촬영 중이며 연기자 하석진, 윤소희 등과 함께 참여하고 있다 .	O LOC-B O O O PER-B PER-B O O O O O
소속 사드림티 엔터테인먼트 관계자는 “멤버들이 가지+ㄴ 매력이 전혀 다르+ㄴ 만큼 다양하+ㄴ 무대에서 활약 하+ㄹ 계획이다”고 말하였다 .	O ORG-B O O O O O O O O O O O O O O O
닐스티븐슨은 과학지식을 바탕으로 하면서도 풍부하+ㄴ 상상력을 겸비하+ㄴ 공상과학소설을 쓰는 것으로 유명하다 .	PER-B O O O O O O O O O O O
유토피아 책에 푹 빠지+ㄴ 피터 틸 최근 방한한 페이팔 창업자 피터틸(PeterThiel)은 자산 22억달러(약 2조4000억원)를 보유 하+ㄴ자산가이자 『제로투원(Zerotoone) 』의 저자이기도 하+ㄴ ‘뇌섹남(뇌가 섹시하+ㄴ 남자)’이다 .	O O O O PER-B O O O O O PER-B O MNY-B MNY-B O O O O O O O O O O
그러면서 "가상레모네이드를 먹으면 진짜 레모네이드를 먹는 경험을 하지만, 칼로리는 0이 되+ㄹ 수 있다"고 덧붙이었다 .	O O O O O O O O O O O O O O O
영화 ‘트랜스포머’의 주인공 샘 윗위키도 중고차 매장에서 평생의 로봇 친구 범블비를 만나지 않았던가. 국내 최대 중고차 판매업체 SK엔카와 함께 20대 가 구입을 고려하+ 여보+ㄹ만 하+ㄴ 중고차를 Q&A로 풀어보다 .	O O O PER-B O O O O O O PER-B O O O O O O ORG-B O O O O O O O O O O O
배우 유지태가 아내 김효진을 향하+ㄴ애정을 과시하였다 .	O PER-B O PER-B O O O
이와 관련 하+여 11일 국회 안전행정위원회 국정감사에 이해진 네이버 의장과 김범수 다음카카오 의장이 증인으로 나오+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O PER-B ORG-B O PER-B ORG-B O O O O O O
또 1백만 원까지는 연대보증인 없이 무보증으로 대출을 하+여주고 대출금액이 1백만 원 이상이+ㄹ 경우에 +ㄴ한 사람만 보증인으로 세우면 대출을 받을 수 있다 .	O MNY-B O O O O O O O MNY-B O O O O O O O O O O O O
수능 D-100일 이+ㄴ 지나 +ㄴ 8월9일부터 촬영되+ㄴ이 영상은 도교육청 미디어팀 직원 5명과 유치원생부터 초등학생, 교직원, 학부모, 페이스북 팔로워까지 100여명의 시민이 ‘잘 보든 못 보든’을 부르는 모습이 담기었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이 영상에는 ‘얘들아 간절히 원하면 우주가 도와주+ㄹ’, ‘너무 덥어 혼이 비정상’, ‘이러려고 맨 앞에서 +었나 자괴감 들고 괴롭어’ 등 최근 박근혜 대통령이 발표하+ㄴ 담화문을 패러디하+ㄴ자막이 함께 담기 +어 눈길을 끌고 있다 .	O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O
