전날까지 이글 1개에 버디 13개, 보기는 단 2개밖에 하지 않았던 그는 최종 라운드 13번홀까지 버디 1개에 보기를 2개나 기록하면서 1타를 잃고 있었다 .	O O O O O O O O O O O O O O O O O O O O O O O
이 구간은 4년간 잦은 교통사고로 20명이 사망하는 등 지난해 기준 전국 고속도로 사망건수보다 1.9배 많았다 .	O O O O O O O O O O O O O O O O
이때 2005년 부산에서 아시아태평양 경제협력체(APEC) 회의가 열리면서 길이 열리었다 .	O O LOC-B ORG-B ORG-B O O O O O
안 지사는 이날 “‘인서울’이 아니면 ‘루저’가 되는 촌스럽ㄴ 대한민국을 바꾸자”+이라며 자치분권의 중요성을 거듭 강조하였다 .	PER-B O O O O O O O ORG-B O O O O O O
새누리당 정우택 원내대표가 “전인범 전 특전사령관이 사드 배치 문제에 대하+여 매우 옳은 말을 +였다”며 더불어민주당 문재인 전 대표가 새겨 듣어야 하+ㄹ말이라고 주장하였다 .	ORG-B PER-B O PER-B O O O O O O O O O O ORG-B PER-B O O O O O O O
정우택 원내대표는 7일 오전 국회에서 열리+ㄴ 원내대책회의에서 “다른 쪽도 아니+ㄴ 더불어민주당 의원이 개최 하+ㄴ토론회에서 ‘중국의 경제적 압력에 절대 굴하지 않고 기존 합의는 존중하+여야 하+ㄴ다고 선언 하+여야 하+ㄴ다’고 말하였다”며 “특전사 사령관 출신 답 ㄴ옳은 말이다”라고 말하였다 .	PER-B O O O O O O O O O ORG-B O O O ORG-B O O O O O O O O O O O O O O O O O O O O O
정 원내대표는 “문재인 전 대표가 새겨 듣어야 하+ㄹ말”이라며 “문 전 대표는 말 그대로 국방안보 분야 조언과 자문 역할 하+ㄹ분이 이처럼 소신 있게 하+ㄴ말조차 흘려 듣을 것이 +ㄴ 지 자신의 분명 하+ㄴ 입장을 밝히+어야 하+ㄴ다”고 촉구하였다 .	PER-B O PER-B O O O O O PER-B O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O
이어 “안보관이 불안하고 의구심을 살는 사람은 결코 대한민국의 대통령의 자격이 없다”며 “언제까지 사드에 대하+여차기 정부에서 검토하겠다는 식의 애매모호하+ㄴ말만 계속 하+ㄹ 것이 +ㄴ지 엄중히 묻지 않을 수가 없다”고 밝히었다 .	O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O
한편 문재인 캠프에 합류하+ㄴ 전인범 전 특전사령관은 지나 +ㄴ 6일 이철희 민주당 의원이 국회의원회관에서 개최 하+ㄴ국방안보정책 관련 토론회에 참석하+여, 사드 배치 논란과 관련 하+여 “사드와 관련 하+여 첫째, 우리는 절대 중국의 경제적 압력에 굴복하지 않고 둘째, 기존 합의는 존중하+ㄴ다고 선언 하+여야 하+ㄴ다 .	O PER-B O O PER-B O O O O O PER-B ORG-B O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O
김한솔의 시신 확인설에 대하+여서는 아직 가족이 찾아오아시신을 요구하+ㄴ적이 없으며 이와 관련되+ㄴ 언론 보도는 모두 진실이 아니라고 부인하였다 .	PER-B O O O O O O O O O O O O O O O O O
미국의 북한 전문매체 자유아시아방송(RFA)은 12일 북한 소식통을 인용하+여 “북한 당국이 김일성 생일을 앞두고 혜산-삼지연 철길 개통식을 준비하고 있다”고 보도하였다 .	ORG-B ORG-B O O O ORG-B O O ORG-B O PER-B O O LOC-B O O O O O O
워싱턴DC와 테네시·메릴랜드 등 10여개 주가 폭설과 강추위로 비상사태를 선포하였다 .	LOC-B LOC-B O O O O O O O O
이어 “이번 대회에서 최전방 공격수와 섀도우스트라이커 역할을 유주안(17·매탄고)과 나누+어맡기었는데, 호흡이 좋았다 .	O O O O O O O ORG-B O O O O
올리베라가 30세로 적지 않은 나이 이+ㅁ에도 사이닝 보너스 2800만 달러를 포함해 총액 6250만 달러(약 688억원)의 초특급 계약을 맺었다 .	PER-B O O O O O O O MNY-B O O O MNY-B O MNY-B O O O O
