고궁 야간개장 예매, 왕의 침전 ‘강녕전’·왕비가 머물던 ‘교태전’도 공개 2016년 봄철 고궁 야간개장 예매가 화제+이다 .	O O O O O LOC-B O LOC-B O O O O O O O O
경복궁과 창경궁 등 고궁 야간개장이 내달부터 시행되 +ㄴ다 .	LOC-B LOC-B O O O O O O O
검찰이 가전제품 수출입 대금을 부풀리+어 3조원대의 천문학적 사기대출을 받은 혐의로 재판에 넘기+어지+ㄴ 박홍석 모뉴엘 대표(53)에게 징역 25년의 중형을 구형하였다 .	O O O O O MNY-B O O O O O O PER-B ORG-B MNY-B O O O O O
이어 장효민(27)과 한성만(41)도 이홀에서 이 글을 기록하+여 8번홀에서만 4개의 이 글이 나 오았다 .	O PER-B PER-B O O O O O O O O O O O
SK텔레콤이 중국어로 ‘특별 하+ㄴ 연결(聯尤·롄유)’이라는 뜻을 가지+ㄴ스마트 기기 브랜드를 앞세우어 중국 시장 공략에 나서 +ㄴ다 .	ORG-B LOC-B O O O O O O O O LOC-B O O O O O
메이저리그 적응에 크+ㄴ문제가 없는 유경험자이기도 하다 .	O O O O O O O
安캠프 공동선대위원장 출신 김성식 국민의당 합류… 예상보다 늦어 지+ㄴ이유는? 2012년 '진심캠프' 원년 멤버이자 안철수 의원의 고교 선배 이+ㄴ 김성식 전 새누리당 의원이 국민의당(가칭)에 합류하였다 .	PER-B O O PER-B ORG-B O O O O O O O O PER-B O O O O PER-B O ORG-B O ORG-B O O
김성식 전 의원은 국민의당 창당 하루 전 이+ㄴ 1일 서울 마포구 창당준비위원회 사무실에서기자회견을 갖고 "국민의당이 기득권 양당 구조를 깨뜨리고 새정치를 만들는 견인차가 되+ㄹ 것으로 확신하고, 미력 하+ㄴ저+의 자신을 보태고자 하+ㄴ다"며 입당을 선언하였다 .	PER-B O O ORG-B O O O O O LOC-B LOC-B O O O ORG-B O O O O O O O O O O O O O O O O O O
트럼프가 누구보다 확신에 차+ㄴ어조로 대선 정국을 휘젓고 있다 보니 다른 후보들에 비하+여 강 하+ㄴ 인상을 심어주고 있으며, 이는 지지율 고공행진으로 이어지고 있는 요인이라는 것.트럼프는 NBC 방송과 월스트리트저널이 공동 실시하+여2일 공개 하+ㄴ 여론조사에서도 공화당 성향 유권자 사이에서 19%의 지지율을 기록하+여스콧 워커 위스콘신 주지사(15%), 젭 부시 전 플로리다 주지사(14%) 등을 제치고 1위를 기록하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O PER-B ORG-B O ORG-B O O O O O ORG-B O O O O O PER-B O LOC-B O PER-B O O LOC-B O O O O O O
이미 자장사익 합동콘서트, 동시간대 시청률 1위… 얼마나 나오았나 .	O PER-B O O O O O O O
중국 내 이동수단이 +ㄴ 비행기 편도 늦추+어 출발하거나 취소되는 예가 종종 있다 .	LOC-B O O O O O O O O O O O O
하승진, 김태술 등 주전선수들이 부상 없이 저+의 몫을 다하면서 시즌 막판에 힘을 내고 있는 것과 남은 4경기 중 3경기를 안방에서 치르는 것도 KCC의 PO 직행 전망을 밝게 하고 있다 .	PER-B PER-B O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O
이처럼 공유대학을 통하여 서울시는 세상에서 가장 살기 좋은 도시가 되+ㄹ 것이다 .	O O O ORG-B O O O O O O O O
