“관료의식 버리+어야 국제 화성공”/ 빌라 이런스(월요 인터뷰 .	O O O O PER-B O O O
삼성동 사저 앞서 +어 4개월가+ㄴ집회? 이석현“삼릉초교 주변 거주자 도와주+어 .	LOC-B O O O O LOC-B O O O O
신 감독은 24세 이상의와일드카드 3명을 어느 포지션에 활용하+ㄹ지, 리우 올림픽 본선까지 남은 기간 동안 평가전 등을 통하+여 어떻게 전력을 끌어올리+ㄹ지 심사숙고 하+ 여야 하+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O
그러나 불가에서는 ‘단단(斷斷)히’로 풀어 홍산 스님의 해설처럼 욕망을 경계하는 뜻으로 쓰이었을 수도 있다 .	O O O O PER-B O O O O O O O O O
목포에서 출발하+여용산역을 거치+어인천공항으로 향하는 열차로 광명역에서는 빈자리가 열에 한두 자리뿐이+ㄹ 정도로 좌석이 거의 꽉 차+았다 .	LOC-B LOC-B LOC-B O O LOC-B O O O O O O O O O O
골든트라이앵글의 헤로인 이 미국 전체 물동량의 70% 가까이 점하고 있다 .	LOC-B O O ORG-B O O O O O O O
후보 등록은 이달 26일까지 +이다 .	O O O O O O
'플레이 타임'은 상영시간이 67분에 달하+ㄴ다 .	O O O O O O
방위사업청은 2010년 3월 군납증 식용(간식·영양보충용) 건빵 구매 입찰사업을 발주하였다 .	ORG-B O O O O O O O O O
11일 현재 고객예탁금은 전날보다 8백22억원 늘어나 +ㄴ 3조2천2백12억원 .	O O O O MNY-B O O MNY-B O
결국 이 선수는 금메달을 목에 걸고 그를 바라보는 한 여성이 갤럭시S7으로 사진을 촬영하는 것으로 마무리되 +ㅂ니다 .	O O O O O O O O O O O O O O O O O
앞서 외신을 통하+여 알려지+ㄴ바에 따르면, 갤럭시S7은 전작이+ㄴ S6에서 제외되며 아쉬움을 안기었던 방수 기능과 마이크로 SD카드 슬롯을 부활시키+ㄹ 것으로 기대를 모으았습니다 .	O O O O O O O O O O O O O O O O O O O O O
이와 더불어 삼성은 홈페이지를 통하+여 이미지 4개를 공개하였는데요.이들은 각각 방수, 보안, 디자인, 카메라 등을 강조하+여 갤럭시S7가 나아가 +ㄹ 방향을 제시하+ㄴ 것으로 보이+ㅂ니다 .	O O ORG-B O O O O O O O O O O O O O O O O O O O O
한편, 언급되+ㄴ바에 따르면 갤럭시S7과 S7 엣지의 사양은 디스플레이를 제외하고는 대체로 비슷하며 엑시노스8890 혹은 퀄컴 스냅드래곤 820을 혼용 하+ㄹ 방침이며 4GB램, 32GB스토리지, 3000mA h(S7), 3600m Ah(S7엣지)의 배터리를 지원 하+ㄹ 것으로 보이+ㅂ니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
