앞서 +어최근 미국 몬태나에서는 12세 딸을 성폭행 하+ㄴ 남성에게 법원이 60일 징역형을 선고하+여 논란이 일어나 +ㄴ바 있다 .	O O LOC-B LOC-B O O O O O O O O O O O O O O
그린CEO는 “브랜드가 소비자를 얼마나 잘 이해하는지 보이어 주+ㄴ 사례”라고 말하였다 .	PER-B O O O O O O O O O O
아기의 옹알이, 아무도 발음 하+ㄹ 수 없는 히브리어의 철자 알레프에 관하+ㄴ 전설, 호흡을 지시하는 묵음이 +ㄴ ‘H’의 부치+ㅁ, 혀가 없이 조그맣+ㄴ돌기만으로 말하는 소녀, 11세기 시리아 시인 알마아리의 편지 ‘용서의 편지’ 등 흔하지 않은 이야기를 다루었다 .	O PER-B O O O O O O O PER-B O O O O O O O O O O O O O O ORG-B O PER-B O O O O O O O O O
하필 고려시대 양식의 법당을 짓는 이유가 궁금하었다 .	O O O O O O O O
10일과 이번 주말(11,12일)에는 전국이 대체로 맑을 것으로 보이+ㄴ다 .	O O O O O O O O O
박명진(70) 한국문화예술위원장이 25일 대법원 공직자윤리위원장 자리에서 자진사퇴하였다 .	PER-B O O O O O O O
5일 금융결제원에 따르면 GS건설이 전북 전주시 ‘에코시티’에서 분양 하+ㄴ ‘에코시티자이’는 평균 76.5대 1의 경쟁률로 모든 주택형이 1순위 마감+되었다 .	O ORG-B O ORG-B LOC-B LOC-B ORG-B O O ORG-B O O O O O O O O O
○…충남대(총장 오덕성) 인재개발원은 매월 마지막 주 수요일에 창업경진대회를 열어 대상팀에 창업지원금 500만원을 수여하+ㄴ다 .	ORG-B PER-B O O O O O O O O O MNY-B O O
올해 이 지역에는 2900여채가 분양을 앞두고 있다 .	O O O O O O O O
하지만 프레디의 시신을 검안하+ㄴ 결과 ‘사인 불명’ 판정이나 +았다 .	O PER-B O O O O O O O O
이에 따르 아최근 노년층을 비롯하+여신혼부부로 구성되 +ㄴ 젊은층이 형식적 이+ㄴ 아파트 대신 테라스하우스로 눈길을 돌리고 있는데 이러하+ㄴ 가운데 자연친화적 이+ㄴ 태조산수피아 더테라스가 분양을 앞두고 있어 소비자들의 이목이 집중되고 있다 .	O O O O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O
아베 신조 총리는 도쿄 만에 인접 하+ㄴ지바 현지 바시가 세계 첫 드론(무인비행기) 택배상용화 계획을 마련하자 건의를 받은 지 한 달 만이 +ㄴ 15일 국가전략특구회의에서 지바시를 드론 택배 전략특구로 지정하고 필요하+ㄴ 후속 조치를 내각에 즉각 지시하였다 .	PER-B O O LOC-B O O LOC-B O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O O O O
