'스물'이준호"보통의 스무살은 어떻게 지내는지 모르아 .	PER-B O O O O O
17일 온라인 커뮤니티를 중심으로 반기문 전 총장이 퇴주잔으로 보이는 잔에 술을 받은 뒤 마시는 장면이 담기 +ㄴ 짧은 영상이 ‘반기문 퇴주 잔 사건’이라는 제목으로 빠르게 확산되고 있다 .	O O O O PER-B O O O O O O O O O O O O O O PER-B O O O O O O O O
‘반기문 퇴주 잔 사건’은 반기문 전 총장이 부인 유순택 여사와 지나+ㄴ 14일 반 전 총장의 고향 충북 음성군 원남면 상 당리행치마을의 선친묘소를 참배하는 과정에서 나오았다 .	PER-B O O O PER-B O O O PER-B O O O PER-B O O O LOC-B LOC-B LOC-B O LOC-B O O O O O
영상을 보+ㄴ 누리꾼들은 통상적으로 묘소를 방문하면 퇴주잔에 술을 따르 아올리+ㄴ 뒤 그 술을 묘소 인근에 뿌리며 퇴주하는 것이 풍습이라면서 반기문 전 총장의 행동을 비판하였다 .	O O O O O O O O O O O O O O O O O O O PER-B O O O O O
인문사회계열과 IT 및 문화예술 계열에 총 24개 학과를 두고 있다 .	O O O O O O O O O O O
지나+ㄴ 2월 이미크+ㄴ폭의 부분 수술을 단행하+ㄴ 뒤+이어서 규모보다는 내용 보강에 중점을 두고 있다 .	O O O O O O O O O O O O O O
조 대변인은 또한 “위안부 문제를 역사의 교훈으로 오래 기억하기에 적절하+ㄴ장소로 소녀상을 옮기는 방안에 대하+여정부, 지자체, 시민단체 등 관련 당사자들이 지혜를 모으+ㄹ 필요가 있다는 점도 전달하였다”며 “일반적으로 외교공관 앞에 조형물이 설치되는 것은 바람직하지 않다는 입장이다 .	PER-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O
총 10명을 선발하며, 당첨자는 오는 18일에 발표되+ㄹ 예정이다 .	O O O O O O O O O
팀도 2부 리그로 강등되고 이후 이청용은 줄곧 챔피언십에서 뛰었다 .	O O O O O PER-B O O O O
비전케어 측은 의료장비+이라고 +ㄴ 하나 없는 병동 하나를 빌리+어 수술 병동을 꾸미었습니다 .	ORG-B O O O O O O O O O O O O
'신분을 숨기+어라' 김범배우 김범이 리얼액션의 고충을 털어놓았다 .	O O PER-B PER-B O O O O
