'0'의 균형은 3회말에 깨지었다 .	O O O O O
지난해 강원FC는 4차례에 걸치+어 평창 알펜시아 스키점프장을 축구장으로 만들어 K리그 챌린지(2부 리그) 홈경기를 펼치었다 .	O ORG-B O O LOC-B LOC-I LOC-I LOC-I O O ORG-B ORG-I O O O
저비용 항공사 중에서는 제주항공이 유일하게 B를 받았다 .	O O O ORG-B O O O O
등 데뷔 30년차 배우의 ‘엄살’은 아이러니하게도 작품의 완성도에 대하+ㄴ기대를 점점 키우는 효과가 있었다 .	O O O O O O O O O O O O O O
태권도의 날, 맞고 1950년부터의 관련 기념물 공개… '어디서 보+ㄹ 수 있지? .	O O O O O O O O O O O O
우선 올해 입주 예정 물량이 7200여 가구로 지난해보다 1만가구 넘게 줄어들기 때문이다 .	O O O O O O O O O O O O O
그는 이 문제를 스탈린과 함께 논의하겠다고 말하고, 스탈린으로부터 『소련은 그 선을 넘지 않겠다』는 약속을 받아내는 데 최선을 다하겠으나 과연 성공 하+ㄹ 것이 +ㄴ 지 자신이 서지 않는다고 실토하였다 .	O O O PER-B O O O PER-B ORG-B O O O O O O O O O O O O O O O O O O O O
롯데리아(대표 노일식)는 오는 11~12일 리아데이를 운영하+ㄴ다 .	ORG-B PER-B O O O O O
롯데리아 리아데이는 2013년 8월 처음 시작하+여월과 일이 같은 날 특정 제품을 일정 시간 50% 할인, 1++1 등으로 판매하는 깜짝 이벤트로 지나 +ㄴ 1월에는 1++1 이벤트를 진행하였고, 2월에는 약 50%가량 할인 판매 하+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
오는 11일에는 매장 방문 고객 대상으로 닭가슴살 패티로 만들 +ㄴ치킨버거를 정상가 3000원에서 50% 할인 하+ㄴ 1500원에 판매하며, 12일에는 롯데리아 대표 장수 제품 중 하나이+ㄴ 데 리버거를 1200원에 판매 하+ㄴ다 .	O O O O O O O O O O O MNY-B O O O MNY-B O O ORG-B O O O O O O O MNY-B O O O
한 검찰 간부는 “특검이 박 전 대통령과 최씨에게 뇌물을 주+ㄴ 혐의로 이재용 삼성전자 부회장(49)을 구속기소하였지만 검찰은 뇌물로 판단하지 않을 수 있다”며 “뇌물 여부는 법원이 박 전 대통령과 이 부회장의 재판을 통하+여 판단하면 되+ㄴ다”고 말하였다 .	O ORG-B O O PER-B O O PER-B O O O PER-B ORG-B O O ORG-B O O O O O O O ORG-B PER-B O O O O O O O O O O
김준일 jikim@donga. com·김민기 .	PER-B O PER-B O
그는 IAEA가 북한 위성사진을 판독하+ㄴ 결과 영변 핵시설의 크기가 2배로 늘었으며, 농축활동이 이루어지고 있는 것으로 빋고 있다고 말하였다 .	O ORG-B ORG-B O O O O O O O O O O O O O O O O
‘초코칩 쿠키’ 구하라, 뮤비서 아찔하+ㄴ 속살 노출에 과감하 +ㄴ스킨십까지? ‘후끈’ 초코칩 쿠키 구하라 걸그룹 카라 데뷔 후 8년 만에 처음으로 솔로 앨범을 내+ㄴ 구하라의 ‘초코칩 쿠키’ 뮤직비디오가 화제+이다 .	O O PER-B O O O O O O O O O PER-B O ORG-B O O O O O O O O PER-B O O O O O
구하라는 14일 공개되+ㄴ 첫 번째 미니앨범 ‘알로하+이라(ALOHARA)’의 타이틀곡 ‘초코칩 쿠키’ 뮤직비디오에서 한층 성숙하+여지+ㄴ 보이스와 외모로 남성 팬들의 마음을 사로잡았다 .	PER-B O O O O O O O O O O O O O O O O O O O
