360도 영상, 홀로그램 … 베니스 서디지털 캔버스 펼치+ㄴ .	O O O O LOC-B O O O O
이들은 나라 시대 이+ㄴ 8세기 경히라가 타시로 옮기+어오는데 단순히 거처를 옮기는 차원이 아니라 아예 도지사 자격으로 지역을 다스리며 도시를 이루고 살게 되+ㄴ 것이다 .	O O O O O LOC-B LOC-I O O O O O O O O O O O O O O O O O
우리나라도 지난해 NEAT타워와 부산국제금융센터(63층·289m) 등 초고층 건축물 2개 동이 새로 짓어지면서 초고층 건축물(50층 이상, 50층 이상 기준)이 모두 89개동으로 늘어나 +았다 .	O O LOC-B LOC-B O O O O O O O O O O O O O O O O O O
베를루스코니 총리가 소유하고 있는 언론 왕국이+ㄴ 페닌 베스트그룹은 공식적으로 텔레피우의 지분 10%를 보유하고 있는 것으로 알려지+어 있으나 밀라노사정 검사들은 실제로는 TV 사 주식 소유에 대하+ㄴ 관련 볍규를 위반, 그보다 더 많은 지분을 갖고 있는 것으로 보고 있다 .	PER-B O O O O O ORG-B ORG-I O ORG-B O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O
조사 기간은 11월 29일~12월 14일이며 대상은 20·30대 미혼남녀 606명(남282명, 여324명)이다 .	O O O O O O O O O O O
그루지야, 아제르바이잔, 몰도바 등 구소련 내 분쟁을 피하+여이주하+ㄴ사람도 1백만 명 이상이다 .	ORG-B ORG-B ORG-B O ORG-B O O O O O O O
1998년 10월 KBS1TV ‘그 시절 그쇼’와 MBC ‘무대인 생반세기-선후배 크+ㄴ 잔치’ 등에는 현인에서부터 변진섭까지 한국 대중문화를 꽃피우+ㄴ이들이 대거 출연하였다 .	O O O O O O ORG-B O O O O O PER-B PER-B LOC-B O O O O O
“한국대사가 되는 것이 꿈이에요.” 금발의 푸르+ㄴ 눈, 미국인 스펜서스타인 바흐(SpencerSteinbach·18)는 한국을 “자신의 꿈”이라고 표현하였다 .	ORG-B O O O O O O O PER-B PER-B ORG-B O O O O
스피드스케이팅 국가대표 선수 이승훈(29·대한항공)이 남자 매스스타트 부문에서 금메달을 따면서 한국동계아시아경기대회 첫 4관왕위업을 이룩하+ㄴ 가운데, 매스 스타트 세계랭킹 1위 이+ㄴ이승훈이 평창동계올림픽에서도 정상에서 +ㄹ 수 있을지 주목되 +ㄴ다 .	O O O ORG-B O O O O O ORG-B O O O O O O O O PER-B O O O O O O O O
수도권의 한 중진 의원은 정청래 최고의원의 ‘공갈 막말’ 사태 당시를 상기시키며 “이번에도 수습을 못하고 있다 .	LOC-B O O O PER-B O O O O O O O O O O O
서울에 살는 식도락 가이+ㄴ 최광석(38·서울중랑구)씨는 이달 초 대구를 찾았다 .	LOC-B O O O LOC-B O O LOC-B O O
최대 출력은 각각 199 마력과 309 마력, 연료 소비효율은 L당 각각 12.5km, 12km +이다 .	O O O O O O O O O O O O O O O
“세계에서 아무도 우리를 구하지 못하+ㄴ다는 것+이 말이 되나.” 시리아 최대 격전지 이+ㄴ 알레포에 사는 교사 압둘 카피 알하+ㅁ도 씨는 23일 오후 평생 듣어보지 못하+ㄴ 폭발음을 듣고 공포에 떨었다 .	O O O O O O O O LOC-B O O O LOC-B O O PER-B PER-I PER-I O O O O O O O O O O O
