10일 나오+ㄴ ‘갤럭시S6’와 ‘갤럭시S6 엣지’가 그 결과물이다 .	O O O O O O O O
이에 시진은 “살리+어요. 당신은 의사로서 당신의 일을 하+여요” +이라며 “죽이어야 하+ㄹ 상황이 생기면 죽이는 것+ㄴ내가 하+ㄹ터+이니까”라고 말 하+ 여두 사람이 이 고비를 어떻게 넘기+ㄹ지에 대하+ 여기 대가 높아지고 있다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3일에는 서울 용산구 국방부 청사에서 한민구 장관 및 이순진 합참의장과 한미 국방장관 회담을 열고 북핵 및 미사일 문제 등 한미동맹과 관련 하+ㄴ 주요 현안에 대하+여 논의 하+ㄴ 뒤 일본으로 출국 하+ㄹ 예정이다 .	O LOC-B LOC-B LOC-B O PER-B O O PER-B O ORG-B O O O O O O O O ORG-B O O O O O O O O LOC-B O O O O
“창조경제고나 발이고 남의 밥그릇에 숟가락 얹는 것+이 무슨 놈의 창조경제야?” 지나 +ㄴ 25일 국회의원회관에서 열리+ㄴ ‘자동차 온라인 거래제도 개선 방안 정책토론회’도 중 고성이 터지+어나오았다 .	O O O O O O O O O O O O O ORG-B O O O O O O O O O O O
행촌권 도시농업을 총괄 관리하는 고창고창록씨는 “도심 속에서 농업기술교육과 모종생산, 재배와 판매까지 이루어지는 도시농업의 전형적 이+ㄴ 사례”라고 설명하였다 .	O O O O LOC-B O O O O O O O O O O O O O
MC 김성주가 “YG가 연애 금지령으로 유명 하+ㄴ데 악동뮤지션도 연애금지 조항 같은 것+이 있냐?”고 질문하였다 .	O PER-B ORG-B O O O O ORG-B O O O O O O O
TK 맹주로 자리잡는다면 보수진영의 표심을 단합시키+ㄹ 수 있고 진보진영과 보수진영의 1대 1 구도에서 보수표가 자신에게 몰리+ㄹ 것이라는 계산 때문이다 .	O O O O O O O O O O O O O O O O O O O O
부하 직원들에게 승진 청탁 명목으로 뇌물을 받고 근무성적을 조작하+ㄴ 혐의로 재판에 넘기+어지+ㄴ나근형 전 인천시교육감(76)에게 징역 1년6월이 확정되었다 .	O O O O O O O O O O O PER-B O O O O O O
티켓은 2만원이며 예매는 인터파크 티켓에서 하+ㄹ 수 있다 .	O MNY-B O ORG-B O O O O O
앞서 +어지나 +ㄴ 2001년 3월 시작하였던 홍대 라이브 글럽데이는 2011년 1월 공연을 끝으로 잠정 중단되었다가 이번에 부활하게 +었다 .	O O O O O O O O O O O O O O O O O O O
새롭ㄴ 홍대 라이브클럽 데이에 +ㄴ클럽 FF, 에반스, 프리버드 등 홍대를 대표하는 라이브 클럽 10곳과 40여 팀의 뮤지션들이 참여하+여마니아들의 기대감을 높이었다 .	O LOC-B ORG-B O ORG-B O ORG-B ORG-B O LOC-B O O ORG-B O O O O O O O O
문송희 한국여성단체협의회 사무총장은 “개인 간의 문제를 국가가 관리 하+ㄴ다는 것은 시대에 맞지 않아 헌재의 결정을 환영하+ㄴ다”면서도 “아직도 우리 사회의 약자 이+ㄴ 여성들 사이에 +ㄴ 간통죄 존속을 원하는 목소리도 상당하다”고 전하였다 .	PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
플레이어는 5대 5로 계속 하+여서 선택의 순간을 맞이하게 되+ㄹ 것이고, 팀과 개인이 어떠하+ㄴ 선택을 하냐에 따르 아전투의 향방은 크게 달라지게 되+ㄹ 것이다 .	O O O O O O O O O O O O O O O O O O O O O O O
