20명의 인질이 숨지+ㄴ 1일 저녁 방글라데시 수도 다카고 급식당 ‘홀리아티잔 베이커리’.7명의 테러범은 침착하게 인질 중에 무슬림과 비무슬림을 솎아내기 시작하였다 .	O O O O O LOC-B O LOC-B O LOC-B LOC-I O O O O O O O O O
더불어민주당은 △지방재정 및 분권특별위원장 김진표 의원 △민생경제특별위원장 김상희 의원 △남북관계 개선특별위원장이 춘석 의원으로 정하여 +지+었다 .	ORG-B O O O PER-B O O PER-B O O O O O O O O
이는 피트마이클(은퇴)이 뛰었던 2006~2007 시즌의 오리온스(현 오리온)를 연상하게 하+ㄴ다 .	O PER-B O O O ORG-B ORG-B O O O
지대가 높아 한강과 도심을 한눈에 내려다 보+ㄹ 수 있고 풍성하+ㄴ 억새밭을 즐기+ㄹ 수 있는 것+이 특징이다 .	O O LOC-B O O O O O O O O O O O O O O
그리고 해외 브랜드의 노트북 키보드 중에는 한국인들이 자주 이용하는 오른쪽 시프트(shift) 키가 작거나 한/영전환키가 애매하+ㄴ 곳에 배치되는 경우가 종종 있었는데, 아스파이어 V3-371의 키보드는 오른쪽 시프트키의 크기도 넓은 편이고 한/영전환하기 역시 적절하+ㄴ 곳에 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
임창용 잇어 오승환도 원정도박 혐의 …이르면 이번 주 검찰 조사 ‘피의자 신분’ 오승환 원정도박 혐의 미국 프로야구 진출을 노리는 야구선수 오승환(33)이 국외 원정도박 혐의로 검찰 조사를 앞두고 있다 .	PER-B O PER-B O O O O O O O O O PER-B O O LOC-B O O O O PER-B O O O O O O O O
서울중앙지검 강력부(부장검사 심재철)는 오승환을 이르면 이번 주 중 소환 하+여조사 하+ㄹ 방침이라고 복수의 매체가 7일 전하였다 .	ORG-B ORG-I PER-B PER-B O O O O O O O O O O O O O
10주 전 술집을 인수하였다는 라운드씨는 예전부터 이곳을 찾는 단골 손님들로부터 으스스하+ㄴ 얘기를 종종 듣곤 하+ㄴ다고. 그녀는 이런 오싹 하+ㄴ일을 겪은 탓이 +ㄴ지 최근 무척 바쁘았던 금요일, 선반위의 유리컵이 떨어지며 멀리 날아가 +았던 사건도 심상하지 않게 느끼+어지+ㄴ다고 말하였다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
인천시교육청 체험부스에서는 다문화교육 확산을 위하+ㄴ 방법, 다문화 학생 맞춤형 교육사례, 다문화동아리 활동 사례 등이 소개되+ㄴ다 .	ORG-B ORG-I O O O O O O O O O O O O O O
올해 60만대 생산이 예상되 +ㄴ다 .	O O O O O O
군 당국이 북한 전역에 대하+ㄴ타격이 가능하+ㄴ 사거리 800km 탄도미사일을 현 정부 임기 내 이+ㄴ 2017년까지 실전 배치 하+ㄹ 것으로 1일 알려지었다 .	O O LOC-B O O O O O O O O O O O O O O O O O O O
중국 열병식, 군 병력 1만2,000여명 참여...신장 178cm 미녀 군단 눈길 박근혜 대통령이 3일 중국 베이징 톈안먼 광장에서 진행되+ㄴ항일전쟁·반(反)파시스트 전쟁 승리 70주년 기념 열병식 행사에 참석하였다 .	LOC-B O O O O O O O O O PER-B O O LOC-B LOC-I LOC-I LOC-I O O O O O O O O O
이날 열병식에는 박 대통령을 비롯하+여블라디미르 푸틴 러시아 대통령 등 40여개국의 정상급 지도자와 반기문 유엔 사무총장을 비롯하+ㄴ 10명의 국제기구 수장 등 60명 가량의 외빈들이 참석하였다 .	O O PER-B O PER-B PER-I ORG-B O O O O O PER-B ORG-B O O O O O O O O O O O
열병식은 오전 10시70발의 예포 발사와 함께 국기 게 양식으로 시작되었다 .	O O O O O O O O O O O
제21호 태풍 두쥐안 예상경로는?, 서쪽으로 시속 16km로 이동중 추석을 앞두고 제21호 태풍 두쥐안(DUJUAN)이 북상하고 있는 가운데 기상예보에 대하+ㄴ 관심이 높아지고 있다 .	O O O O O O O O O O O O O O O O O O O O O O
기상청에 따르면 태풍 진달래를 의미하는 태풍 ‘두 쥐안’은 현재(24일 03시 기준) 오키나와 남동쪽 약 1020km 부근 해상에서 서쪽으로 시속 16km로 이동하고 있다 .	ORG-B O O O O O O O O O O LOC-B O O O O O O O O O O O
현재 강도 ‘약’으로 나타나고 있는 태풍 두쥐안은 26일 강도 ‘중’으로 27일에는 강도 ‘강’으로 변하+ㄹ 것으로 기상청은 예측하고 있다 .	O O O O O O O O O O O O O O O ORG-B O O O
기상청은 추석 연휴 기간 태풍 두쥐안이 우리나라에는 영향을 미치지 않을 것으로 보고 있으나, 태풍의 경로는 유동성이기 때문에 유의주시하고 있다 .	ORG-B O O O O O O O O O O O O O O O O O O O
현재 제주도 앞바다를 비롯하+여 남해서부동쪽 멀+ㄴ 바다와 남해서부 서쪽 멀+ㄴ 바다 .	O LOC-B O O LOC-B O O LOC-B O O O O
