(서울=뉴스1 .	LOC-B O
마지막으로 폴 그린 그래스 감독은 “7월 27일 한국에서 개봉하+ㄴ다 .	O PER-B O O O O O LOC-B O O
대통령 임기는 5년이며 중임제다 .	O O O O O
런던=고정애 특파 .	LOC-B O O
신도시, 7곳 678가구 다산신도시에서는 경기도시공사가 올해 첫 분양을 시작하+ㄴ다 .	O O O LOC-B ORG-B O O O O O
‘한번 더 해피엔딩’ 장나라 -산다라박-유인나-서인영-유다인 ‘엔젤스’ 사진 공 .	O O O PER-B PER-B ORG-B O O O
재판부는 쟁점이 +었던 ‘임신 중 김현중의 폭행으로 유산이 +었다’는 최씨의 주장 등에 대하+여 “원고 측의 일방적 이+ㄴ 주장이 +ㄹ뿐 증거가 없으며, 임신 중절을 강요받았다는 증거 역시 찾기 힘들고, 오히려 원고가 친구에게 ‘아이를 원하지 않는다’고 메시지를 보내고 고가의 선물을 받는 등 합의가 되+ㄴ 정황들이 보이+ㄴ다”며 최씨의 청구를 모두 기각하였다 .	O O O O O PER-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O PER-B O O O O
재판부는 오히려 “최씨가 사실이 아니+ㄴ 부분으로 인터뷰를 해피고(김현중)의 명예를 훼손하+ㄴ 부분이 있기에 피고의 반소를 받아들이어 1억원을 지급하라”고 결론을 내리었다 .	O O PER-B O O O O PER-B O O O O O O O MNY-B O O O O
김현중의 아버지는 승소 판결 후 울먹이며 “감사하고 그저 감사하다”는 말만 반복하었다 .	PER-B O O O O O O O O O O O
김현중의 아버지는 판결 후 김현중의 근황에 대하+여전하기도 +였다 .	PER-B O O O PER-B O O O O
왕이 중국 외교부장 “전쟁범죄 감추려는 이들 있어” …日아베 총리 저격 발 .	PER-B ORG-B O O O O O ORG-B O O O O
그는 ＂5·16군사혁명이 5·16 군사정변으로 바뀌며 군인들에 의하+ㄴ 쿠데타 이+ㅁ을 천명하+ㄴ 것은 역사학계의 꾸준하+ㄴ 연구 성과와 노력이 반영되 +ㄴ 결실＂이라며 ＂＇5·16 혁명의 발상지＇+이라는 잘못되+ㄴ 상징이 보존되+ㄴ 것+ㄴ제대로 되+ㄴ 역사의식의 함양이라는 가치에 정면으로 배치되 +ㄴ 다＂고 훼손이유를 밝히었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
김연지가 폭발적 이+ㄴ 가창력을 선보이었다 .	PER-B O O O O O
