YG엔터테인먼트 소속의 위너, 아이콘도 모두 리얼리티 프로그램으로 대중에 먼저 인사하었다 .	ORG-B O ORG-B ORG-B O O O O O O O
익동다방은 골목길과 마당을 포함하+여서 21평 규모 +이지만 실제 사용하는 공간은 15평 정도+이다 .	LOC-B O O O O O O O O O O O O
‘씨스타’ 효린, 환상적 이+ㄴ 비키니 몸매 공개…구릿빛 피부 ‘눈길 .	ORG-B PER-B O O O O O O O O
오히려 일본군 위안부 피해자 중에는 “합의 자체는 불가피하였고 받아들이겠다”는 사람도 있다 .	O ORG-B ORG-I O O O O O O O O O
앞서 죠스떡볶이는 지나 +ㄴ 4월 브랜드와 관련되 +ㄴ 다양하+ㄴ 동영상 콘텐츠를 제작하는 죠스미디어 사업단을 구축하+ㄴ바 있다 .	O ORG-B O O O O O O O O O O ORG-B ORG-I O O O
시즌5승 사냥과 상금 왕 굳히기에 나서 +었던 전인지는 전날까지 박성현 등과 공동 선두를 달리었지만 3라운드에서 3오버파를 기록하며 최종 합계 7언더파로 공동 11위에 머무르었다 .	O O O O O O O PER-B O PER-B O O O O O O O O O O O O O O
‘보면서도/ 못 믿겠어. ‘하상욱(35) 시인이 1일 자신의 SNS에 올리+ㄴ시+이다 .	O O O PER-B O O O O O O
하상욱 단편시집 ‘뉴스’의 구절이다 .	PER-B O O O O
육군 소위 2명, 여대생 집단 성폭행 혐 .	O O O O O O O O
소식통은 북한이 취급하는 일제 중고차는 닛산 블루버드와 도요타 캄리, 크라운, 크레시다 등 중고급 승용차들이 주종을 이루고 있으며 대개 출고되+ㄴ지 5∼10년 이+ㄴ이들 승용차들은 중국의 암시장에서 8­9만인 민폐에 거래되고 있다고 밝히었다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O ORG-B O MNY-B O O O O O
황 총리 일행이 등장하자 주민들은 “물러가라” “사드 반대”라고 외치었다 .	PER-B O O O O O O O O O
두 사람은 단순 하+ㄴ 회사 동료다 .	O O O O O O O
그러나 중요하+ㄴ 것은 한반도 주변 강국이 모두 남북한에 일정 하+ㄴ 영향력을 행사하+ㄹ 수 있는 상황이 오+ㄹ 때, 이것이 앞으로의 한반도 통일에 어떤 영향을 미치게 되+ㄹ 것이 +ㄴ가 하는 점이다 .	O O O LOC-B O O O LOC-B O O O O O O O O O O O LOC-B O O O O O O O O O O
