지난해 브라질 월드컵 때 축구 국가대표팀의 골문을 지키었던 정성룡(30·수원)과 김승규(25·울산)의 일본 J리그 진출이 곧 이루어 지+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O O LOC-B LOC-B ORG-B ORG-B O O O O O O O
일본 삿포로에서 국제야구 소프트볼 연맹(WBSV) 프리미어 12대표팀 훈련을 하 .	LOC-B LOC-B ORG-B O ORG-B O O O O O
다빈도암은 입원 기준 위암(4만3654명), 폐암(4만2044명), 유방암(3만8006명), 간암(3만7236명), 갑상선암(3만2002명) 순으로 조사되었으며, 외래는 갑상선암(32만5675명), 유방암(15만2017명), 위암(15만87명), 결장암(7만9933명), 폐암(7만2764명) 순이다 .	O O O O O O O O O O O O O O O O O O
『21세기 자본』의 저자 이+ㄴ 토마 피케티 파리 경제대 교수가 지적 하+ㄴ ‘세습자본주의’가 고착화하는 모습이다 .	O O O O PER-B O ORG-B O O O O O O O O
수입 농산물 44% 병해충 검출/옥수수 75% ­ 참깨 38% 검역불합 .	O O O O O O O O O O O
500대 기업 신입사원 여성 비율이 41%에 이르+ㄹ 정도로 여풍(女風)이 세+ㄴ 것 같은데 왜 이런 결과가 나오는 것+이+ㄹ까. 몇 년 전 미국발(發) ‘알파것 +ㄹ’ 열풍이 세상을 뒤덮지 않았던가.가 장크+ㄴ 장애물은 ‘유리천장’이다 .	O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O O O O
호텔롯데는 19일 금융감독원과 한국거래소에 증권신고서를 제출하면서 본격적 이+ㄴ IPO 실무절차를 시작하+ㄴ다 .	ORG-B O ORG-B ORG-B O O O O O O O O
강남역 사고로 20대 男 사망… 1시간 가량 내선 방향 운행정지 강남역 사고 서울 지하철 2호선 강남역 서울대입구역 방향 승강장에서 20대 남성 1명이 스크린도어와 전동차 틈에 끼어 사망하는 사고가 발생하였다 .	LOC-B O O O O O O O O O LOC-B O LOC-B O O LOC-B LOC-B O O O O O O O O O O O O O
29일 오후 7시25분경 강남역에서 발생하+ㄴ이 사고로 삼성역에서 서울대입구역 내 선방향 지하철 운행이 일시 중단되었다가 약 1시간만이+ㄴ 8시30분경부터 다시 정상 운행 +었다 .	O O O LOC-B O O LOC-B LOC-B O O O O O O O O O O O O O O
강남역에서 발생하+ㄴ사고로 사망 하+ㄴ이 남성은 지하철 시설 정비업체 소속 조모씨(28). 조씨는 이날 오후 6시41분경 강남역 스크린도어 고장 신고를 받고 오후 7시20분경 현장에 도착하+여정비 작업을 진행하다 사고를 당하+ㄴ 것으로 파악되었다 .	LOC-B O O O O O O O O PER-B PER-B O O O LOC-B O O O O O O O O O O O O O O O
조씨의 시신은 서울 소재 한 의료원 영안실에 안치되 +어 있다 .	PER-B O LOC-B O O O O O O O O
‘결혼’ 김하늘, “학창시절 친구들과 오해풀지 못하고 홀로 속앓이 .	O PER-B O O O O O O O
‘엄친아’ 이미지로 유명 하+ㄴ 배우 임시완이 ‘인생술집’에서 제대로 망가지+ㄴ 모습을 보이어 주+ㄴ다 .	O O O O O PER-B O O O O O O O
김우종 부인, 김준호 협박, '본인 살겠다고 다시 죽이려 하+ㄴ다면 …' 개그맨 김준호가 회사 공금을 횡령 후 잠적 하+ㄴ 김우종 코코엔터테인먼트 전 대표의 부인으로부터 받은 협박 문자를 공개하였다 .	PER-B O PER-B O O O O O O O O PER-B O O O O O O PER-B ORG-B O O O O O O O O
【뉴델리= AFPAP연합 .	LOC-B O O
