현재 아랄해의 평균 염도는 ℓ당 18g으로 보통 바닷물의 2배 수준이다 .	O LOC-B O O O O O O O O O
황 회장은 “국내에서 금융의 골드만삭스가 나오지 않는 것도 균형 잡히+ㄴ 운동장이 선행되지 않았기 때문”이라며 “증권사에 기업 지급결제를 허용 하+여주는 등 불합리 하+ㄴ 관행 개선이 필요하다”고 말하였다 .	PER-B O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O
한편, 슈틸리케 감독은 연휴 마지막 날 이+ㄴ 29일에는 2018 러시아 월드컵아시아 지역 2차 예선조별리그(G조) 경기에 나서 +ㄹ 대표팀 명단을 발표하+ㄴ다 .	O PER-B O O O O O O O O LOC-B O O O O O O O O O O
최하위(12위) 대전은 광주 방문 경기에서 2-1로 승리하며 18경기만에 2승째를 신고하였다 .	O LOC-B LOC-B O O O O O O O O
해군기지 건설을 놓고 제주 강정마을에서 벌어 지+ㄴ 공권력과의 대치, 지역사회 분열 등이 재연되지 않게 정부가 주민들을 사전에 설득하고 적절하+ㄴ 보상방안도 강구하+ㄹ 필요가 있다 .	O O O LOC-B LOC-I O O O O O O O O O O O O O O O O O O O
합병이 성사되면 AT&T는 타임워너 산하 워너브러더스의 영화 ‘해리포터’ 시리즈와 HBOTV 드라마 ‘왕좌의 게임’ 등과 같은 인기 상품을 확보하게 되+ㄴ다 .	O O ORG-B ORG-B O ORG-B O O O ORG-B O O O O O O O O O O
구글 플레이를 이용하는 고객들이 게임과 같은 콘텐츠를 구매 하+ㄹ 때 요금 청구 할인이나 쿠폰 등의 혜택을 제공하는 애플리케이션(이하 앱)이다 .	ORG-B O O O O O O O O O O O O O O O O O O O
조타“결혼 일찍 하고 싶었다… 아내 손에 물안 묻히고 싶어 .	PER-B O O O O O O O O O
경기 김포시 감정동의 ‘한강센트럴자이 1차’의 경우 7월에만 분양권 거래가 53건이 루어지+었지만 11월에는 19건에 불과하였다 .	LOC-B LOC-I LOC-B LOC-B LOC-I O O O O O O O O O O
14일부터 매주 1회 출항하는 신규 노선은 중국 상하이(上海), 광양, 부산, 미국 로스앤젤레스를 기항하는 경로로, 4000∼6000TEU(1TEU는 약 6m짜리 컨테이너 1개 분)급 컨테이너선 5척으로 운영되+ㄴ다 .	O O O O O O LOC-B LOC-B LOC-B LOC-B LOC-B LOC-I O O O O O O O O O O O O
그 외 서비스산업 육성 등 노 대통령의 고민이 담기 +ㄴ 많은 정책들도 부정하었다 .	O O O O O PER-B O O O O O O O O
보호구역 내 차량 제한속도를 현시 속 30㎞에서 20㎞로 강화하는 방안도 추진되 +ㄴ다 .	O O O O O O O O O O O O O
