헌법재판소도 탄핵심판에 속도를 내는 상황이 +ㄴ 만큼 이달에 박 대통령의 운명이 걸리+어 있는 셈이다 .	ORG-B O O O O O O O PER-B O O O O O O
범인은 사망 하+ㄴ조카의 친모이자로 잘레스의 언니 이+ㄴ 제이미+이었다 .	O O O PER-B PER-I O O PER-B O
하늘소리의 한 관계자는 9일 “이미 자씨가 공연 출연료를 축소신고하게 하고, 소득 관련 원천징수액 3.3%를 떼지 않고 지급하도록 (기획사에) 강요하+여+오았다”며 “그간 이씨의 출연료를 축소신고하는 바람에 하늘소리는 법인세를 더 내오았고, 공연적자와 함께 크+ㄴ 손해를 +았다 .	O O O O PER-B O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O
김 차관은 이 부분이 당­정 협의 과정과 농림수산위 법률회부 때까지는 물론, 법안심사소위의 축조심의 때까지도 법조문에 들어있지 않았다고 밝히었다 .	PER-B O O O O O O ORG-B O O O O O O O O O O O
7년차 직장인 문모(36)씨는 “매칭은 불확실하지만 짧은 시간에 많은 수의 다양하+ㄴ이 성과 압축적이+ㄴ 대화를 하+ㄹ 수 있어 신선하었다”고 말하였다 .	O O PER-B O O O O O O O O O O O O O O O O
역대 모든 구단의 신임 감독 연봉은 100만달러를 넘은 적이 없다 .	O O O O O O MNY-B O O O O
후속 타자의 안타로 득점까지 성공하였고 밀워키는 2-0으로 앞서 +었다 .	O O O O O ORG-B O O O O
‘선행반’ 등록 2015년 70% 수준 그치+ .	O O O O O O O
‘터널’ 하정우, 이번에 +ㄴ ‘개사료 먹방 .	O PER-B O O O O O
공정위는 “이번 조치를 통하+여불리 하+ㄴ 구매 후기를 감추는 등 기만적 이+ㄴ 방법으로 소비자를 유인하는 행위가 감소하고, 소비자가 청약철회 등에 관하+ㄴ사항을 미리 알+ㄹ 수 있게 되+어 소비자 권익 보호가 강화되+ㄹ 것으로 기대되+ㄴ다”고 설명하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
YK 법률사무소 이경민 변호사는 “부부 경제권은 어느 한쪽이 일방적으로 휘두르어서는 안 되+ㄴ다”며 “경제적 문제로 상대방에게 크+ㄴ 고통을 주+ㄴ다면 민법 840조 6호(기타혼인을 계속하기 어렵ㄴ중대 하+ㄴ 사유가 있을 때)에 의거 하+여 이혼 사유가 되+ㄴ다”고 말하였다 .	ORG-B ORG-I PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
가수 이승기가 2월 1일 육군 현역병 입대를 앞두고 신곡 ‘나군대가 +ㄴ다’를 발표하+ㄴ 가운데, 과거나 영석 PD의 발언이 재조명 +었다 .	O PER-B O O O O O O O O O O O O O O O O O O
