[카드 뉴스] 스타벅스에 줄 서는 이유?색 다르+ㄴ 다이어리 받으러 .	O O ORG-B O O O O O O O
하지만 북한은 지나 +ㄴ 21일로 예정되+ㄴ 반기문 총장의 개성공단 방북을 예고 없이 하루 전날 취소하였다 .	O ORG-B O O O O PER-B O LOC-B O O O O O O O
컴백에 앞서 +어효민은 데뷔 6주년 자축하는 바가지머리 인증 사진을 공개하+여 눈길을 끌었다 .	O O PER-B O O O O O O O O O O
걸그룹 티아라의 멤버 효민은 7월 자신의 인스타그램을 통하+여 “행복하+ㄴ 6주년. 다시 한번 축하 하+여” +이라는 글과 함께 사진 한 장을 게재하였다 .	O ORG-B O PER-B O O O O O O O O O O O O O O O O O O
공개되+ㄴ 사진 속 티아라 멤버들은 바가지머리를 하+ㄴ 채 거울 앞에서 포즈를 취하고 있다 .	O O O ORG-B O O O O O O O O O O
창고 공간을 이용하+여공간 활용도를 높이 +ㄴ 1층집(1층 단층), 2~3인 가구를 위하+ㄴ 심플하고 세련되 +ㄴ 2층집(1~2층 복층), 펜트테라스로 구성되 +ㄴ 3층집(1~2층 복층++3층 다락 구성)이 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O
타입은 9개로 1층 집 12가구는 와이드 테라스(A1, B1, C1 타입)로 구성되며 2층 집중 20가구는 듀플렉스 테라스(D1, D2 타입)로, 나머지 2가구는 스페셜 듀플렉스 테라스(F1 타입)로 꾸미+어지+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
양유석 통신개발연구원 박 .	PER-B ORG-B O O
그러면서 “지난해 (더불어민주당 의원들이) 중국을 방문하는 그런 자세로는 절대 우리 외교 현안을 끌어가 +ㄹ 수 없다”며 “사드에 있어 유약하고 나약하게 말을 자꾸 바꾸+ㄴ다든지 이러면 우리는 앞으로 외교안보를 하+ㄹ 수가 없다”고 지난해 중국을 찾은 민주당 의원들을 비판하였다 .	O O ORG-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B O ORG-B O O O
유승민 대통령 후보 대변인 단장을 맡고 있는 지상욱 의원은 “국민의 생명을 지키는 문제가 해결되어야 경제 문제도 우리가 협력을 하+ㄹ 수 있지 않겠느냐는 데 방점을 찍었다”고 밝히었다 .	PER-B O O O O O O PER-B O O O O O O O O O O O O O O O O O O O
지 의원은 이어 “북핵 문제를 해결하기 위하+ 여 북한으로부터 석탄을 수입하는 것을 제재하고 있는데 유 후보는 석유라든지 실질적이+ㄴ 제재에 나서 +ㄹ 것을 요청하였다”며 “우다웨이 대표는 오늘 모든 얘기를 듣고 돌아가 +아서 중국 정부에 전달하겠다고 +였다”고 말하였다 .	PER-B O O O O O O O ORG-B O O O O O PER-B O PER-B O O O O O O PER-B O O O O O O O ORG-B O O O O O
임종룡 금융위원장은 이에 맞추+어 1일 ‘금융개혁 추진 100일’ 기자간담회를 열고 “금융개혁이라는 단어가 금융위에서 사라지지 않게 하+ㄹ 것”이라며 강 하+ㄴ 개혁 추진 의지를 재확인하였다 .	PER-B ORG-B O O O ORG-B O O O O ORG-B O ORG-B O O O O O O O O O O O
[뉴스위크] Russia-NEWEST ‘HUMANBARBIE’ Theso-called “humanBarbie, ”ValeriaLukyanova, hasnewcompetitionintheformofRussianmodelA ngeli caKenova, thelatestmodelwhoclaimstolookl ikeaBarbiedoll. B utKenovasayssheisall na turalandhasneverundergoneanyplasticsurgery.The26-year-oldbelievesthat “cosm eticworkisonlynecess arywhenanindividualhasseriousfaultswiththeirf aceorbody, ”Mir rorUK reported.Shemaintainsherlooksbyworkingou tandeatinga “secretdiet.” Thenewlydis coveredhumanBarbiehasneverhadaboyfriendandlivesw ith herparents.Despiteherage, sheisallowedtodateonlywhenhermoth erNataliaisbyhers ide.“Growingup, myparentsrais edmelikea princessandneverletm egoout, dateboys orhavetheusualadultexperiences, ”KenovatoldM ir ror.“As aresult, Iam notf itf orreallife-I’mlikealivingdoll, ”sheadded.Shealsotoldthemagazinethath erparents encouragehermodel ingworkandare“overprotective”ofher.Theyalsowanth ertolivewiththemintheirhous e.TheM os cowmodelwas groomedtolookliketheworldf amousdollbyherparents evers inceshewasborn.Shehas atiny 20-inchwaist, weighslesstha n90pou ndsandwearsas ize32E bra.Herparents helpedhermaintainherphysicalappearancebycontrollingherdietandmonitoringherworkoutswithpersonaltrainers.Hermoth erstartedbuyingher “collectibleB arbiedolls”whenshe wasyou ng. Shealsobegantoenthus iasticallydressheruplikeone.Kenova’ssocialmediap rofileisprivatebutaccord ingtothewebs ite, sheisa “model, childpsychologistandballetdancer.” Heram bitioninlifeist obea “PlayboyPl aym ate”oneday.Sheisalsowaitingforaboyfriendwhois “onegreat, truelove.” Shelikes “sugary, cuteboys”andisalsointerestedin “brutalmenw hos eeyesreflecttheirstrengthandpride.”? NIDH ITEWARI 러시아-새롭ㄴ ‘인간 바비’ “성형 안+하였어요” 바비 인형과 꼭 닮았다는 뜻에서 ‘인간 바비’로 알려지+ㄴ 발레리아 루키아노바에게 새롭ㄴ도 전자가 생기었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
월드컵을 통하+여 세계 정상급 미들 블로커로서의 기량을 과시하+ㄴ 김희진의 활약 여부에 따르 아IBK기업은행의 시즌 성적이 판가름나+ㄹ 공산이 높다 .	O O O O O O O O PER-B O O O ORG-B O O O O O O
IBK기업은행은 다른 팀들로부터 가장 많은 견제를 받는다 .	ORG-B O O O O O O O
결국 팀이 2-0으로 이기면서 장시환은 데뷔 첫 승을 기록하였다 .	O O O O PER-B O O O O O
