불교와 힌두, 그리고 그리스 양식이 융합적으로 메콩강에서 만나 +아새롭 ㄴ 해양문명을 만들어 내 +ㄴ 것이다 .	O O O O O O LOC-B O O O O O O O O O
해상왕국으로 한때 번성을 누리던 푸난은 5세기부터 쇠퇴하기에 이르+ㄴ다 .	O O O O ORG-B O O O O
딜러들은 향후 18개월에 걸치+어딜러 1곳당 평균 185만달러(약 20억4000만원)을 받게 되+ㄴ다 .	O O O O O O MNY-B MNY-B O O O
폴크스바겐은 지난해 9월 미국에서 소형 디젤 엔진을 장착하+ㄴ 약 60만대 차량이 현지 배출가스 규제를 피하기 위하+여저감장치를 조작하+ㄴ 사실이 적발되었다 .	ORG-B O O ORG-B O O O O O O O O O O O O O O O O
애경산업 ‘사랑과 존경’으로 생활용품 선물세트 시장 업그레이드 1954년 애경유지공업 주식회사로 생활용품 사업을 시작하면서 탄생하+ㄴ애경그룹은 생활용품 사업부문을 1985년 설립되 +ㄴ애경산업에 넘기게 되+ㄴ다 .	ORG-B O O O O O O O O O O O O ORG-B O O O O ORG-B O O O
얼마 전 어깨 수술을 받아 그동안 LA 다저스 경기에서 보+ㄹ 수 없었던 류현진은 이날 특별히 경기장에 나오아 평창올림픽 홍보대사 이+ㄴ 추신수와 함께 올림픽 엠블럼이 인쇄되+ㄴ 티셔츠를 들고 기념촬영을 +였다 .	O O O O O O ORG-B O O O O O PER-B O O O O O O O PER-B O O O O O O O O O
전원책 변호사 역시 “계급이 깡패+이라는 말이 맞는 사건”이라고 강도 높게 비판하였다 .	PER-B O O O O O O O O O O O
박 회장은 소문나 +ㄴ ‘기부천사‘이기도 하다 .	PER-B O O O O O O
예원은 당시 논란에 대하+여스스럼없이 언급하는 분위기에 당황하며 “대+어놓고 막 이야기를 하네요? 다들 쉬쉬 하+ㄹ줄 알았는데 놀라 +았다”고 밝히+ㄴ 뒤 스스로 뒷이야기를 털어놓았다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O
그는 “항공분야에서도 새롭ㄴ 시대가 열리면서 보잉이나 록히드마틴과 같은 전통적 이+ㄴ 항공업체뿐 아니라 구글, 아마존 등 기존에는 전혀 관련이 없었던 기업과의 협업이 늘었다”고 설명하였다 .	O O O O O ORG-B ORG-B O O O O O ORG-B ORG-B O O O O O O O O O O
한경연, 올해 성장률 2.7% →2.4% 하향… 내년 2.6% 예 .	ORG-B O O O O O O O O O
파리발이집트 여객기 추락…이집트 “테러 가능성 크다 .	LOC-B O LOC-B O O O O
박 대통령은 “기업인들과 소통”하+ㄴ 것이라고 표현하였지만 세간의 인식과는 차이가 있다는 지적이 나 오+ㄴ다 .	PER-B O O O O O O O O O O O O O
이 때문에 조달청은 기획재정부와의 논의를 거치+어 조달분야 법정 전문연구기관이+ㄴ ‘한 구조달 정책연구원’의 설립을 원하고 있다 .	O O ORG-B ORG-B O O O O O O O O O O O O
숭모회는 “유묵의 글귀는 논어 ‘위령 공편’에 나오며 ‘높은 뜻을 가지+ㄴ 선비와 어질 +ㄴ사람은 옳은 일을 위하+ 여목숨을 버리+ㄴ다’는 뜻”이라고 설명하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O
전용 84㎡전셋값이 4억~4억3000만원대+이다 .	O MNY-B MNY-B O
도심권에서 +ㄴ종로구 교남동 경희궁 자이가 눈길을 끌+ㄴ다 .	O LOC-B O O O O O O
