“무슨 일을 하시죠?” “맨해튼 월가 금융기관에서 일하+ㅂ니다 .	O O O LOC-B O O O O
[오늘의 운세/12월 28일 .	O O O O
또 마약 판매대금 20만~173만원을 각각 추징하였다 .	O O O MNY-B O O O
삼국유사 목판 판각 완료…삼국유사가치 높이었 .	O O O O O O
국민의당 경선, 총 18만4,000여명 참여로 마무 .	ORG-B O O O O O O
홍콩 현지 학생이 많은 기숙사동은 거의 의무적으로 기숙사 동아리 활동에 참가 하+여야 하+ㄹ 정도로 단체 활동을 강조하는 분위기 이+ㄴ 반면 국제유학생 비율이 높은 기숙사동은 좀 더 자유롭고 개인적 이+ㄴ 분위기가 많다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
황석정은 이어 "그러다 무작정 연극을 보고는 '아, 저런 세계에 있어야 +겠다' +이라는 생각을 +였다 .	PER-B O O O O O O O O O O O O O O
참여를 원하는 신규 고객은 이달부터 4월 사이에 보건소에서 운영하는 금연클리닉에 참여하+여금연을 시작하고 4~7월 중에 3개월 이상 금연에 성공하였다는 금연 성공 확인증을 풀무원녹즙일이+ㄹ배달 판매사원이+ㄴ모닝스텝에게 제출하면 되+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O O ORG-B O O O O
도널드 트럼프가 의료기록을 공개하지 않아 완전히 확실하+ㄹ 수는 없지만 말이다"라고 주장하였다 .	PER-B O O O O O O O O O O O
클린턴 후보는 지나 +ㄴ 11일 열리+ㄴ9·11 테러 15주년 추모식에서 휘청이는 모습을 보이어 건강이상설을 증폭시키었으며, 클린턴 캠프는 이후 후보가 폐렴에 걸리었다고 발표하였다 .	PER-B O O O O O O O O O O O O O PER-B O O O O O O O
남편이 +ㄴ 클린턴 전 대통령은 이에 대하+여 "그가 비틀거리+ㄴ 것은 단순히 탈수 증상 때문"이라고 설명하였다 .	O O PER-B O O O O O O O O O O O O O
또 클린턴 후보가 수행원들의 부축을 받으며 차량에 올라타 +ㄴ 것에 대하+여서는 "만약 그녀의 건강상태가 심각하다면 나뿐 아니라 의사들에게도 미스터리일 것"이라며 "클린턴 후보는 국무장관뿐만 아니라 상원의원 시절에도 왕성하게 활동하였다"고 전하였다 .	O PER-B O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O
클린턴 전 대통령은 13일 캘리포니아에서 열리+ㄴ 후원 행사에 클린턴 후보를 대신 하+여 참석하기도 +였다 .	PER-B O O O LOC-B O O O PER-B O O O O O O
좋은 취지로 하는 것+이라 10명 중 1명만 참여를 하+여주시+어도 저희는 계속 거리에 나오+ㄹ 것 같아요.”―허운 씨(25·대학 연합 봉사동아리 ‘나우’) “격주마다 서울역 근처 거리에 노숙인을 위하+여 찾아오는 밥차가 있습니다 .	O O O O O O O O O O O O O O PER-B O O O ORG-B O LOC-B O O O O O O O O
소유는 평소 몸무게를 재지 않는다고 밝히었다 .	PER-B O O O O O O
즉 최대 22억5000만개의 씨앗을 보관 하+ㄹ 수 있다는 계산이 나 오+ㄴ다 .	O O O O O O O O O O O O
