이같이 남북정상이 모두 대화에 적극 나서겠다는 뜻을 피력하였지만 현실의 벽은 여전히 높다 .	O ORG-B O O O O O O O O O O O
일각에서는 오는 5월 치르어지는 조기 대선에 미치는 영향을 최소화하고 수사 결과에 대하+ㄴ 논란을 피하고자 검찰이 속도를 내+ㄹ 것이라는 관측도 내놓고 있다 .	O O O O O O O O O O O O O O O O O O O O O O
인근 주민이 당구선수 김경률을 발견 하+ 여경찰에 신고하였다 .	O O O PER-B O O O O O
신기성 감독 “하은주와 이야기 나 누+ㄹ 것” 신한은행은 1일 신기성(41) 전 KEB하나은행 코치를 신임 감독으로 임명하였다 .	PER-B O PER-B O O O O ORG-B O PER-B O ORG-B O O O O O
이 외박람회 현장에서도 ‘G마켓, 옥션과 함께하는 경기 그랜드세일과 +ㄴ’ 부스를 운영하고 레져큐에서 판매하는 ‘에버랜드’, ‘아쿠아리움’ 등의 레저시설 입장권과 ‘양평 행복한 뜰 펜션’, ‘헤이리 석죽재 체험상품’ 등을 할인 판매 하+ㄴ다 .	O O O ORG-B ORG-B O O O O O O O O ORG-B O O O O LOC-B O O O LOC-B LOC-B O O O O O O
부산(4월)·대전(5월)·광주(6월)·대구(9월)에잇어 지나 +ㄴ 9일에+ㄴ 서울 여의도 공원에서 개최되었다 .	LOC-B O O O LOC-B LOC-B O O O
미국 존스홉킨스대학 산하 한미연구소의 북한 전문 웹사이트 38노스는 12일 촬영 하+ㄴ 풍계리 핵실험장의 위성사진을 분석하+ㄴ 결과, 핵실험을 위하+ㄴ “준비를 마치 +ㄴ(PrimedandReady)” 상태로 보이+ㄴ다고 분석하였다 .	ORG-B O O O ORG-B O O O O O O LOC-B O O O O O O O O O O O O O
주민들은 8월 17일 진행되+ㄴ 공청회에서 매연과 소음 문제를 들고 나오았다 .	O O O O O O O O O O O
그는 1990년 소프트웨어 개발자로 퀄컴에 입사하+ㄴ 뒤 수석 부사장, 무선인터넷그룹 사장 등을 두루 거치며 경영실력을 인정받았다 .	O O O O ORG-B O O O O O O O O O O O O
박 대통령은 “보건의료는 한국 최고 인재들이 모이어 있는 분야”+이라며 “병원 수출을 통하+여 고품질의료서비스로 세계인의 건강을 향상시키면서 국부(國富)와 일자리 창출에도 기여하고 있다”고 이들을 격려하였다 .	PER-B O O ORG-B O O O O O O O O O O O O O O O O O O O O
LG화학은 미래 시장을 선도하+ㄹ 차세대 신성장동력을 지속적으로 육성하기 위하+여 연구개발(R&D) 부문에 대하+ㄴ투자를 강화하고 있다 .	ORG-B O O O O O O O O O O O O O O
지나+ㄴ 25일 발생하+ㄴ 헤브론회 교학살 사건과 관련되+ㄴ 것으로 보이는 폭탄 테러가 27일 베이루트 북부 유니에시의 한 가톨릭교회에서 발생, 최소 10명이 사망하고 60여명이 부상당하였다 .	O O O O O O O O O O O O LOC-B O LOC-B O O O O O O O O O
이날 협약식을 통하+여다니엘 헤니를 비롯하+ㄴ 참석 연예인들은 개발도상국 아동지원에 함께 하+ㄹ 것을 약속하고, 아이들의 마을에 필요하+ㄴ부대시설 설립과 개선사업에도 힘을 보태기로 +였다 .	O O PER-B O O O O O O O O O O O O O O O O O O O
