샤크라 출신이다”고 답하였다 .	ORG-B O O O
금융감독원은 올해 1분기(1∼3월)에 ‘불법사금융 피해신고센터’에 접수되 +ㄴ대출 사기 피해 건수가 6046건에 이르는 것으로 집계되었다고 16일 밝히었다 .	ORG-B O O ORG-B O O O O O O O O O O O O O
행자부, 크기-위치 등 의견 수 .	ORG-B O O O O O
알리샤위 석방 요구는 IS에 일석이조의 노림수 이+ㄴ 셈이다 .	PER-B O O ORG-B O O O O O
이춘근 과학기술정책연구원 선임연구원은 “고농축 우라늄은 적은 비용으로 대량 생산이 가능하+ㄴ데 .	PER-B ORG-B ORG-I O O O O O O O O
安 “표결 철회를”文 “연기 불가능 .	PER-B O PER-B O O O
지나+ㄴ 3월 오픈하+ㄴ 롯데엘큐브 1호점이 그 주인공이다 .	O O O ORG-B O O O O
정성룡 부상 등 가용자원 부족 불구팀 워크 하나로 종료 직전 역전 승리 K리그 클래식(1부 리그) 수원 삼성은 25일 수원월드컵 경기장에서 열리+ㄴ 우라와 레즈(일본)와의 2015 아시아축구연맹(AFC) 챔피언스리그 조별리그 G조 1차전에서 2-1 짜릿 하+ㄴ 역전승을 거두었다 .	PER-B O O O O O O O O O O O O O O ORG-B ORG-I O ORG-B O O ORG-B ORG-B O O O O O O O O O O O O
신규 공무원은 국민연금처럼 소득대체율이 40%+이다 .	O O O O O O
강은지기자 kej09@d onga. com※독자 여러분의 의견과 제안을 e메일(change2015@d onga. com)로 보내+어주시 면 적극 반영하겠습니다 .	PER-B O O O O O O O O O O O O O O
2012년부터 광화문광장, 국회, 옥시레킷벤키저 사옥 앞으로 장소를 옮기+어 3년째 시위도 계속하고 있다 .	O LOC-B O LOC-B O O O O O O O O O
‘비정상회담’ 유시민 독일어 실력에서 진중권에 1승, 다니엘"발음이 더 좋다 .	O PER-B O O PER-B O PER-B O O O
