호텔에서 해변까지 1일 3회 셔틀버스를 운행 하+ㄴ다 .	O O O O O O O O
200만원 이상의 터무니없는 가격(일반 코어 i7은 약 35만~37만원대)이지만 남들이 갖는 PC와는 전혀 다르+ㄴ나만의 초고성능 PC를 소유하려는 사람들에게 꾸준히 선택받고 있다 .	MNY-B O O O O O O MNY-B O O O O O O O O O O O O O
6세대 코어 i7 익스트림은 코드명 브로드웰(Broadwell)-E+이다 .	O O O O O O O
경기 성남시 주부 김모씨(54)의 집가전 제품에는 ‘5’+이라는 숫자가 빠지+ㅁ 없이 붙어 있다 .	LOC-B LOC-B O PER-B O O O O O O O O O
2012~2015년 학사경고를 받은 448명에게 장학금을 9억9316만원이나 지급하기도 +였다 .	O O O O O MNY-B O O O
이에 경찰은 인천공항에 설치되 +ㄴ 폐쇄회로(CC) TV84대를 분석하+ 여 사건이 발생하+ㄴ 지난달 29일 오후 12시부터 신고가 접수되+ㄴ 후 1시간이 지나 +ㄴ오후 5시까지 화장실 이용자가 모두 762명이란 사실을 파악하였다 .	O O LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O
이후 경찰은 75명으로 수사 대상을 더 좁히었고, 사건이 발생하+ㄴ 지난달 29일 오후 3시36분께 유씨가 쇼핑백을 들고 화장실에 들어가 +았 .	O O O O O O O O O O O O O PER-B O O O O O O
홍 후보가 “분명히 ‘동성애’ 반대+이죠?”라고 묻자 문 후보는 “나는 좋아하지 않는다 .	PER-B O O O O O PER-B O O O O O
2012년과 비교하+여보+ㄹ 때 병장 월급은 10만8000원에서 21만6000원으로 5년 만에 2배 인상되는 셈이다 .	O O O O O MNY-B MNY-B O O O O O O
연평해전 6월 11일 개봉… 연평해전과 월드컵 응원을 함께 다루+ㄴ까닭은 .	O O O O O O O O O O
일렉트로룩스코리아 문상영 대표는 “최근 국내 주방 소형 가전은 작년 대비 20%가량의 성장률을 자랑하+ㄹ 만큼 크+ㄴ 성장세를 보이고 있고, 그만큼 국내 소비자들의 요리에 대하+ㄴ 관심도가 눈에 띄게 누+ㄴ 것을 확인 하+ㄹ 수 있다”며 “이번 이벤트를 통하+여 많은 분들의 기발하+ㄴ 아이디어와 함께 요리에 대하+ㄴ 열정을 기대하고 있다”고 말하였다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
논쟁의 다른 한 축이 +ㄴ 유승민 원내대표도 “김 대표의견에 전적으로 동감 하+ㄴ다”며 “당정청과 여야, 그리고 여야 각각 내부에서도 세금과 복지 문제에 대하+ㄴ 생각의 차이가 존재하는 만큼 나부터나 +의 생각을 고집하지 않고 이 문제에 대하+여토론하겠다”고 한발 물러서 +었다 .	O O O O O PER-B O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
월드 베이스볼클래식(WBC) 대표팀의 일본 오키나와 전지훈련에 17일 합류하+ㄴ이대호(35·롯데·사진)를 환영하기 위하+여서 +이다 .	O O O LOC-B LOC-B O O ORG-B O O O O
