무상교환은 쿠폰 발급 후 6개월 이내에 가능하다 .	O O O O O O O O
해당 제품은 드리+ㄹ 작업, 볼트 작업, 스크루 드라이빙 작업 등에 사용하는 18V 임팩 5종으로, 세계 최초로 드라이버와 렌치를 하나로 결합하+ 여작업 효율성을 높이 +ㄴ 충전 임팩 드라이버/렌치 2종(모델명 : GDX18V-EC/GDX18V-LI)과 충전 임팩 드라이버 2종(모델명 : GDR18V-EC/GDR18V-LI), 충전 임팩렌치 1종(모델명 : GDS18V-EC250)이다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
『 이들이 40세가 되기 전에 경영권을 이양하+여주겠다』는 이동찬 회장 얘기이니 대권 승계를 눈앞에 두 +ㄴ 셈이다 .	O O O O O O O PER-B O O O O O O O O O
올 들어 처음이자 청정지역 전북에 사상 첫 구제역이 발생(11일) 하+ㄴ지 2주가 지나 +았다 .	O O O O LOC-B O O O O O O O O O
이번 전시회는 세계 수준이 +ㄴ 한국의 군사용 드론 기술을 민간으로 이전하는 방안을 논의하고 드론 관련 벤처기업을 조명하는 것이 특징이다 .	O O O O O ORG-B O O O O O O O O O O O O O O
견본주택의 정식 개관일이+ㄴ 22일에는 LEDTV 등의 경품 추첨응모권과 롯데아울렛에서 1일 50만원 이상 구매 고객이나 연간 구매액 상위 1%에게만 지급되는 ‘롯데아울렛 VIP 쿠폰북 교환권’도 포함되 +어 있다 .	O O O O O O O O LOC-B O MNY-B O O O O O O O O LOC-B O O O O O O O
또한 새로 바뀌+ㄴ 롯데캐슬 BI(브랜드 이미지)가 처음으로 적용되는 단지 이+ㄴ 만큼 관련 행사도 실시하+ㄴ다 .	O O O ORG-B O O O O O O O O O O O
해상보안청은 내년에 7명을 전담부서에 배치하고 ‘해상보안국제협력 추진관’을 임명 하+여 관할 하도록 하+ㄹ 방침이다 .	ORG-B O O O O ORG-B O O O O O O O O
다행스럽게도 일·가정 양립 문화가 확산되면서 육아휴직자도 크게 늘고 있습니다 .	O O O O O O O O O O
캘리포니아는 해변이 있고 늘 날씨가 좋다 보니 사람들의 라이프 스타일이 여유롭다 .	LOC-B O O O O O O O O O O O
우리가 방금 보+ㄴ, 널리 알려지+ㄴ 대신 전 외에 그것과 동시대에 짓어 지+ㄴ 작은 신전 하나가 더 있었다 .	O O O O O O O O O O O O O O O O O O
삼성은 31일 수원 kt위즈파크에서 열리+ㄴ kt와 경기에서 8-6, 2점 차 승리를 거두었다 .	ORG-B O LOC-B ORG-B O ORG-B O O O O O O O
서울중앙지검 특별수사팀(팀장 이철희 형사2부장)은 정부 책임진상규명 과정에서 가습기 살균제 원료 이+ㄴ 폴리헥사 메틸렌 구아니딘(PHMG)이 도입되+ㄴ 1996년부터 살균제 판매가 중단되+ㄴ 2011년까지를 검토하+ㄴ 결과, 당시 환경부 장관들을 소환하+ㄹ 필요가 있다는 결론을 내리었다 .	ORG-B O PER-B O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O
