2014년 4월 처음 공개되었다 .	O O O O O
ECB는 8일(현지시간) 독일 프랑크푸르트 본부에서 정례 통화정책회의를 열고 애초 ＇ 적어도 내년 3월까지 ＇로 설정하였던 전면적 양적완화 시행기한을 내년 12월까지로 늦추기로 +였다고 발표하였다 .	ORG-B O LOC-B LOC-I O O O O O O O O O O O O O O O O O O O O
대학별고사의 경우 서울캠퍼스 인 문·자연계열은 논술고사를, 세종캠퍼스 인문·자연계열은 적성고사를, 서울 및 세종캠퍼스 미술계열은 서류(미술활동 보고서) 평가와 면접을 실시하+ㄴ다 .	O O LOC-B O O O LOC-B O O LOC-B O LOC-B O O O O O O O
광주 트라우마센터는 23일 오후 7시 신형철 문학평론가를 초청 하+여 광주 서구 치평동 5·18 기념문화센터대동홀에서 올해 여섯 번째 ‘치유의 인문학’ 강좌를 개최 하+ㄴ다고 22일 밝히었다 .	LOC-B LOC-I O O O PER-B O O O LOC-B LOC-I LOC-B LOC-B LOC-I O O O O O O O O O O O
25.7평∼30.9평은 87년 12월 26일, 30.9평초과∼40.9평은 87년11월 7일, 40.9평초과는 88년 2월 2일이다 .	O O O O O O O O O O O O
주상복합건물은 도심에 위치하+여교통지옥에서 해방되고, 건물 내에 업무근린(상가 등) 공동주택(아파트) 체육시설들을 고루 갖추+어, 한 건물에서 직­주를 모두 해결 하+ㄹ 수 있는 차세대 주거타운 .	O O O O O O O O O O O O O O O O O O O O O O O
윤디리, 한국내한공연 실수인 정…"변명의 여지없다 .	PER-B LOC-B O O O O
서울대 미학과 김병종 교수는 “태극기는 남한의 국가상징 브랜드로 기능하+여오+ㄴ데 .	ORG-B O PER-B O O ORG-B O O O O
LH가 14일 대구가톨릭대에서 열 +ㄴ 설명회에는 대학생 300여명이 참석하였다 .	ORG-B O ORG-B O O O O O O O
LH는 대구혁신도시 행복주택을 비롯하+여 서울·인천에서 21~25일 행복주택 1638가구의 입주자 모집에 나서 +ㄴ다 .	ORG-B O O O LOC-B O O O O O O O O
올해 상반기 내에 러시아와 MOU를 맺을 예정이며 해외 주요 인증도 마무리를 앞두고 있어 걸는 기대가 크다 .	O O O ORG-B O O O O O O O O O O O O O
이에 대하+여신기자는 “만약 자신이 타려는 비행기가 예약이 거의 차+았다면 항공사 직원이 좌석을 확인하다 말고 ‘미리 출발하시+ㄹ래요’라고 물어보+ㄴ다”며 “이 말이 ‘비즈니스 업그레이드다’고 생각하면 되+ㄴ다”고 설명하였다 .	O PER-B O PER-B O O O O O O O O O O O O O O O O O O O O O
항공사 직원에 확인 하+ㄴ 결과, 신기자는 “성공하+ㄹ 확률이 80%” +이라며 “정장 같은 깔끔하+ㄴ 차림이 +ㄹ수록 업그레이드 받을 확률이 높다”고 조언하였다 .	O O O O O PER-B O O O O O O O O O O O O O O O
